Country,League,Season,Date,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA,Bookmaker,Source,SourceMatchId
World,World Cup 2014,2014,12/06/2014,Brazil,Croatia,3,1,H,1.31,5.11,12.02,1.33,5.5,14.0,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,8d1306cc5058b7e295d4b8ef
World,World Cup 2014,2014,13/06/2014,Chile,Australia,3,1,H,1.42,4.4,8.63,1.5,4.85,10.5,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,2a9b48c0c0f319cb2390bffe
World,World Cup 2014,2014,13/06/2014,Mexico,Cameroon,1,0,H,2.18,3.14,3.74,2.25,3.3,4.0,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,071cf0ccb8b48ee62d160cb2
World,World Cup 2014,2014,13/06/2014,Spain,Netherlands,1,5,A,1.84,3.32,4.99,1.91,3.5,5.5,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,798699108b8dadb340f444d5
World,World Cup 2014,2014,14/06/2014,Colombia,Greece,3,0,H,1.84,3.26,5.12,1.91,3.75,6.0,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,3f20c0482fae76325f98fe81
World,World Cup 2014,2014,14/06/2014,England,Italy,1,2,A,2.51,2.99,3.23,3.1,3.1,3.45,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,1f71e052591d2667ab81ae64
World,World Cup 2014,2014,14/06/2014,Uruguay,Costa Rica,1,3,A,1.44,4.2,9.02,1.48,4.7,10.5,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,8ea77b7cde77d52a3a785444
World,World Cup 2014,2014,15/06/2014,Argentina,Bosnia & Herzegovina,2,1,H,1.31,5.56,10.24,1.36,6.05,12.0,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,22ed10c7ae167c5e63909d07
World,World Cup 2014,2014,15/06/2014,France,Honduras,3,0,H,1.26,5.89,12.4,1.3,6.5,16.3,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,7db1db1d7d3b74079b6a1705
World,World Cup 2014,2014,15/06/2014,Ivory Coast,Japan,2,1,H,2.68,3.31,2.7,2.8,3.47,2.9,football-data average,https://www.football-data.co.uk/WorldCup2026.xlsx,9f2180038caf0fd96ace6e0a
