date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-08-03,2012-08,ARG,Arsenal Sarandi,Union de Santa Fe,home,home,1.76,"[1.0,1.8)",0.5250332299512628,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.76
2012-08-03,2012-08,ARG,Arsenal Sarandi,Union de Santa Fe,draw,home,3.3,"[2.8,3.5)",0.2800177226406735,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-03,2012-08,ARG,Arsenal Sarandi,Union de Santa Fe,away,home,4.74,"[4.0,5.0)",0.1949490474080638,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Colon Santa FE,Lanus,home,home,2.39,"[2.2,2.8)",0.3867700935692919,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.3900000000000001
2012-08-04,2012-08,ARG,Colon Santa FE,Lanus,draw,home,2.99,"[2.8,3.5)",0.30915736576274505,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Colon Santa FE,Lanus,away,home,3.04,"[2.8,3.5)",0.3040725406679631,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Quilmes,Boca Juniors,home,home,3.07,"[2.8,3.5)",0.30150706928620763,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.07
2012-08-04,2012-08,ARG,Quilmes,Boca Juniors,draw,home,2.99,"[2.8,3.5)",0.3095741480630961,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Quilmes,Boca Juniors,away,home,2.38,"[2.2,2.8)",0.38891878265069635,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Racing Club,Atl. Rafaela,home,draw,1.91,"[1.8,2.2)",0.48431482506211304,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Racing Club,Atl. Rafaela,draw,draw,3.22,"[2.8,3.5)",0.2872799117604459,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.22
2012-08-04,2012-08,ARG,Racing Club,Atl. Rafaela,away,draw,4.05,"[4.0,5.0)",0.22840526317744098,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Velez Sarsfield,Argentinos Jrs,home,home,1.97,"[1.8,2.2)",0.4697294584606962,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.97
2012-08-04,2012-08,ARG,Velez Sarsfield,Argentinos Jrs,draw,home,3.12,"[2.8,3.5)",0.296591997810119,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-04,2012-08,ARG,Velez Sarsfield,Argentinos Jrs,away,home,3.96,"[3.5,4.0)",0.23367854372918473,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,Godoy Cruz,All Boys,home,draw,2.18,"[1.8,2.2)",0.42537623544557523,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,Godoy Cruz,All Boys,draw,draw,3.08,"[2.8,3.5)",0.30107798482836173,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.08
2012-08-05,2012-08,ARG,Godoy Cruz,All Boys,away,draw,3.39,"[2.8,3.5)",0.27354577972606314,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,Newells Old Boys,Independiente,home,draw,1.92,"[1.8,2.2)",0.48344179961639516,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,Newells Old Boys,Independiente,draw,draw,3.23,"[2.8,3.5)",0.2873709768617581,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.23
2012-08-05,2012-08,ARG,Newells Old Boys,Independiente,away,draw,4.05,"[4.0,5.0)",0.22918722352184662,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,River Plate,Belgrano,home,away,1.88,"[1.8,2.2)",0.4911838606680589,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,River Plate,Belgrano,draw,away,3.19,"[2.8,3.5)",0.28947512791722596,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-05,2012-08,ARG,River Plate,Belgrano,away,away,4.21,"[4.0,5.0)",0.21934101141471515,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,3.21
2012-08-05,2012-08,ARG,San Lorenzo,San Martin S.J.,home,home,1.89,"[1.8,2.2)",0.48992034615006397,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.8899999999999999
2012-08-05,2012-08,ARG,San Lorenzo,San Martin S.J.,draw,home,3.18,"[2.8,3.5)",0.29117907365522666,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
