columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|odds_bucket,"draw|[5.0,7.0)",229,46.5,20.31,49,29,19,2026-05,-4.0,22.2336
league|outcome|odds_bucket,"N1|draw|[5.0,7.0)",229,46.5,20.31,49,29,19,2026-05,-4.0,22.2336
outcome|odds_bucket|market_prob_bucket,"draw|[5.0,7.0)|[0.00,0.20)",229,46.5,20.31,49,29,19,2026-05,-4.0,22.2336
outcome|odds_bucket|favorite_relation,"draw|[5.0,7.0)|market_non_favorite",229,46.5,20.31,49,29,19,2026-05,-4.0,22.2336
outcome|odds_bucket|market_prob_bucket,"draw|[4.0,5.0)|[0.20,0.28)",330,31.25,9.47,48,27,19,2026-05,5.2,17.0417
outcome|odds_bucket,"draw|[4.0,5.0)",385,38.0,9.87,49,27,21,2026-05,10.7,13.0857
league|outcome|odds_bucket,"N1|draw|[4.0,5.0)",385,38.0,9.87,49,27,21,2026-05,10.7,13.0857
outcome|odds_bucket|favorite_relation,"draw|[4.0,5.0)|market_non_favorite",385,38.0,9.87,49,27,21,2026-05,10.7,13.0857
outcome|market_prob_bucket,"draw|[0.20,0.28)",998,15.0,1.5,49,27,22,2026-05,5.0,10.1653
league|outcome|market_prob_bucket,"N1|draw|[0.20,0.28)",998,15.0,1.5,49,27,22,2026-05,5.0,10.1653
outcome|market_prob_bucket|favorite_relation,"draw|[0.20,0.28)|market_non_favorite",998,15.0,1.5,49,27,22,2026-05,5.0,10.1653
odds_bucket,"[2.8,3.5)",552,2.3,0.42,49,27,22,2026-05,-0.9,10.0458
league|odds_bucket,"N1|[2.8,3.5)",552,2.3,0.42,49,27,22,2026-05,-0.9,10.0458
odds_bucket|favorite_relation,"[2.8,3.5)|market_non_favorite",552,2.3,0.42,49,27,22,2026-05,-0.9,10.0458
league|odds_bucket|favorite_relation,"N1|[2.8,3.5)|market_non_favorite",552,2.3,0.42,49,27,22,2026-05,-0.9,10.0458
odds_bucket,"[4.0,5.0)",616,9.24,1.5,49,25,23,2026-05,12.7,4.165
league|odds_bucket,"N1|[4.0,5.0)",616,9.24,1.5,49,25,23,2026-05,12.7,4.165
odds_bucket|favorite_relation,"[4.0,5.0)|market_non_favorite",616,9.24,1.5,49,25,23,2026-05,12.7,4.165
league|odds_bucket|favorite_relation,"N1|[4.0,5.0)|market_non_favorite",616,9.24,1.5,49,25,23,2026-05,12.7,4.165
outcome|market_prob_bucket,"away|[0.28,0.34)",198,2.34,1.18,49,25,24,2026-05,-0.8,2.13
league|outcome|market_prob_bucket,"N1|away|[0.28,0.34)",198,2.34,1.18,49,25,24,2026-05,-0.8,2.13
outcome|odds_bucket|market_prob_bucket,"away|[2.8,3.5)|[0.28,0.34)",198,2.34,1.18,49,25,24,2026-05,-0.8,2.13
outcome|market_prob_bucket|favorite_relation,"away|[0.28,0.34)|market_non_favorite",198,2.34,1.18,49,25,24,2026-05,-0.8,2.13
outcome|odds_bucket,"away|[2.8,3.5)",212,1.84,0.87,49,25,24,2026-05,-0.8,2.0955
league|outcome|odds_bucket,"N1|away|[2.8,3.5)",212,1.84,0.87,49,25,24,2026-05,-0.8,2.0955
outcome|odds_bucket|favorite_relation,"away|[2.8,3.5)|market_non_favorite",212,1.84,0.87,49,25,24,2026-05,-0.8,2.0955
