date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-08-17,2012-08,POL,Piast Gliwice,Gornik Z.,home,away,2.56,"[2.2,2.8)",0.3622915936728223,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-17,2012-08,POL,Piast Gliwice,Gornik Z.,draw,away,3.05,"[2.8,3.5)",0.30408737042702466,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-17,2012-08,POL,Piast Gliwice,Gornik Z.,away,away,2.78,"[2.2,2.8)",0.33362103590015296,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,1.7799999999999998
2012-08-17,2012-08,POL,Pogon Szczecin,Zaglebie,home,home,3.01,"[2.8,3.5)",0.30729797862502584,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.01
2012-08-17,2012-08,POL,Pogon Szczecin,Zaglebie,draw,home,3.11,"[2.8,3.5)",0.29741701468209897,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-17,2012-08,POL,Pogon Szczecin,Zaglebie,away,home,2.34,"[2.2,2.8)",0.39528500669287514,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Jagiellonia,Podbeskidzie,home,home,1.74,"[1.0,1.8)",0.5326470005939418,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.74
2012-08-18,2012-08,POL,Jagiellonia,Podbeskidzie,draw,home,3.42,"[2.8,3.5)",0.27099584240744407,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Jagiellonia,Podbeskidzie,away,home,4.72,"[4.0,5.0)",0.19635715699861417,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Lech Poznan,Ruch,home,home,2.05,"[1.8,2.2)",0.4511411407848582,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,1.0499999999999998
2012-08-18,2012-08,POL,Lech Poznan,Ruch,draw,home,3.16,"[2.8,3.5)",0.29267067677498704,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Lech Poznan,Ruch,away,home,3.61,"[3.5,4.0)",0.2561881824401549,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Widzew Lodz,Slask Wroclaw,home,home,2.66,"[2.2,2.8)",0.3474770642201835,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.6600000000000001
2012-08-18,2012-08,POL,Widzew Lodz,Slask Wroclaw,draw,home,3.03,"[2.8,3.5)",0.30504587155963303,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-18,2012-08,POL,Widzew Lodz,Slask Wroclaw,away,home,2.66,"[2.2,2.8)",0.3474770642201835,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-19,2012-08,POL,Legia,Korona Kielce,home,home,1.63,"[1.0,1.8)",0.5697893440329527,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.6299999999999999
2012-08-19,2012-08,POL,Legia,Korona Kielce,draw,home,3.49,"[2.8,3.5)",0.2661193784451899,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-19,2012-08,POL,Legia,Korona Kielce,away,home,5.66,"[5.0,7.0)",0.1640912775218574,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-19,2012-08,POL,Wisla,GKS Belchatow,home,home,1.5,"[1.0,1.8)",0.6180166361866556,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.5
2012-08-19,2012-08,POL,Wisla,GKS Belchatow,draw,home,3.88,"[3.5,4.0)",0.23892395728865554,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-19,2012-08,POL,Wisla,GKS Belchatow,away,home,6.48,"[5.0,7.0)",0.1430594065246888,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-20,2012-08,POL,Lechia Gdansk,Polonia Warszawa,home,away,2.3,"[2.2,2.8)",0.40348525469168905,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-20,2012-08,POL,Lechia Gdansk,Polonia Warszawa,draw,away,3.01,"[2.8,3.5)",0.30831099195710454,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-20,2012-08,POL,Lechia Gdansk,Polonia Warszawa,away,away,3.22,"[2.8,3.5)",0.2882037533512064,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.22
2012-08-24,2012-08,POL,Jagiellonia,Gornik Z.,home,draw,2.1,"[1.8,2.2)",0.44158747903856904,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-08-24,2012-08,POL,Jagiellonia,Gornik Z.,draw,draw,3.16,"[2.8,3.5)",0.29346003353828953,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.16
2012-08-24,2012-08,POL,Jagiellonia,Gornik Z.,away,draw,3.5,"[3.5,4.0)",0.2649524874231414,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-08-24,2012-08,POL,Zaglebie,Piast Gliwice,home,home,1.83,"[1.8,2.2)",0.5078096084092087,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.8300000000000001
2012-08-24,2012-08,POL,Zaglebie,Piast Gliwice,draw,home,3.43,"[2.8,3.5)",0.27093049078392184,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
