date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2021-07-24,2021-07,F2,Valenciennes,Niort,home,draw,2.18,"[1.8,2.2)",0.4298221939990474,"[0.42,0.55)",market_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Valenciennes,Niort,draw,draw,3.13,"[2.8,3.5)",0.29936497856802663,"[0.28,0.34)",market_non_favorite,AVG_OPEN,True,2.13
2021-07-24,2021-07,F2,Valenciennes,Niort,away,draw,3.46,"[2.8,3.5)",0.2708128274329259,"[0.20,0.28)",market_non_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Toulouse,Ajaccio,home,draw,1.98,"[1.8,2.2)",0.4743977886007634,"[0.42,0.55)",market_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Toulouse,Ajaccio,draw,draw,3.18,"[2.8,3.5)",0.29537975516651305,"[0.28,0.34)",market_non_favorite,AVG_OPEN,True,2.18
2021-07-24,2021-07,F2,Toulouse,Ajaccio,away,draw,4.08,"[4.0,5.0)",0.23022245623272342,"[0.20,0.28)",market_non_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Pau FC,Nancy,home,home,2.59,"[2.2,2.8)",0.3615948266812236,"[0.34,0.42)",market_favorite,AVG_OPEN,True,1.5899999999999999
2021-07-24,2021-07,F2,Pau FC,Nancy,draw,home,2.88,"[2.8,3.5)",0.3251842364945726,"[0.28,0.34)",market_non_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Pau FC,Nancy,away,home,2.99,"[2.8,3.5)",0.31322093682420377,"[0.28,0.34)",market_non_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Le Havre,Guingamp,home,draw,2.44,"[2.2,2.8)",0.38421118063901205,"[0.34,0.42)",market_favorite,AVG_OPEN,False,-1.0
2021-07-24,2021-07,F2,Le Havre,Guingamp,draw,draw,3.02,"[2.8,3.5)",0.3104222783970826,"[0.28,0.34)",market_non_favorite,AVG_OPEN,True,2.02
2021-07-24,2021-07,F2,Le Havre,Guingamp,away,draw,3.07,"[2.8,3.5)",0.30536654096390536,"[0.28,0.34)",market_non_favorite,AVG_OPEN,False,-1.0
