columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|market_prob_bucket,"away|[0.42,0.55)",305,23.45,7.69,50,31,19,2026-05,-2.17,24.8457
league|outcome|market_prob_bucket,"I1|away|[0.42,0.55)",305,23.45,7.69,50,31,19,2026-05,-2.17,24.8457
outcome|market_prob_bucket|favorite_relation,"away|[0.42,0.55)|market_favorite",305,23.45,7.69,50,31,19,2026-05,-2.17,24.8457
outcome|odds_bucket,"away|[1.0,1.8)",248,19.94,8.04,50,30,20,2026-05,1.14,20.8844
league|outcome|odds_bucket,"I1|away|[1.0,1.8)",248,19.94,8.04,50,30,20,2026-05,1.14,20.8844
outcome|odds_bucket|favorite_relation,"away|[1.0,1.8)|market_favorite",248,19.94,8.04,50,30,20,2026-05,1.14,20.8844
outcome|favorite_relation,away|market_favorite,697,42.49,6.1,50,30,20,2026-05,0.73,20.6706
league|outcome|favorite_relation,I1|away|market_favorite,697,42.49,6.1,50,30,20,2026-05,0.73,20.6706
outcome|market_prob_bucket,"away|[0.55,1.00]",206,15.0,7.28,50,28,22,2026-05,1.14,12.801
league|outcome|market_prob_bucket,"I1|away|[0.55,1.00]",206,15.0,7.28,50,28,22,2026-05,1.14,12.801
outcome|odds_bucket|market_prob_bucket,"away|[1.0,1.8)|[0.55,1.00]",206,15.0,7.28,50,28,22,2026-05,1.14,12.801
outcome|market_prob_bucket|favorite_relation,"away|[0.55,1.00]|market_favorite",206,15.0,7.28,50,28,22,2026-05,1.14,12.801
outcome|market_prob_bucket|favorite_relation,"draw|[0.28,0.34)|market_non_favorite",663,16.26,2.45,48,27,21,2026-05,-6.7,12.2698
outcome|odds_bucket|market_prob_bucket,"draw|[2.8,3.5)|[0.28,0.34)",664,15.26,2.3,48,27,21,2026-05,-6.7,12.2528
outcome|market_prob_bucket,"draw|[0.28,0.34)",665,14.26,2.14,48,27,21,2026-05,-6.7,12.2359
league|outcome|market_prob_bucket,"I1|draw|[0.28,0.34)",665,14.26,2.14,48,27,21,2026-05,-6.7,12.2359
outcome|odds_bucket,"away|[1.8,2.2)",209,21.51,10.29,50,27,22,2026-05,-0.17,11.1321
league|outcome|odds_bucket,"I1|away|[1.8,2.2)",209,21.51,10.29,50,27,22,2026-05,-0.17,11.1321
outcome|odds_bucket|market_prob_bucket,"away|[1.8,2.2)|[0.42,0.55)",209,21.51,10.29,50,27,22,2026-05,-0.17,11.1321
outcome|odds_bucket|favorite_relation,"away|[1.8,2.2)|market_favorite",209,21.51,10.29,50,27,22,2026-05,-0.17,11.1321
outcome|odds_bucket,"draw|[3.5,4.0)",502,33.0,6.57,50,27,22,2026-05,3.7,10.7231
league|outcome|odds_bucket,"I1|draw|[3.5,4.0)",502,33.0,6.57,50,27,22,2026-05,3.7,10.7231
outcome|odds_bucket|market_prob_bucket,"draw|[3.5,4.0)|[0.20,0.28)",502,33.0,6.57,50,27,22,2026-05,3.7,10.7231
outcome|odds_bucket|favorite_relation,"draw|[3.5,4.0)|market_non_favorite",502,33.0,6.57,50,27,22,2026-05,3.7,10.7231
outcome|market_prob_bucket|favorite_relation,"away|[0.34,0.42)|market_favorite",186,4.04,2.17,47,24,23,2026-05,1.76,2.2389
