month,selected_cap,prior_uplifted_positions,prior_closing_expected_profit_delta,decision
2021-12,1.05,0,0.0,CONSERVATIVE
2022-01,1.05,2,0.032682,CONSERVATIVE
2022-02,1.05,3,0.03619,CONSERVATIVE
2022-03,1.05,6,0.072065,CONSERVATIVE
2022-04,1.25,11,0.25891,GROWTH
2022-05,1.25,15,0.297577,GROWTH
2022-08,1.25,18,0.426153,GROWTH
2022-09,1.25,19,0.491351,GROWTH
2022-10,1.25,20,0.512702,GROWTH
2022-11,1.25,21,0.659776,GROWTH
2023-01,1.25,21,0.659776,GROWTH
2023-02,1.25,21,0.659776,GROWTH
2023-03,1.25,21,0.659776,GROWTH
2023-04,1.25,22,0.622262,GROWTH
2023-05,1.25,23,0.69502,GROWTH
2023-08,1.25,25,0.822561,GROWTH
2023-10,1.25,25,0.822561,GROWTH
2023-12,1.25,25,0.822561,GROWTH
2024-02,1.25,25,0.822561,GROWTH
2024-03,1.25,25,0.822561,GROWTH
2024-04,1.25,25,0.822561,GROWTH
2024-05,1.25,25,0.822561,GROWTH
2024-08,1.25,25,0.822561,GROWTH
2024-09,1.25,27,0.825818,GROWTH
2024-10,1.25,27,0.825818,GROWTH
2024-11,1.25,27,0.825818,GROWTH
2024-12,1.25,27,0.825818,GROWTH
2025-01,1.25,28,0.855571,GROWTH
2025-02,1.25,28,0.855571,GROWTH
2025-03,1.25,30,0.869526,GROWTH
2025-04,1.25,30,0.869526,GROWTH
2025-05,1.25,31,0.869286,GROWTH
2025-08,1.25,31,0.869286,GROWTH
2025-09,1.25,32,0.872922,GROWTH
2025-10,1.25,34,0.900017,GROWTH
2025-11,1.25,36,0.904534,GROWTH
2025-12,1.25,36,0.904534,GROWTH
2026-01,1.25,36,0.904534,GROWTH
2026-03,1.25,36,0.904534,GROWTH
2026-04,1.25,36,0.904534,GROWTH
