date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.25,-1.25,-1.25,1.25
2021-12-10,1,4.05,3.89,2.64,0.0
2021-12-11,2,3.15,1.17,3.81,0.0
2021-12-12,1,3.74,3.85,7.66,0.0
2021-12-27,1,0.4,-0.4,7.26,0.4
2022-01-14,1,1.35,3.31,10.57,0.0
2022-02-05,1,0.81,-0.81,9.76,0.81
2022-02-06,1,1.25,-1.25,8.51,2.06
2022-02-12,2,6.49,7.93,16.44,0.0
2022-02-13,2,15.0,-7.7,8.74,7.7
2022-02-18,1,5.4,7.67,16.41,0.03
2022-02-19,2,3.55,3.87,20.28,0.0
2022-02-25,1,0.52,-0.52,19.76,0.52
2022-02-26,3,9.75,8.8,28.56,0.0
2022-02-27,1,0.48,1.28,29.84,0.0
2022-03-05,1,8.34,-8.34,21.5,8.34
2022-03-13,2,5.09,-5.09,16.41,13.43
2022-03-15,2,6.64,0.29,16.7,13.14
2022-03-19,1,6.93,-6.93,9.77,20.07
2022-03-20,1,2.73,-2.73,7.04,22.8
2022-03-26,2,10.35,1.25,8.29,21.55
2022-03-27,1,3.99,6.06,14.35,15.49
2022-03-28,1,2.71,3.45,17.8,12.04
2022-04-09,2,9.96,8.67,26.47,3.37
2022-04-10,3,9.92,-2.48,23.99,5.85
2022-04-29,1,12.24,10.2,34.19,0.0
2022-04-30,2,15.0,16.37,50.56,0.0
2022-05-01,1,8.52,10.02,60.58,0.0
2022-05-07,1,1.99,-1.99,58.59,1.99
2022-05-21,3,15.0,-6.39,52.2,8.38
2022-08-14,1,1.9,3.17,55.37,5.21
2022-08-28,1,0.68,1.03,56.4,4.18
2022-09-17,1,0.18,-0.18,56.22,4.36
2022-09-24,1,1.22,-1.22,55.0,5.58
2022-09-25,1,0.43,-0.43,54.57,6.01
2022-10-08,1,0.22,0.65,55.22,5.36
2022-10-19,1,0.71,-0.71,54.51,6.07
2022-10-21,1,10.29,11.09,65.6,0.0
2022-10-31,1,1.17,-1.17,64.43,1.17
2022-11-05,2,1.2,0.2,64.63,0.97
2022-11-11,1,0.5,-0.5,64.13,1.47
2023-01-15,1,0.52,-0.52,63.61,1.99
2023-02-11,1,0.96,-0.96,62.65,2.95
2023-02-17,1,0.83,-0.83,61.82,3.78
2023-02-19,1,0.48,-0.48,61.34,4.26
2023-02-20,1,0.54,-0.54,60.8,4.8
2023-02-21,1,0.84,-0.84,59.96,5.64
2023-02-27,1,0.8,-0.8,59.16,6.44
2023-02-28,1,0.51,1.55,60.71,4.89
2023-03-18,1,0.28,-0.28,60.43,5.17
2023-03-26,2,10.68,-10.68,49.75,15.85
2023-03-27,1,0.52,-0.52,49.23,16.37
2023-03-31,1,11.66,10.86,60.09,5.51
2023-04-01,3,10.07,12.99,73.08,0.0
2023-04-05,1,0.8,-0.8,72.28,0.8
2023-04-15,1,0.39,-0.39,71.89,1.19
2023-04-18,1,15.0,12.05,83.94,0.0
2023-04-21,1,1.13,1.0,84.94,0.0
2023-04-25,1,0.65,-0.65,84.29,0.65
2023-04-29,1,7.53,-7.53,76.76,8.18
2023-04-30,1,0.9,2.2,78.96,5.98
2023-05-06,1,4.05,-4.05,74.91,10.03
2023-05-08,1,1.1,-1.1,73.81,11.13
2023-05-13,1,8.54,10.88,84.69,0.25
2023-08-30,1,0.36,0.88,85.57,0.0
2023-10-21,1,1.55,1.0,86.57,0.0
2023-12-17,1,1.17,-1.17,85.4,1.17
2024-02-03,1,0.3,0.94,86.34,0.23
2024-02-17,1,0.22,0.65,86.99,0.0
2024-03-12,1,0.18,0.56,87.55,0.0
2024-04-09,2,0.44,0.11,87.66,0.0
2024-05-05,1,0.18,-0.18,87.48,0.18
2024-05-18,1,0.62,1.15,88.63,0.0
2024-08-03,1,0.36,-0.36,88.27,0.36
2024-08-10,1,0.66,-0.66,87.61,1.02
2024-08-11,1,0.42,1.18,88.79,0.0
2024-08-18,1,0.36,-0.36,88.43,0.36
2024-08-23,1,0.32,-0.32,88.11,0.68
2024-08-24,1,0.34,0.78,88.89,0.0
2024-08-25,3,0.98,0.07,88.96,0.0
2024-08-27,2,1.44,-1.44,87.52,1.44
2024-08-31,3,1.07,-0.06,87.46,1.5
2024-09-20,1,0.34,-0.34,87.12,1.84
