date,bets,staked,profit,cumulative_profit,drawdown
2021-12-03,4,22.3,-3.89,-3.89,3.89
2021-12-04,3,10.6,0.85,-3.04,3.04
2021-12-05,1,12.5,-12.5,-15.54,15.54
2021-12-10,3,24.5,15.23,-0.31,0.31
2021-12-11,6,60.8,25.11,24.8,0.0
2021-12-12,1,15.0,15.43,40.23,0.0
2021-12-15,1,3.0,7.35,47.58,0.0
2021-12-19,1,4.0,3.92,51.5,0.0
2021-12-20,1,2.5,-2.5,49.0,2.5
2021-12-27,1,4.0,-4.0,45.0,6.5
2022-01-02,1,4.3,-4.3,40.7,10.8
2022-01-13,1,5.0,4.41,45.11,6.39
2022-01-14,1,13.5,33.08,78.19,0.0
2022-02-01,1,3.0,-3.0,75.19,3.0
2022-02-04,1,3.0,2.44,77.63,0.56
2022-02-05,1,8.1,-8.1,69.53,8.66
2022-02-06,1,12.5,-12.5,57.03,21.16
2022-02-12,3,24.4,39.51,96.54,0.0
2022-02-13,5,27.0,-20.0,76.54,20.0
2022-02-18,1,15.0,21.32,97.86,0.0
2022-02-19,2,24.3,18.19,116.05,0.0
2022-02-20,2,7.7,-7.7,108.35,7.7
2022-02-25,3,12.7,-5.42,102.93,13.12
2022-02-26,5,20.51,21.08,124.01,0.0
2022-02-27,3,10.1,15.53,139.54,0.0
2022-03-05,2,20.6,-20.6,118.94,20.6
2022-03-12,1,6.4,-6.4,112.54,27.0
2022-03-13,2,15.0,-15.0,97.54,42.0
2022-03-15,2,15.0,0.65,98.19,41.35
2022-03-19,1,15.0,-15.0,83.19,56.35
2022-03-20,1,15.0,-15.0,68.19,71.35
2022-03-26,2,15.0,1.81,70.0,69.54
2022-03-27,1,15.0,22.79,92.79,46.75
2022-03-28,1,15.0,19.11,111.9,27.64
2022-04-09,3,30.0,31.88,143.78,0.0
2022-04-10,3,15.0,-3.77,140.01,3.77
2022-04-25,2,13.4,-13.4,126.61,17.17
2022-04-29,1,15.0,12.5,139.11,4.67
2022-04-30,2,15.0,16.37,155.48,0.0
2022-05-01,1,15.0,17.64,173.12,0.0
2022-05-07,1,15.0,-15.0,158.12,15.0
2022-05-21,3,15.0,-6.39,151.73,21.39
2022-08-05,1,13.6,8.0,159.73,13.39
2022-08-06,1,5.0,15.43,175.16,0.0
2022-08-13,2,17.4,-17.4,157.76,17.4
2022-08-14,1,15.0,24.99,182.75,0.0
2022-08-15,1,11.0,-11.0,171.75,11.0
2022-08-22,1,5.0,-5.0,166.75,16.0
2022-08-27,1,6.0,-6.0,160.75,22.0
2022-08-28,1,13.6,20.66,181.41,1.34
2022-09-17,1,1.8,-1.8,179.61,3.14
