date,bets,staked,profit,cumulative_profit,drawdown
2021-12-03,4,2.23,-0.38,-0.38,0.38
2021-12-04,3,1.06,0.08,-0.3,0.3
2021-12-05,1,1.25,-1.25,-1.55,1.55
2021-12-10,3,5.0,3.97,2.42,0.0
2021-12-11,6,6.23,2.38,4.8,0.0
2021-12-12,1,3.74,3.85,8.65,0.0
2021-12-15,1,0.3,0.73,9.38,0.0
2021-12-19,1,0.4,0.39,9.77,0.0
2021-12-20,1,0.25,-0.25,9.52,0.25
2021-12-27,1,0.4,-0.4,9.12,0.65
2022-01-02,1,0.43,-0.43,8.69,1.08
2022-01-13,1,0.5,0.44,9.13,0.64
2022-01-14,1,1.35,3.31,12.44,0.0
2022-02-01,1,0.3,-0.3,12.14,0.3
2022-02-04,1,0.3,0.24,12.38,0.06
2022-02-05,1,0.81,-0.81,11.57,0.87
2022-02-06,1,1.25,-1.25,10.32,2.12
2022-02-12,3,6.97,8.38,18.7,0.0
2022-02-13,5,16.2,-9.2,9.5,9.2
2022-02-18,1,5.4,7.67,17.17,1.53
2022-02-19,2,3.55,3.87,21.04,0.0
2022-02-20,2,0.77,-0.77,20.27,0.77
2022-02-25,3,1.27,-0.54,19.73,1.31
2022-02-26,5,10.65,9.3,29.03,0.0
2022-02-27,3,1.01,1.55,30.58,0.0
2022-03-05,2,8.62,-8.62,21.96,8.62
2022-03-12,1,0.32,-0.32,21.64,8.94
2022-03-13,2,5.09,-5.09,16.55,14.03
2022-03-15,2,6.64,0.29,16.84,13.74
2022-03-19,1,6.93,-6.93,9.91,20.67
2022-03-20,1,2.73,-2.73,7.18,23.4
2022-03-26,2,10.35,1.25,8.43,22.15
2022-03-27,1,3.99,6.06,14.49,16.09
2022-03-28,1,2.71,3.45,17.94,12.64
2022-04-09,3,10.66,9.15,27.09,3.49
2022-04-10,3,9.92,-2.48,24.61,5.97
2022-04-25,2,0.67,-0.67,23.94,6.64
2022-04-29,1,12.24,10.2,34.14,0.0
2022-04-30,2,15.0,16.37,50.51,0.0
2022-05-01,1,8.52,10.02,60.53,0.0
2022-05-07,1,1.99,-1.99,58.54,1.99
2022-05-21,3,15.0,-6.39,52.15,8.38
2022-08-05,1,0.68,0.4,52.55,7.98
2022-08-06,1,0.25,0.77,53.32,7.21
2022-08-13,2,0.87,-0.87,52.45,8.08
2022-08-14,1,1.9,3.17,55.62,4.91
2022-08-15,1,0.55,-0.55,55.07,5.46
2022-08-22,1,0.25,-0.25,54.82,5.71
2022-08-27,1,0.3,-0.3,54.52,6.01
2022-08-28,1,0.68,1.03,55.55,4.98
2022-09-17,1,0.18,-0.18,55.37,5.16
2022-09-24,1,1.22,-1.22,54.15,6.38
2022-09-25,1,0.43,-0.43,53.72,6.81
2022-10-07,1,0.75,-0.75,52.97,7.56
2022-10-08,2,0.94,-0.07,52.9,7.63
2022-10-14,1,0.28,-0.28,52.62,7.91
2022-10-19,1,0.71,-0.71,51.91,8.62
2022-10-21,1,10.29,11.09,63.0,0.0
2022-10-22,1,0.35,-0.35,62.65,0.35
2022-10-31,1,1.17,-1.17,61.48,1.52
2022-11-05,2,1.2,0.2,61.68,1.32
2022-11-06,1,0.28,-0.28,61.4,1.6
2022-11-11,1,0.5,-0.5,60.9,2.1
2022-11-19,1,0.3,-0.3,60.6,2.4
2022-12-11,1,0.57,-0.57,60.03,2.97
2023-01-01,1,0.28,-0.28,59.75,3.25
2023-01-15,2,0.92,-0.92,58.83,4.17
2023-01-17,1,0.28,-0.28,58.55,4.45
2023-01-28,1,0.32,1.03,59.58,3.42
2023-02-04,1,0.49,-0.49,59.09,3.91
2023-02-11,1,0.96,-0.96,58.13,4.87
2023-02-17,1,0.83,-0.83,57.3,5.7
2023-02-19,1,0.48,-0.48,56.82,6.18
2023-02-20,1,0.54,-0.54,56.28,6.72
2023-02-21,1,0.84,-0.84,55.44,7.56
2023-02-25,1,0.53,-0.53,54.91,8.09
2023-02-27,1,0.8,-0.8,54.11,8.89
2023-02-28,2,1.37,4.92,59.03,3.97
2023-03-04,1,0.25,-0.25,58.78,4.22
2023-03-18,3,0.8,-0.8,57.98,5.02
2023-03-26,2,10.68,-10.68,47.3,15.7
2023-03-27,1,0.52,-0.52,46.78,16.22
2023-03-31,1,11.66,10.86,57.64,5.36
2023-04-01,3,10.07,12.99,70.63,0.0
2023-04-05,1,0.8,-0.8,69.83,0.8
2023-04-08,2,0.64,-0.64,69.19,1.44
2023-04-15,2,0.74,-0.74,68.45,2.18
2023-04-18,1,15.0,12.05,80.5,0.0
2023-04-21,1,1.13,1.0,81.5,0.0
2023-04-22,1,0.28,-0.28,81.22,0.28
2023-04-25,1,0.65,-0.65,80.57,0.93
2023-04-29,1,7.53,-7.53,73.04,8.46
2023-04-30,1,0.9,2.21,75.25,6.25
2023-05-06,1,4.05,-4.05,71.2,10.3
2023-05-08,1,1.1,-1.1,70.1,11.4
2023-05-13,1,8.54,10.88,80.98,0.52
2023-08-30,1,0.36,0.88,81.86,0.0
2023-10-21,1,1.55,1.0,82.86,0.0
2023-12-17,1,1.17,-1.17,81.69,1.17
2024-02-03,1,0.3,0.94,82.63,0.23
2024-02-17,1,0.22,0.65,83.28,0.0
2024-03-12,1,0.18,0.56,83.84,0.0
2024-04-09,2,0.44,0.11,83.95,0.0
2024-05-05,1,0.18,-0.18,83.77,0.18
2024-05-10,1,0.25,-0.25,83.52,0.43
2024-05-18,1,0.62,1.15,84.67,0.0
2024-08-03,1,0.36,-0.36,84.31,0.36
2024-08-10,1,0.66,-0.66,83.65,1.02
2024-08-11,1,0.42,1.18,84.83,0.0
2024-08-18,1,0.36,-0.36,84.47,0.36
2024-08-23,1,0.32,-0.32,84.15,0.68
2024-08-24,1,0.34,0.78,84.93,0.0
2024-08-25,3,0.98,0.07,85.0,0.0
2024-08-27,2,1.44,-1.44,83.56,1.44
2024-08-31,3,1.07,-0.06,83.5,1.5
2024-09-20,1,0.34,-0.34,83.16,1.84
2024-09-21,1,0.48,1.1,84.26,0.74
2024-09-22,2,0.76,0.4,84.66,0.34
2024-09-28,1,0.68,-0.68,83.98,1.02
2024-10-04,1,1.07,-1.07,82.91,2.09
2024-10-05,1,0.74,-0.74,82.17,2.83
2024-10-18,1,1.59,-1.59,80.58,4.42
2024-10-19,2,2.65,2.27,82.85,2.15
2024-10-23,1,1.07,-1.07,81.78,3.22
2024-10-29,2,5.4,-1.51,80.27,4.73
