month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,0,0.0,0.0,0.0
2021-12,22,20.86,9.12,43.72
2022-01,3,2.28,3.32,145.61
2022-02,28,48.48,18.14,37.42
2022-03,13,47.38,-12.64,-26.68
2022-04,11,48.49,32.57,67.17
2022-05,5,25.51,1.64,6.43
2022-08,9,5.48,3.4,62.04
2022-09,3,1.83,-1.83,-100.0
2022-10,8,14.49,7.76,53.55
2022-11,5,2.28,-0.88,-38.6
2022-12,1,0.57,-0.57,-100.0
2023-01,5,1.8,-0.45,-25.0
2023-02,10,6.84,-0.55,-8.04
2023-03,8,23.91,-1.39,-5.81
2023-04,14,37.74,17.61,46.66
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,3,1.05,0.72,68.57
2024-08,14,5.95,-1.17,-19.66
2024-09,5,2.26,0.48,21.24
2024-10,8,12.52,-3.71,-29.63
2024-11,3,1.24,1.31,105.65
2024-12,2,2.91,8.8,302.41
2025-01,7,5.82,1.87,32.13
2025-02,17,19.22,13.34,69.41
2025-03,8,5.1,-1.82,-35.69
2025-04,9,2.58,-1.5,-58.14
2025-05,10,6.24,1.58,25.32
2025-08,7,2.92,-1.33,-45.55
2025-09,8,4.13,4.68,113.32
2025-10,13,13.17,1.16,8.81
2025-11,3,1.45,3.29,226.9
2025-12,5,2.04,-0.55,-26.96
2026-01,5,5.41,4.19,77.45
2026-02,1,0.35,1.23,351.43
2026-03,4,2.07,0.97,46.86
2026-04,5,3.9,-1.7,-43.59
