date,bets,staked,profit,cumulative_profit,drawdown
2021-12-03,1,1.2,-1.2,-1.2,1.2
2021-12-05,1,1.25,-1.25,-2.45,2.45
2021-12-10,1,4.05,3.89,1.44,0.0
2021-12-11,2,3.15,1.17,2.61,0.0
2021-12-12,1,3.74,3.85,6.46,0.0
2021-12-27,1,0.4,-0.4,6.06,0.4
2022-01-14,1,1.35,3.31,9.37,0.0
2022-02-05,1,0.81,-0.81,8.56,0.81
2022-02-06,1,1.25,-1.25,7.31,2.06
2022-02-12,2,6.49,7.93,15.24,0.0
2022-02-13,5,16.2,-9.2,6.04,9.2
2022-02-18,1,5.4,7.67,13.71,1.53
2022-02-19,2,3.55,3.87,17.58,0.0
2022-02-20,1,0.49,-0.49,17.09,0.49
2022-02-25,1,0.52,-0.52,16.57,1.01
2022-02-26,3,9.75,8.8,25.37,0.0
2022-02-27,1,0.48,1.28,26.65,0.0
2022-03-05,1,8.34,-8.34,18.31,8.34
2022-03-13,2,5.09,-5.09,13.22,13.43
2022-03-15,2,6.64,0.29,13.51,13.14
2022-03-19,1,6.93,-6.93,6.58,20.07
2022-03-20,1,2.73,-2.73,3.85,22.8
2022-03-26,2,10.35,1.25,5.1,21.55
2022-03-27,1,3.99,6.06,11.16,15.49
2022-03-28,1,2.71,3.45,14.61,12.04
2022-04-09,2,9.96,8.67,23.28,3.37
2022-04-10,3,9.92,-2.48,20.8,5.85
2022-04-25,1,0.27,-0.27,20.53,6.12
2022-04-29,1,12.24,10.2,30.73,0.0
2022-04-30,2,15.0,16.37,47.1,0.0
2022-05-01,1,8.52,10.02,57.12,0.0
2022-05-07,1,1.99,-1.99,55.13,1.99
2022-05-21,3,15.0,-6.39,48.74,8.38
2022-08-14,1,1.9,3.17,51.91,5.21
2022-08-28,1,0.68,1.03,52.94,4.18
2022-09-17,1,0.18,-0.18,52.76,4.36
2022-09-24,1,1.22,-1.22,51.54,5.58
2022-09-25,1,0.43,-0.43,51.11,6.01
2022-10-08,2,0.94,-0.07,51.04,6.08
2022-10-19,1,0.71,-0.71,50.33,6.79
2022-10-21,1,10.29,11.09,61.42,0.0
2022-10-31,1,1.17,-1.17,60.25,1.17
2022-11-05,2,1.2,0.2,60.45,0.97
2022-11-11,1,0.5,-0.5,59.95,1.47
2022-12-11,1,0.57,-0.57,59.38,2.04
2023-01-15,1,0.52,-0.52,58.86,2.56
2023-02-04,1,0.49,-0.49,58.37,3.05
2023-02-11,1,0.96,-0.96,57.41,4.01
2023-02-17,1,0.83,-0.83,56.58,4.84
2023-02-19,1,0.48,-0.48,56.1,5.32
2023-02-20,1,0.54,-0.54,55.56,5.86
2023-02-21,1,0.84,-0.84,54.72,6.7
2023-02-25,1,0.53,-0.53,54.19,7.23
2023-02-27,1,0.8,-0.8,53.39,8.03
2023-02-28,2,1.37,4.92,58.31,3.11
2023-03-18,3,0.8,-0.8,57.51,3.91
2023-03-26,2,10.68,-10.68,46.83,14.59
2023-03-27,1,0.52,-0.52,46.31,15.11
2023-03-31,1,11.66,10.86,57.17,4.25
2023-04-01,3,10.07,12.99,70.16,0.0
2023-04-05,1,0.8,-0.8,69.36,0.8
2023-04-08,2,0.64,-0.64,68.72,1.44
2023-04-15,2,0.74,-0.74,67.98,2.18
2023-04-18,1,15.0,12.05,80.03,0.0
2023-04-21,1,1.13,1.0,81.03,0.0
2023-04-22,1,0.28,-0.28,80.75,0.28
2023-04-25,1,0.65,-0.65,80.1,0.93
2023-04-29,1,7.53,-7.53,72.57,8.46
2023-04-30,1,0.9,2.2,74.77,6.26
2023-05-06,1,4.05,-4.05,70.72,10.31
2023-05-08,1,1.1,-1.1,69.62,11.41
2023-05-13,1,8.54,10.88,80.5,0.53
2023-08-30,1,0.36,0.88,81.38,0.0
2023-10-21,1,1.55,1.0,82.38,0.0
2023-12-17,1,1.17,-1.17,81.21,1.17
2024-02-03,1,0.3,0.94,82.15,0.23
2024-02-17,1,0.22,0.65,82.8,0.0
2024-03-12,1,0.18,0.56,83.36,0.0
2024-04-09,2,0.44,0.11,83.47,0.0
2024-05-05,1,0.18,-0.18,83.29,0.18
2024-05-18,1,0.62,1.15,84.44,0.0
2024-08-10,2,1.99,1.34,85.78,0.0
