month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2021-03-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-10,2021-04-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2021-11,2021-05-01..2021-10-31,FROZEN_MODEL_EVALUATED,1470,4,4,1.91,1.31,68.59,3000.0,452.0,10.0,0.25,ridge,5.0,7.8079,,,0.0,13.427,1.0,{'home': 4}
2021-12,2021-06-01..2021-11-30,ABSTAIN_INNER_VALIDATION,1922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-01,2021-07-01..2021-12-31,FROZEN_MODEL_EVALUATED,2429,8,7,1.8,1.15,63.89,3100.0,451.0,1.0,0.0,ridge,5.0,7.6992,,,0.0,7.1632,0.625,"{'away': 3, 'draw': 1, 'home': 4}"
2022-02,2021-08-01..2022-01-31,FROZEN_MODEL_EVALUATED,2843,26,10,7.92,2.5,31.57,2800.0,645.0,100.0,0.0,ridge,5.0,8.5886,,,0.0,1.7881,0.6154,"{'draw': 9, 'home': 12, 'away': 5}"
2022-03,2021-09-01..2022-02-28,FROZEN_MODEL_EVALUATED,3075,30,14,7.66,-2.33,-30.42,3100.0,489.0,100.0,0.0,ridge,5.0,8.4361,,,0.0,4.57,0.6667,"{'home': 15, 'away': 10, 'draw': 5}"
2022-04,2021-10-01..2022-03-31,FROZEN_MODEL_EVALUATED,3112,16,10,5.88,3.25,55.27,3000.0,677.0,100.0,0.0,ridge,5.0,8.3187,,,0.0,5.8218,0.6875,"{'draw': 4, 'home': 8, 'away': 4}"
2022-05,2021-11-01..2022-04-30,FROZEN_MODEL_EVALUATED,3221,6,4,3.3,-1.0,-30.3,3100.0,345.0,1.0,0.25,ridge,5.0,9.4004,,,0.0,4.5198,0.6667,"{'home': 3, 'away': 3}"
2022-08,2022-02-01..2022-07-31,ABSTAIN_INNER_VALIDATION,2220,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-09,2022-03-01..2022-08-31,ABSTAIN_INNER_VALIDATION,2144,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
