month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,3694,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,5883,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,7571,8,6,3.46,-0.92,-26.59,3100.0,1802.0,100.0,0.25,ridge,5.0,0.1112,,,0.0,,0.0,5.3016,0.75,"{'home': 6, 'draw': 1, 'away': 1}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,9373,3,3,0.61,0.47,77.05,3100.0,1685.0,100.0,0.25,ridge,5.0,0.1104,,,0.0,,0.0,18.5016,1.0,"{'away': 1, 'home': 2}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,11058,9,5,4.79,3.37,70.35,2800.0,2287.0,100.0,0.25,ridge,5.0,0.119,,,0.0,,0.0,11.9303,1.0,"{'away': 2, 'home': 7}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,13345,16,10,5.28,0.73,13.83,3100.0,1804.0,1.0,0.25,ridge,5.0,0.1202,,,0.0,,0.0,8.3544,0.75,"{'home': 12, 'away': 4}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,15149,8,5,2.63,1.92,73.0,3000.0,2415.0,10.0,0.5,ridge,5.0,0.1199,,,0.0,,0.0,12.2937,0.875,"{'home': 6, 'away': 2}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,17418,4,2,1.8,-0.23,-12.78,3100.0,1164.0,100.0,0.5,ridge,5.0,0.1213,,,0.0,,0.0,4.3018,0.5,"{'home': 3, 'away': 1}"
2022-08,2021-11-01..2022-07-31,FROZEN_MODEL_EVALUATED,13092,5,5,1.28,1.19,92.97,3100.0,1965.0,10.0,0.0,ridge,5.0,0.1522,,,0.0,,0.0,10.8492,0.8,"{'away': 4, 'home': 1}"
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,13369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,13110,6,6,1.36,0.07,5.15,3100.0,2635.0,1.0,0.0,ridge,5.0,0.1142,,,0.0,,0.0,6.7525,1.0,"{'home': 4, 'away': 1, 'draw': 1}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,14060,2,2,0.25,-0.25,-100.0,3000.0,1252.0,1.0,0.0,ridge,5.0,0.1116,,,0.0,,0.0,-0.3061,0.5,{'home': 2}
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,13025,0,0,0.0,0.0,0.0,3100.0,1022.0,100.0,0.0,ridge,5.0,0.1082,,,0.0,,0.0,,,{}
2023-01,2022-04-01..2022-12-31,ABSTAIN_INNER_VALIDATION,12243,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,11712,0,0,0.0,0.0,0.0,2800.0,2095.0,10.0,0.0,ridge,5.0,0.106,,,0.0,,0.0,,,{}
2023-03,2022-06-01..2023-02-28,ABSTAIN_INNER_VALIDATION,12643,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,14293,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,16532,2,2,0.49,0.12,24.49,3100.0,1541.0,1.0,0.25,ridge,5.0,0.1043,,,0.0,,0.0,12.1159,1.0,"{'draw': 1, 'home': 1}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,12123,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,12327,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-10,2023-01-01..2023-09-30,FROZEN_MODEL_EVALUATED,13304,1,1,0.53,0.34,64.15,3100.0,1882.0,100.0,0.0,ridge,5.0,0.1068,,,0.0,,0.0,4.707,1.0,{'home': 1}
2023-11,2023-02-01..2023-10-31,FROZEN_MODEL_EVALUATED,13302,0,0,0.0,0.0,0.0,3000.0,1546.0,10.0,0.0,ridge,5.0,0.1042,,,0.0,,0.0,,,{}
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,12753,1,1,0.24,-0.24,-100.0,3100.0,2158.0,100.0,0.0,ridge,5.0,0.099,,,0.0,,0.0,-6.7085,0.0,{'home': 1}
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,13261,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,12335,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,FROZEN_MODEL_EVALUATED,12790,1,1,0.1,-0.1,-100.0,3100.0,1682.0,10.0,0.0,ridge,5.0,0.1053,,,0.0,,0.0,37.3021,1.0,{'away': 1}
2024-04,2023-07-01..2024-03-31,FROZEN_MODEL_EVALUATED,14327,1,1,0.11,0.23,209.09,3000.0,2066.0,100.0,0.0,ridge,5.0,0.1045,,,0.0,,0.0,5.7505,1.0,{'draw': 1}
2024-05,2023-08-01..2024-04-30,FROZEN_MODEL_EVALUATED,16345,1,1,0.21,0.39,185.71,3100.0,1142.0,100.0,0.0,ridge,5.0,0.1036,,,0.0,,0.0,7.7767,1.0,{'draw': 1}
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,12207,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,12173,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,FROZEN_MODEL_EVALUATED,11707,5,4,1.01,-0.65,-64.36,3100.0,1801.0,100.0,0.0,ridge,5.0,0.1259,,,0.0,,0.0,7.5015,0.8,"{'home': 1, 'away': 4}"
2024-11,2024-02-01..2024-10-31,ABSTAIN_INNER_VALIDATION,11948,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,11646,1,1,0.13,0.38,292.31,3100.0,2022.0,100.0,0.25,ridge,5.0,0.1153,,,0.0,,0.0,21.2515,1.0,{'home': 1}
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,11986,0,0,0.0,0.0,0.0,3100.0,1828.0,100.0,0.25,ridge,5.0,0.1151,,,0.0,,0.0,,,{}
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,11748,5,3,0.66,1.08,163.64,2800.0,1964.0,10.0,0.25,ridge,5.0,0.1129,,,0.0,,0.0,5.8455,0.8,"{'draw': 3, 'home': 2}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,12570,1,1,0.15,-0.15,-100.0,3100.0,1973.0,100.0,0.25,ridge,5.0,0.1113,,,0.0,,0.0,5.5663,1.0,{'draw': 1}
