candidate_id,outcome
data\historical_csv\football-data\2122\B1.csv:153,draw
data\historical_csv\football-data\2122\I2.csv:162,home
data\historical_csv\football-data\2122\B1.csv:158,away
data\historical_csv\football-data\2122\N1.csv:140,home
data\historical_csv\football-data\2122\B1.csv:162,home
data\historical_csv\football-data\2122\T1.csv:191,draw
data\historical_csv\football-data\2122\N1.csv:164,home
data\historical_csv\football-data\2122\T1.csv:234,draw
data\historical_csv\football-data\2122\SP2.csv:284,home
data\historical_csv\football-data\2122\B1.csv:235,away
data\historical_csv\football-data\2122\I2.csv:216,draw
data\historical_csv\football-data\2122\B1.csv:240,home
data\historical_csv\football-data\2122\B1.csv:239,home
data\historical_csv\football-data\2122\SP2.csv:299,away
data\historical_csv\football-data\2122\SP2.csv:300,home
data\historical_csv\football-data\2122\I2.csv:232,draw
data\historical_csv\football-data\2122\SP2.csv:310,draw
data\historical_csv\football-data\2122\I2.csv:256,home
data\historical_csv\football-data\2122\I2.csv:254,home
data\historical_csv\football-data\2122\I2.csv:252,away
data\historical_csv\football-data\2122\I2.csv:261,home
data\historical_csv\football-data\2122\I2.csv:274,home
data\historical_csv\football-data\2122\SP2.csv:342,away
data\historical_csv\football-data\2122\SP2.csv:340,home
data\historical_csv\football-data\2122\I2.csv:295,home
data\historical_csv\football-data\2122\I2.csv:292,home
data\historical_csv\football-data\2122\E1.csv:450,away
data\historical_csv\football-data\2122\I1.csv:293,home
data\historical_csv\football-data\2122\SP2.csv:356,home
data\historical_csv\football-data\2122\SP2.csv:355,home
data\historical_csv\football-data\2122\SP2.csv:359,home
data\historical_csv\football-data\2122\SP2.csv:364,home
data\historical_csv\football-data\2122\SP2.csv:380,home
data\historical_csv\football-data\2122\I2.csv:332,away
data\historical_csv\football-data\2122\I2.csv:339,home
data\historical_csv\football-data\2122\I2.csv:338,home
data\historical_csv\football-data\2122\I2.csv:336,home
data\historical_csv\football-data\2122\SP2.csv:409,home
data\historical_csv\football-data\2122\SP2.csv:410,home
data\historical_csv\football-data\2122\SP2.csv:412,away
data\historical_csv\football-data\2122\SP2.csv:413,home
data\historical_csv\football-data\2122\SP2.csv:422,away
data\historical_csv\football-data\2122\SP2.csv:452,home
data\historical_csv\football-data\2122\SP2.csv:443,away
data\historical_csv\football-data\2122\SP2.csv:448,home
data\historical_csv\football-data\2223\SP2.csv:93,draw
data\historical_csv\football-data\2223\B1.csv:116,draw
data\historical_csv\football-data\2223\T1.csv:92,home
data\historical_csv\football-data\2223\P1.csv:100,draw
data\historical_csv\football-data\2223\F2.csv:139,draw
data\historical_csv\football-data\2223\F2.csv:140,draw
data\historical_csv\football-data\2223\I2.csv:122,home
