candidate_id,outcome
data\historical_csv\football-data\2122\B1.csv:119,home
data\historical_csv\football-data\2122\SP2.csv:163,home
data\historical_csv\football-data\2122\SP2.csv:189,home
data\historical_csv\football-data\2122\SP2.csv:239,away
data\historical_csv\football-data\2122\SP2.csv:245,draw
data\historical_csv\football-data\2122\P1.csv:154,home
data\historical_csv\football-data\2122\N1.csv:164,home
data\historical_csv\football-data\2122\F1.csv:205,away
data\historical_csv\football-data\2122\SC0.csv:128,home
data\historical_csv\football-data\2122\T1.csv:234,draw
data\historical_csv\football-data\2122\SP2.csv:284,home
data\historical_csv\football-data\2122\B1.csv:235,away
data\historical_csv\football-data\2122\I2.csv:216,draw
data\historical_csv\football-data\2122\B1.csv:240,home
data\historical_csv\football-data\2122\B1.csv:239,home
data\historical_csv\football-data\2122\SP2.csv:299,away
data\historical_csv\football-data\2122\SP2.csv:300,home
data\historical_csv\football-data\2122\I2.csv:232,draw
data\historical_csv\football-data\2122\I2.csv:256,home
data\historical_csv\football-data\2122\I2.csv:254,home
data\historical_csv\football-data\2122\I2.csv:252,away
data\historical_csv\football-data\2122\I2.csv:274,home
data\historical_csv\football-data\2122\E2.csv:429,draw
data\historical_csv\football-data\2122\F2.csv:272,draw
data\historical_csv\football-data\2122\SP2.csv:333,home
data\historical_csv\football-data\2122\SP2.csv:342,away
data\historical_csv\football-data\2122\SP2.csv:340,home
data\historical_csv\football-data\2122\I2.csv:295,home
data\historical_csv\football-data\2122\I2.csv:292,home
data\historical_csv\football-data\2122\E1.csv:450,away
data\historical_csv\football-data\2122\SP2.csv:344,draw
data\historical_csv\football-data\2122\E1.csv:453,away
data\historical_csv\football-data\2122\I1.csv:293,home
data\historical_csv\football-data\2122\SP2.csv:356,home
data\historical_csv\football-data\2122\SP2.csv:355,home
data\historical_csv\football-data\2122\SP2.csv:359,home
data\historical_csv\football-data\2122\SP2.csv:364,home
data\historical_csv\football-data\2122\SP2.csv:380,home
data\historical_csv\football-data\2122\I2.csv:339,home
data\historical_csv\football-data\2122\I2.csv:338,home
data\historical_csv\football-data\2122\I2.csv:336,home
data\historical_csv\football-data\2122\SP2.csv:409,home
data\historical_csv\football-data\2122\SP2.csv:410,home
data\historical_csv\football-data\2122\SP2.csv:412,away
data\historical_csv\football-data\2122\SP2.csv:413,home
data\historical_csv\football-data\2122\SP2.csv:422,away
data\historical_csv\football-data\2122\SP2.csv:452,home
data\historical_csv\football-data\2122\SP2.csv:443,away
data\historical_csv\football-data\2122\SP2.csv:448,home
data\historical_csv\football-data\2223\E1.csv:131,away
data\historical_csv\football-data\2223\SP2.csv:107,home
data\historical_csv\football-data\2223\T1.csv:92,home
data\historical_csv\football-data\2223\P1.csv:100,draw
data\historical_csv\football-data\2223\I2.csv:238,draw
data\historical_csv\football-data\2223\F2.csv:240,home
data\historical_csv\football-data\2223\F2.csv:250,draw
data\historical_csv\football-data\2223\I2.csv:264,away
data\historical_csv\football-data\2223\F2.csv:271,draw
data\historical_csv\football-data\2223\SP2.csv:362,away
data\historical_csv\football-data\2223\SP2.csv:359,home
data\historical_csv\football-data\2223\B1.csv:272,away
data\historical_csv\football-data\2324\E1.csv:493,away
data\historical_csv\football-data\2425\I2.csv:199,home
data\historical_csv\football-data\2425\E0.csv:196,home
data\historical_csv\football-data\2425\T1.csv:162,draw
data\historical_csv\football-data\2425\F1.csv:143,draw
data\historical_csv\football-data\2425\F1.csv:156,draw
data\historical_csv\football-data\2425\T1.csv:175,draw
data\historical_csv\football-data\2425\SP1.csv:199,draw
data\historical_csv\football-data\2425\T1.csv:191,draw
data\historical_csv\football-data\2425\SP1.csv:218,draw
data\historical_csv\football-data\2425\D2.csv:184,draw
data\historical_csv\football-data\2425\F1.csv:184,draw
data\historical_csv\football-data\2425\I1.csv:243,draw
data\historical_csv\football-data\2425\I2.csv:260,draw
data\historical_csv\football-data\2425\I2.csv:259,home
data\historical_csv\football-data\2425\I1.csv:250,draw
data\historical_csv\football-data\2425\D1.csv:200,draw
data\historical_csv\football-data\2425\T1.csv:220,draw
data\historical_csv\football-data\2425\T1.csv:226,draw
data\historical_csv\football-data\2425\N1.csv:216,draw
data\historical_csv\football-data\2425\P1.csv:220,away
data\historical_csv\football-data\2425\I1.csv:300,draw
data\historical_csv\football-data\2425\F2.csv:262,draw
data\historical_csv\football-data\2425\I1.csv:318,draw
data\historical_csv\football-data\2425\SP1.csv:306,draw
data\historical_csv\football-data\2425\SP1.csv:311,draw
data\historical_csv\football-data\2425\SP1.csv:316,draw
data\historical_csv\football-data\2425\SP1.csv:318,draw
data\historical_csv\football-data\2425\B1.csv:283,draw
data\historical_csv\football-data\2425\I1.csv:332,draw
data\historical_csv\football-data\2425\I1.csv:341,draw
data\historical_csv\football-data\2425\F1.csv:285,draw
data\historical_csv\football-data\2425\B1.csv:294,home
data\historical_csv\football-data\2526\B1.csv:104,away
data\historical_csv\football-data\2526\B1.csv:109,away
data\historical_csv\football-data\2526\B1.csv:107,away
data\historical_csv\football-data\2526\D2.csv:104,away
data\historical_csv\football-data\2526\B1.csv:111,away
data\historical_csv\football-data\2526\E2.csv:194,away
data\historical_csv\football-data\2526\E3.csv:216,home
data\historical_csv\football-data\2526\B1.csv:137,away
data\historical_csv\football-data\2526\I2.csv:147,away
data\historical_csv\football-data\2526\E3.csv:268,home
data\historical_csv\football-data\2526\F2.csv:157,away
data\historical_csv\football-data\2526\B1.csv:185,away
data\historical_csv\football-data\2526\T1.csv:244,away
data\historical_csv\football-data\2526\E1.csv:483,home
