candidate_id,outcome
data\historical_csv\football-data\2122\I2.csv:274,home
data\historical_csv\football-data\2122\SP2.csv:342,away
data\historical_csv\football-data\2122\I2.csv:295,home
data\historical_csv\football-data\2122\I2.csv:292,home
data\historical_csv\football-data\2122\E1.csv:450,away
data\historical_csv\football-data\2122\I1.csv:293,home
data\historical_csv\football-data\2122\SP2.csv:356,home
data\historical_csv\football-data\2122\SP2.csv:355,home
data\historical_csv\football-data\2122\SP2.csv:359,home
data\historical_csv\football-data\2122\I2.csv:339,home
data\historical_csv\football-data\2122\I2.csv:338,home
data\historical_csv\football-data\2122\SP2.csv:409,home
data\historical_csv\football-data\2122\SP2.csv:410,home
data\historical_csv\football-data\2122\SP2.csv:412,away
data\historical_csv\football-data\2122\SP2.csv:413,home
data\historical_csv\football-data\2122\SP2.csv:422,away
data\historical_csv\football-data\2122\SP2.csv:452,home
data\historical_csv\football-data\2122\SP2.csv:443,away
data\historical_csv\football-data\2122\SP2.csv:448,home
data\historical_csv\football-data\2223\I2.csv:11,away
data\historical_csv\football-data\2223\E3.csv:102,home
data\historical_csv\football-data\2223\SP2.csv:71,home
data\historical_csv\football-data\2223\SP2.csv:73,away
data\historical_csv\football-data\2223\T1.csv:92,home
data\historical_csv\football-data\2223\F2.csv:139,draw
data\historical_csv\football-data\2223\F2.csv:140,draw
data\historical_csv\football-data\2223\I2.csv:122,home
data\historical_csv\football-data\2223\E2.csv:215,home
data\historical_csv\football-data\2223\I2.csv:169,away
data\historical_csv\football-data\2223\E2.csv:279,away
data\historical_csv\football-data\2223\I2.csv:199,home
data\historical_csv\football-data\2223\I2.csv:213,away
data\historical_csv\football-data\2223\I2.csv:242,away
data\historical_csv\football-data\2223\F2.csv:250,draw
data\historical_csv\football-data\2223\E3.csv:395,away
data\historical_csv\football-data\2223\G1.csv:186,away
data\historical_csv\football-data\2223\B1.csv:265,draw
data\historical_csv\football-data\2223\SP2.csv:362,away
data\historical_csv\football-data\2223\SP2.csv:359,home
data\historical_csv\football-data\2223\SP2.csv:364,away
data\historical_csv\football-data\2223\B1.csv:272,away
data\historical_csv\football-data\2223\G1.csv:229,draw
data\historical_csv\football-data\2223\E3.csv:544,home
data\historical_csv\football-data\2223\F2.csv:345,home
data\historical_csv\football-data\2324\G1.csv:52,home
data\historical_csv\football-data\2324\G1.csv:96,home
data\historical_csv\football-data\2324\SC0.csv:104,draw
data\historical_csv\football-data\2324\SP2.csv:247,draw
data\historical_csv\football-data\2324\E3.csv:348,home
data\historical_csv\football-data\2324\I1.csv:230,home
data\historical_csv\football-data\2324\E2.csv:387,away
data\historical_csv\football-data\2324\E3.csv:441,home
data\historical_csv\football-data\2324\G1.csv:196,away
data\historical_csv\football-data\2425\F2.csv:63,away
