candidate_id,outcome
data\historical_csv\football-data\2223\I2.csv:11,away
data\historical_csv\football-data\2223\I2.csv:29,away
data\historical_csv\football-data\2223\SP2.csv:71,home
data\historical_csv\football-data\2223\SP2.csv:73,away
data\historical_csv\football-data\2223\T1.csv:92,home
data\historical_csv\football-data\2223\I2.csv:242,away
data\historical_csv\football-data\2223\B1.csv:234,home
data\historical_csv\football-data\2223\F2.csv:240,home
data\historical_csv\football-data\2223\E3.csv:373,home
data\historical_csv\football-data\2223\F2.csv:250,draw
data\historical_csv\football-data\2223\B1.csv:265,draw
data\historical_csv\football-data\2223\SP2.csv:362,away
data\historical_csv\football-data\2223\SP2.csv:359,home
data\historical_csv\football-data\2223\SP2.csv:364,away
data\historical_csv\football-data\2223\B1.csv:272,away
data\historical_csv\football-data\2223\G1.csv:194,home
data\historical_csv\football-data\2223\B1.csv:274,away
data\historical_csv\football-data\2223\F2.csv:288,home
data\historical_csv\football-data\2223\I2.csv:311,home
data\historical_csv\football-data\2223\B1.csv:293,draw
data\historical_csv\football-data\2223\T1.csv:263,away
data\historical_csv\football-data\2223\N1.csv:263,home
data\historical_csv\football-data\2223\E2.csv:525,home
data\historical_csv\football-data\2223\T1.csv:284,home
data\historical_csv\football-data\2223\G1.csv:229,draw
data\historical_csv\football-data\2223\E3.csv:544,home
data\historical_csv\football-data\2223\F2.csv:345,home
data\historical_csv\football-data\2324\I2.csv:23,home
data\historical_csv\football-data\2324\G1.csv:96,home
data\historical_csv\football-data\2324\E3.csv:348,home
data\historical_csv\football-data\2324\E2.csv:387,away
data\historical_csv\football-data\2324\E3.csv:441,home
data\historical_csv\football-data\2324\E1.csv:493,away
data\historical_csv\football-data\2324\E3.csv:509,away
data\historical_csv\football-data\2324\T1.csv:347,away
data\historical_csv\football-data\2324\T1.csv:368,draw
data\historical_csv\football-data\2425\D2.csv:6,away
data\historical_csv\football-data\2425\E2.csv:8,home
data\historical_csv\football-data\2425\P1.csv:6,away
data\historical_csv\football-data\2425\I2.csv:7,home
data\historical_csv\football-data\2425\F2.csv:13,home
data\historical_csv\football-data\2425\T1.csv:21,away
data\historical_csv\football-data\2425\N1.csv:23,home
data\historical_csv\football-data\2425\T1.csv:24,away
data\historical_csv\football-data\2425\F1.csv:18,home
data\historical_csv\football-data\2425\I2.csv:24,away
data\historical_csv\football-data\2425\I2.csv:25,home
data\historical_csv\football-data\2425\E1.csv:39,away
data\historical_csv\football-data\2425\SC0.csv:22,home
data\historical_csv\football-data\2425\E2.csv:48,home
data\historical_csv\football-data\2425\I2.csv:52,home
data\historical_csv\football-data\2425\SP1.csv:55,draw
data\historical_csv\football-data\2425\F1.csv:45,draw
data\historical_csv\football-data\2425\SP1.csv:59,draw
data\historical_csv\football-data\2425\F2.csv:63,away
data\historical_csv\football-data\2425\I2.csv:87,away
data\historical_csv\football-data\2425\SP2.csv:116,home
data\historical_csv\football-data\2425\I2.csv:103,away
data\historical_csv\football-data\2425\SP2.csv:142,draw
data\historical_csv\football-data\2425\D2.csv:184,draw
data\historical_csv\football-data\2425\I1.csv:243,draw
data\historical_csv\football-data\2425\I2.csv:260,draw
data\historical_csv\football-data\2425\I1.csv:250,draw
data\historical_csv\football-data\2425\D1.csv:200,draw
data\historical_csv\football-data\2425\B1.csv:210,home
data\historical_csv\football-data\2425\I1.csv:257,draw
data\historical_csv\football-data\2425\T1.csv:226,draw
data\historical_csv\football-data\2425\I1.csv:300,draw
data\historical_csv\football-data\2425\F2.csv:262,draw
data\historical_csv\football-data\2425\I1.csv:318,draw
data\historical_csv\football-data\2425\SP1.csv:306,draw
data\historical_csv\football-data\2425\SP1.csv:311,draw
data\historical_csv\football-data\2425\SP1.csv:316,draw
data\historical_csv\football-data\2425\F1.csv:269,draw
data\historical_csv\football-data\2425\SP1.csv:318,draw
data\historical_csv\football-data\2425\B1.csv:283,draw
data\historical_csv\football-data\2425\I1.csv:332,draw
data\historical_csv\football-data\2526\P1.csv:8,draw
data\historical_csv\football-data\2526\B1.csv:28,away
data\historical_csv\football-data\2526\B1.csv:32,away
data\historical_csv\football-data\2526\B1.csv:36,away
data\historical_csv\football-data\2526\E3.csv:62,draw
data\historical_csv\football-data\2526\SP2.csv:30,draw
data\historical_csv\football-data\2526\F1.csv:25,draw
data\historical_csv\football-data\2526\T1.csv:33,away
data\historical_csv\football-data\2526\T1.csv:39,away
data\historical_csv\football-data\2526\B1.csv:54,away
data\historical_csv\football-data\2526\G1.csv:23,home
data\historical_csv\football-data\2526\SC0.csv:30,draw
data\historical_csv\football-data\2526\I2.csv:39,away
data\historical_csv\football-data\2526\B1.csv:72,away
data\historical_csv\football-data\2526\B1.csv:71,away
data\historical_csv\football-data\2526\B1.csv:90,home
data\historical_csv\football-data\2526\F2.csv:99,home
data\historical_csv\football-data\2526\SP2.csv:119,away
data\historical_csv\football-data\2526\SP2.csv:118,away
data\historical_csv\football-data\2526\E2.csv:340,away
data\historical_csv\football-data\2526\B1.csv:223,away
data\historical_csv\football-data\2526\P1.csv:226,away
data\historical_csv\football-data\2526\T1.csv:244,away
