date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved,month,monthly_cumulative_profit,monthly_drawdown
2022-03-01,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-02,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-03,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-04,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-05,1,3.7,-3.7,-3.7,3.7,96.3,2022-03,-3.7,3.7
2022-03-06,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-07,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-08,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-09,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-10,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-11,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-12,0,0.0,0.0,-3.7,3.7,100.0,2022-03,-3.7,3.7
2022-03-13,1,1.77,-1.77,-5.47,5.47,98.23,2022-03,-5.47,5.47
2022-03-14,0,0.0,0.0,-5.47,5.47,100.0,2022-03,-5.47,5.47
2022-03-15,2,3.11,0.97,-4.5,4.5,96.89,2022-03,-4.5,4.5
2022-03-16,0,0.0,0.0,-4.5,4.5,100.0,2022-03,-4.5,4.5
2022-03-17,0,0.0,0.0,-4.5,4.5,100.0,2022-03,-4.5,4.5
2022-03-18,0,0.0,0.0,-4.5,4.5,100.0,2022-03,-4.5,4.5
2022-03-19,1,2.31,-2.31,-6.81,6.81,97.69,2022-03,-6.81,6.81
2022-03-20,1,1.83,-1.83,-8.64,8.64,98.17,2022-03,-8.64,8.64
2022-03-21,0,0.0,0.0,-8.64,8.64,100.0,2022-03,-8.64,8.64
2022-03-22,0,0.0,0.0,-8.64,8.64,100.0,2022-03,-8.64,8.64
2022-03-23,0,0.0,0.0,-8.64,8.64,100.0,2022-03,-8.64,8.64
2022-03-24,0,0.0,0.0,-8.64,8.64,100.0,2022-03,-8.64,8.64
2022-03-25,0,0.0,0.0,-8.64,8.64,100.0,2022-03,-8.64,8.64
2022-03-26,2,4.08,0.59,-8.05,8.05,95.92,2022-03,-8.05,8.05
2022-03-27,1,1.81,2.75,-5.3,5.3,98.19,2022-03,-5.3,5.3
2022-03-28,1,0.71,0.9,-4.4,4.4,99.29,2022-03,-4.4,4.4
2022-03-29,0,0.0,0.0,-4.4,4.4,100.0,2022-03,-4.4,4.4
2022-03-30,0,0.0,0.0,-4.4,4.4,100.0,2022-03,-4.4,4.4
2022-03-31,0,0.0,0.0,-4.4,4.4,100.0,2022-03,-4.4,4.4
2022-04-01,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-02,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-03,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-04,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-05,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-06,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-07,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-08,0,0.0,0.0,-4.4,4.4,100.0,2022-04,0.0,0.0
2022-04-09,1,1.44,1.1,-3.3,3.3,98.56,2022-04,1.1,0.0
2022-04-10,3,4.12,-2.69,-5.99,5.99,95.88,2022-04,-1.59,2.69
2022-04-11,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-12,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-13,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-14,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-15,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-16,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-17,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-18,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-19,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-20,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-21,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-22,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-23,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-24,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-25,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-26,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-27,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-28,0,0.0,0.0,-5.99,5.99,100.0,2022-04,-1.59,2.69
2022-04-29,1,5.36,4.46,-1.53,1.53,94.64,2022-04,2.87,0.0
2022-04-30,2,7.74,8.34,6.81,0.0,92.26,2022-04,11.21,0.0
2022-05-01,1,3.51,4.13,10.94,0.0,96.49,2022-05,4.13,0.0
