date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved,month,monthly_cumulative_profit,monthly_drawdown
2022-03-01,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-02,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-03,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-04,0,0.0,0.0,0.0,0.0,100.0,2022-03,0.0,0.0
2022-03-05,1,3.8,-3.8,-3.8,3.8,96.2,2022-03,-3.8,3.8
2022-03-06,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-07,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-08,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-09,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-10,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-11,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-12,0,0.0,0.0,-3.8,3.8,100.0,2022-03,-3.8,3.8
2022-03-13,1,1.8,-1.8,-5.6,5.6,98.2,2022-03,-5.6,5.6
2022-03-14,0,0.0,0.0,-5.6,5.6,100.0,2022-03,-5.6,5.6
2022-03-15,2,3.19,1.19,-4.41,4.41,96.81,2022-03,-4.41,4.41
2022-03-16,0,0.0,0.0,-4.41,4.41,100.0,2022-03,-4.41,4.41
2022-03-17,0,0.0,0.0,-4.41,4.41,100.0,2022-03,-4.41,4.41
2022-03-18,0,0.0,0.0,-4.41,4.41,100.0,2022-03,-4.41,4.41
2022-03-19,1,2.46,-2.46,-6.87,6.87,97.54,2022-03,-6.87,6.87
2022-03-20,1,2.01,-2.01,-8.88,8.88,97.99,2022-03,-8.88,8.88
2022-03-21,0,0.0,0.0,-8.88,8.88,100.0,2022-03,-8.88,8.88
2022-03-22,0,0.0,0.0,-8.88,8.88,100.0,2022-03,-8.88,8.88
2022-03-23,0,0.0,0.0,-8.88,8.88,100.0,2022-03,-8.88,8.88
2022-03-24,0,0.0,0.0,-8.88,8.88,100.0,2022-03,-8.88,8.88
2022-03-25,0,0.0,0.0,-8.88,8.88,100.0,2022-03,-8.88,8.88
2022-03-26,2,4.08,0.59,-8.29,8.29,95.92,2022-03,-8.29,8.29
2022-03-27,1,1.81,2.75,-5.54,5.54,98.19,2022-03,-5.54,5.54
2022-03-28,0,0.0,0.0,-5.54,5.54,100.0,2022-03,-5.54,5.54
2022-03-29,0,0.0,0.0,-5.54,5.54,100.0,2022-03,-5.54,5.54
2022-03-30,0,0.0,0.0,-5.54,5.54,100.0,2022-03,-5.54,5.54
2022-03-31,0,0.0,0.0,-5.54,5.54,100.0,2022-03,-5.54,5.54
2022-04-01,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-02,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-03,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-04,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-05,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-06,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-07,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-08,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-09,0,0.0,0.0,-5.54,5.54,100.0,2022-04,0.0,0.0
2022-04-10,2,3.81,-3.81,-9.35,9.35,96.19,2022-04,-3.81,3.81
2022-04-11,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-12,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-13,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-14,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-15,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-16,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-17,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-18,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-19,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-20,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-21,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-22,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-23,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-24,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-25,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-26,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-27,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-28,0,0.0,0.0,-9.35,9.35,100.0,2022-04,-3.81,3.81
2022-04-29,1,5.96,4.96,-4.39,4.39,94.04,2022-04,1.15,0.0
2022-04-30,2,8.93,9.56,5.17,0.0,91.07,2022-04,10.71,0.0
2022-05-01,1,3.73,4.39,9.56,0.0,96.27,2022-05,4.39,0.0
