date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2021-12-01,0,0.0,0.0,0.0,0.0,100.0
2021-12-02,0,0.0,0.0,0.0,0.0,100.0
2021-12-03,0,0.0,0.0,0.0,0.0,100.0
2021-12-04,1,3.61,-3.61,-3.61,3.61,96.39
2021-12-05,1,0.74,-0.74,-4.35,4.35,99.26
2021-12-06,0,0.0,0.0,-4.35,4.35,100.0
2021-12-07,0,0.0,0.0,-4.35,4.35,100.0
2021-12-08,0,0.0,0.0,-4.35,4.35,100.0
2021-12-09,0,0.0,0.0,-4.35,4.35,100.0
2021-12-10,2,3.34,1.01,-3.34,3.34,96.66
2021-12-11,3,2.46,0.83,-2.51,2.51,97.54
2021-12-12,1,2.58,2.65,0.14,0.0,97.42
2021-12-13,0,0.0,0.0,0.14,0.0,100.0
2021-12-14,0,0.0,0.0,0.14,0.0,100.0
2021-12-15,0,0.0,0.0,0.14,0.0,100.0
2021-12-16,0,0.0,0.0,0.14,0.0,100.0
2021-12-17,0,0.0,0.0,0.14,0.0,100.0
2021-12-18,0,0.0,0.0,0.14,0.0,100.0
2021-12-19,0,0.0,0.0,0.14,0.0,100.0
2021-12-20,0,0.0,0.0,0.14,0.0,100.0
2021-12-21,0,0.0,0.0,0.14,0.0,100.0
2021-12-22,0,0.0,0.0,0.14,0.0,100.0
2021-12-23,0,0.0,0.0,0.14,0.0,100.0
2021-12-24,0,0.0,0.0,0.14,0.0,100.0
2021-12-25,0,0.0,0.0,0.14,0.0,100.0
2021-12-26,0,0.0,0.0,0.14,0.0,100.0
2021-12-27,1,0.27,-0.27,-0.13,0.27,99.73
2021-12-28,0,0.0,0.0,-0.13,0.27,100.0
2021-12-29,0,0.0,0.0,-0.13,0.27,100.0
2021-12-30,0,0.0,0.0,-0.13,0.27,100.0
2021-12-31,0,0.0,0.0,-0.13,0.27,100.0
2022-01-01,0,0.0,0.0,-0.13,0.27,100.0
2022-01-02,1,0.51,-0.51,-0.64,0.78,99.49
2022-01-03,0,0.0,0.0,-0.64,0.78,100.0
2022-01-04,0,0.0,0.0,-0.64,0.78,100.0
2022-01-05,0,0.0,0.0,-0.64,0.78,100.0
2022-01-06,0,0.0,0.0,-0.64,0.78,100.0
2022-01-07,0,0.0,0.0,-0.64,0.78,100.0
2022-01-08,0,0.0,0.0,-0.64,0.78,100.0
2022-01-09,0,0.0,0.0,-0.64,0.78,100.0
2022-01-10,0,0.0,0.0,-0.64,0.78,100.0
2022-01-11,0,0.0,0.0,-0.64,0.78,100.0
2022-01-12,0,0.0,0.0,-0.64,0.78,100.0
2022-01-13,1,0.64,0.56,-0.08,0.22,99.36
2022-01-14,1,0.81,1.98,1.9,0.0,99.19
2022-01-15,0,0.0,0.0,1.9,0.0,100.0
2022-01-16,0,0.0,0.0,1.9,0.0,100.0
2022-01-17,0,0.0,0.0,1.9,0.0,100.0
2022-01-18,0,0.0,0.0,1.9,0.0,100.0
2022-01-19,0,0.0,0.0,1.9,0.0,100.0
2022-01-20,0,0.0,0.0,1.9,0.0,100.0
2022-01-21,0,0.0,0.0,1.9,0.0,100.0
2022-01-22,0,0.0,0.0,1.9,0.0,100.0
2022-01-23,0,0.0,0.0,1.9,0.0,100.0
2022-01-24,0,0.0,0.0,1.9,0.0,100.0
2022-01-25,0,0.0,0.0,1.9,0.0,100.0
2022-01-26,0,0.0,0.0,1.9,0.0,100.0
2022-01-27,0,0.0,0.0,1.9,0.0,100.0
2022-01-28,0,0.0,0.0,1.9,0.0,100.0
2022-01-29,0,0.0,0.0,1.9,0.0,100.0
2022-01-30,0,0.0,0.0,1.9,0.0,100.0
2022-01-31,0,0.0,0.0,1.9,0.0,100.0
2022-02-01,0,0.0,0.0,1.9,0.0,100.0
2022-02-02,0,0.0,0.0,1.9,0.0,100.0
2022-02-03,0,0.0,0.0,1.9,0.0,100.0
2022-02-04,0,0.0,0.0,1.9,0.0,100.0
2022-02-05,1,0.53,-0.53,1.37,0.53,99.47
2022-02-06,1,0.88,-0.88,0.49,1.41,99.12
2022-02-07,0,0.0,0.0,0.49,1.41,100.0
2022-02-08,0,0.0,0.0,0.49,1.41,100.0
2022-02-09,0,0.0,0.0,0.49,1.41,100.0
2022-02-10,0,0.0,0.0,0.49,1.41,100.0
2022-02-11,0,0.0,0.0,0.49,1.41,100.0
2022-02-12,3,5.1,5.98,6.47,0.0,94.9
2022-02-13,3,25.22,-19.47,-13.0,19.47,74.78
2022-02-14,0,0.0,0.0,-13.0,19.47,100.0
2022-02-15,0,0.0,0.0,-13.0,19.47,100.0
2022-02-16,0,0.0,0.0,-13.0,19.47,100.0
2022-02-17,0,0.0,0.0,-13.0,19.47,100.0
2022-02-18,1,3.39,4.82,-8.18,14.65,96.61
2022-02-19,3,6.92,10.47,2.29,4.18,93.08
2022-02-20,0,0.0,0.0,2.29,4.18,100.0
2022-02-21,0,0.0,0.0,2.29,4.18,100.0
2022-02-22,0,0.0,0.0,2.29,4.18,100.0
2022-02-23,0,0.0,0.0,2.29,4.18,100.0
2022-02-24,0,0.0,0.0,2.29,4.18,100.0
2022-02-25,2,1.6,0.44,2.73,3.74,98.4
2022-02-26,3,6.39,5.69,8.42,0.0,93.61
2022-02-27,1,0.31,0.83,9.25,0.0,99.69
2022-02-28,0,0.0,0.0,9.25,0.0,100.0
2022-03-01,0,0.0,0.0,9.25,0.0,100.0
2022-03-02,0,0.0,0.0,9.25,0.0,100.0
2022-03-03,1,5.37,6.32,15.57,0.0,94.63
2022-03-04,0,0.0,0.0,15.57,0.0,100.0
2022-03-05,2,5.79,4.53,20.1,0.0,94.21
2022-03-06,0,0.0,0.0,20.1,0.0,100.0
2022-03-07,0,0.0,0.0,20.1,0.0,100.0
2022-03-08,0,0.0,0.0,20.1,0.0,100.0
2022-03-09,0,0.0,0.0,20.1,0.0,100.0
2022-03-10,0,0.0,0.0,20.1,0.0,100.0
2022-03-11,0,0.0,0.0,20.1,0.0,100.0
2022-03-12,2,1.14,-1.14,18.96,1.14,98.86
2022-03-13,2,2.36,-2.36,16.6,3.5,97.64
2022-03-14,0,0.0,0.0,16.6,3.5,100.0
2022-03-15,2,3.23,1.34,17.94,2.16,96.77
2022-03-16,0,0.0,0.0,17.94,2.16,100.0
2022-03-17,0,0.0,0.0,17.94,2.16,100.0
2022-03-18,0,0.0,0.0,17.94,2.16,100.0
2022-03-19,3,9.65,4.32,22.26,0.0,90.35
2022-03-20,1,1.76,-1.76,20.5,1.76,98.24
2022-03-21,0,0.0,0.0,20.5,1.76,100.0
2022-03-22,0,0.0,0.0,20.5,1.76,100.0
2022-03-23,0,0.0,0.0,20.5,1.76,100.0
2022-03-24,0,0.0,0.0,20.5,1.76,100.0
2022-03-25,0,0.0,0.0,20.5,1.76,100.0
2022-03-26,2,4.06,0.44,20.94,1.32,95.94
2022-03-27,3,6.09,16.4,37.34,0.0,93.91
2022-03-28,1,0.87,1.11,38.45,0.0,99.13
2022-03-29,0,0.0,0.0,38.45,0.0,100.0
2022-03-30,0,0.0,0.0,38.45,0.0,100.0
2022-03-31,0,0.0,0.0,38.45,0.0,100.0
2022-04-01,0,0.0,0.0,38.45,0.0,100.0
2022-04-02,0,0.0,0.0,38.45,0.0,100.0
2022-04-03,0,0.0,0.0,38.45,0.0,100.0
2022-04-04,0,0.0,0.0,38.45,0.0,100.0
2022-04-05,0,0.0,0.0,38.45,0.0,100.0
2022-04-06,0,0.0,0.0,38.45,0.0,100.0
2022-04-07,0,0.0,0.0,38.45,0.0,100.0
2022-04-08,0,0.0,0.0,38.45,0.0,100.0
2022-04-09,1,2.33,1.78,40.23,0.0,97.67
2022-04-10,4,12.49,9.32,49.55,0.0,87.51
2022-04-11,0,0.0,0.0,49.55,0.0,100.0
2022-04-12,0,0.0,0.0,49.55,0.0,100.0
2022-04-13,0,0.0,0.0,49.55,0.0,100.0
2022-04-14,0,0.0,0.0,49.55,0.0,100.0
2022-04-15,0,0.0,0.0,49.55,0.0,100.0
2022-04-16,1,2.54,5.48,55.03,0.0,97.46
2022-04-17,0,0.0,0.0,55.03,0.0,100.0
2022-04-18,0,0.0,0.0,55.03,0.0,100.0
2022-04-19,0,0.0,0.0,55.03,0.0,100.0
2022-04-20,0,0.0,0.0,55.03,0.0,100.0
2022-04-21,0,0.0,0.0,55.03,0.0,100.0
2022-04-22,0,0.0,0.0,55.03,0.0,100.0
2022-04-23,0,0.0,0.0,55.03,0.0,100.0
2022-04-24,0,0.0,0.0,55.03,0.0,100.0
2022-04-25,0,0.0,0.0,55.03,0.0,100.0
2022-04-26,0,0.0,0.0,55.03,0.0,100.0
2022-04-27,0,0.0,0.0,55.03,0.0,100.0
2022-04-28,0,0.0,0.0,55.03,0.0,100.0
2022-04-29,1,4.63,3.86,58.89,0.0,95.37
2022-04-30,2,7.29,7.91,66.8,0.0,92.71
2022-05-01,1,2.3,2.7,69.5,0.0,97.7
2022-05-02,0,0.0,0.0,69.5,0.0,100.0
2022-05-03,0,0.0,0.0,69.5,0.0,100.0
2022-05-04,0,0.0,0.0,69.5,0.0,100.0
2022-05-05,0,0.0,0.0,69.5,0.0,100.0
2022-05-06,0,0.0,0.0,69.5,0.0,100.0
2022-05-07,1,1.05,-1.05,68.45,1.05,98.95
2022-05-08,0,0.0,0.0,68.45,1.05,100.0
2022-05-09,0,0.0,0.0,68.45,1.05,100.0
2022-05-10,0,0.0,0.0,68.45,1.05,100.0
2022-05-11,0,0.0,0.0,68.45,1.05,100.0
2022-05-12,0,0.0,0.0,68.45,1.05,100.0
2022-05-13,0,0.0,0.0,68.45,1.05,100.0
2022-05-14,0,0.0,0.0,68.45,1.05,100.0
2022-05-15,0,0.0,0.0,68.45,1.05,100.0
2022-05-16,0,0.0,0.0,68.45,1.05,100.0
2022-05-17,0,0.0,0.0,68.45,1.05,100.0
2022-05-18,0,0.0,0.0,68.45,1.05,100.0
2022-05-19,0,0.0,0.0,68.45,1.05,100.0
2022-05-20,0,0.0,0.0,68.45,1.05,100.0
2022-05-21,3,9.82,-5.74,62.71,6.79,90.18
2022-05-22,0,0.0,0.0,62.71,6.79,100.0
2022-05-23,0,0.0,0.0,62.71,6.79,100.0
2022-05-24,0,0.0,0.0,62.71,6.79,100.0
2022-05-25,0,0.0,0.0,62.71,6.79,100.0
2022-05-26,0,0.0,0.0,62.71,6.79,100.0
2022-05-27,0,0.0,0.0,62.71,6.79,100.0
2022-05-28,0,0.0,0.0,62.71,6.79,100.0
2022-05-29,0,0.0,0.0,62.71,6.79,100.0
2022-05-30,0,0.0,0.0,62.71,6.79,100.0
2022-05-31,0,0.0,0.0,62.71,6.79,100.0
2022-10-01,0,0.0,0.0,62.71,6.79,100.0
2022-10-02,0,0.0,0.0,62.71,6.79,100.0
2022-10-03,0,0.0,0.0,62.71,6.79,100.0
2022-10-04,0,0.0,0.0,62.71,6.79,100.0
2022-10-05,0,0.0,0.0,62.71,6.79,100.0
2022-10-06,0,0.0,0.0,62.71,6.79,100.0
2022-10-07,1,1.18,-1.18,61.53,7.97,98.82
2022-10-08,1,0.27,0.79,62.32,7.18,99.73
2022-10-09,0,0.0,0.0,62.32,7.18,100.0
2022-10-10,0,0.0,0.0,62.32,7.18,100.0
