month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-12-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,10,7,3.25,0.62,19.08,3100.0,507.0,0.0,0.25,extra_trees,5.0,0.0208,,,0.0,5.1461,0.7,"{'home': 6, 'away': 2, 'draw': 2}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,2429,7,6,1.87,1.36,72.73,3100.0,451.0,0.0,0.25,extra_trees,5.0,0.0205,,,0.0,11.4101,0.7143,"{'away': 3, 'home': 4}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2880,27,13,10.26,2.48,24.17,2800.0,645.0,0.0,0.0,extra_trees,5.0,0.0218,,,0.0,2.4256,0.6296,"{'draw': 8, 'home': 11, 'away': 8}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3525,14,9,5.05,-1.05,-20.79,3100.0,489.0,0.0,0.5,extra_trees,5.0,0.0222,,,0.0,8.1248,0.7857,"{'home': 11, 'away': 3}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4014,8,5,4.5,2.72,60.44,3000.0,677.0,0.0,0.5,extra_trees,5.0,0.0225,,,0.0,6.9933,0.75,"{'home': 6, 'away': 2}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4654,6,3,3.32,-0.43,-12.95,3100.0,345.0,0.0,0.5,extra_trees,5.0,0.0231,,,0.0,7.594,0.6667,"{'home': 4, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3630,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3747,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,3663,14,11,3.35,-0.84,-25.07,3100.0,732.0,0.0,0.0,extra_trees,5.0,0.0231,,,0.0,4.0672,0.7143,"{'away': 7, 'home': 5, 'draw': 2}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,3944,4,3,0.64,-0.31,-48.44,3000.0,340.0,0.0,0.25,extra_trees,5.0,0.0222,,,0.0,1.3749,0.5,"{'draw': 2, 'home': 2}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,3639,2,1,0.24,-0.24,-100.0,3100.0,259.0,0.0,0.0,extra_trees,5.0,0.0212,,,0.0,3.8849,0.5,{'away': 2}
2023-01,2022-04-01..2022-12-31,ABSTAIN_INNER_VALIDATION,3409,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,3232,11,9,1.77,0.13,7.34,2800.0,560.0,0.0,0.0,extra_trees,5.0,0.0214,,,0.0,1.9509,0.4545,"{'draw': 2, 'home': 7, 'away': 2}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,3447,11,7,3.09,-1.53,-49.51,3100.0,437.0,0.0,0.0,extra_trees,5.0,0.0205,,,0.0,-2.963,0.3636,"{'away': 7, 'draw': 2, 'home': 2}"
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,3884,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,4476,3,3,1.59,0.55,34.59,3100.0,431.0,0.0,0.25,extra_trees,5.0,0.0203,,,0.0,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-10,2023-01-01..2023-09-30,FROZEN_MODEL_EVALUATED,3564,3,3,1.1,0.64,58.18,3100.0,484.0,0.0,0.0,extra_trees,5.0,0.0217,,,0.0,6.3081,0.6667,"{'home': 2, 'away': 1}"
2023-11,2023-02-01..2023-10-31,FROZEN_MODEL_EVALUATED,3548,0,0,0.0,0.0,0.0,3000.0,371.0,0.0,0.0,extra_trees,5.0,0.0211,,,0.0,,,{}
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,3359,4,4,0.87,-0.87,-100.0,3100.0,575.0,0.0,0.0,extra_trees,5.0,0.0199,,,0.0,-5.5983,0.5,"{'away': 1, 'home': 2, 'draw': 1}"
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,3497,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,3235,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3300,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3704,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4248,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3105,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3130,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,FROZEN_MODEL_EVALUATED,3030,36,15,6.58,-1.65,-25.08,3100.0,480.0,0.0,0.0,extra_trees,5.0,0.0253,,,0.0,0.7692,0.5833,"{'draw': 12, 'away': 20, 'home': 4}"
2024-11,2024-02-01..2024-10-31,FROZEN_MODEL_EVALUATED,3116,21,8,3.14,1.4,44.59,3000.0,461.0,0.0,0.0,extra_trees,5.0,0.0245,,,0.0,3.0534,0.7143,"{'away': 6, 'draw': 15}"
