date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.12,-1.12,-1.12,1.12
2021-12-10,1,6.52,6.26,5.14,0.0
2021-12-11,2,5.43,0.69,5.83,0.0
2021-12-12,1,4.68,4.82,10.65,0.0
2021-12-27,1,0.5,-0.5,10.15,0.5
2022-01-14,1,0.54,1.32,11.47,0.0
2022-02-05,1,0.1,-0.1,11.37,0.1
2022-02-06,1,0.5,-0.5,10.87,0.6
2022-02-12,2,7.45,7.85,18.72,0.0
2022-02-13,2,15.0,-7.64,11.08,7.64
2022-02-18,1,7.31,10.39,21.47,0.0
2022-02-19,1,2.3,4.21,25.68,0.0
2022-02-26,3,10.5,8.18,33.86,0.0
2022-03-05,1,8.03,-8.03,25.83,8.03
2022-03-13,2,4.94,-4.94,20.89,12.97
2022-03-15,2,6.59,0.0,20.89,12.97
2022-03-19,1,6.72,-6.72,14.17,19.69
2022-03-20,1,2.6,-2.6,11.57,22.29
2022-03-26,2,10.45,1.27,12.84,21.02
2022-03-27,1,3.88,5.89,18.73,15.13
2022-03-28,1,2.75,3.5,22.23,11.63
2022-04-09,2,10.05,8.74,30.97,2.89
2022-04-10,3,9.17,-1.55,29.42,4.44
2022-04-29,1,10.59,8.82,38.24,0.0
2022-04-30,2,15.0,16.49,54.73,0.0
2022-05-01,1,7.75,9.11,63.84,0.0
2022-05-07,1,1.81,-1.81,62.03,1.81
2022-05-21,3,15.0,-6.51,55.52,8.32
2022-08-14,1,1.6,2.67,58.19,5.65
2022-08-28,1,0.68,1.03,59.22,4.62
2022-09-24,1,1.06,-1.06,58.16,5.68
2022-09-25,1,0.43,-0.43,57.73,6.11
2022-10-19,1,0.31,-0.31,57.42,6.42
2022-10-21,1,13.66,14.73,72.15,0.0
2022-10-31,1,0.6,-0.6,71.55,0.6
2022-11-05,2,1.19,0.18,71.73,0.42
2022-11-11,1,0.47,-0.47,71.26,0.89
2023-02-11,1,0.15,-0.15,71.11,1.04
2023-02-17,1,0.31,-0.31,70.8,1.35
2023-02-19,1,0.15,-0.15,70.65,1.5
2023-02-20,1,0.31,-0.31,70.34,1.81
2023-02-21,1,0.84,-0.84,69.5,2.65
2023-02-27,1,0.37,-0.37,69.13,3.02
2023-03-18,1,0.27,-0.27,68.86,3.29
2023-03-26,2,11.33,-11.33,57.53,14.62
2023-03-27,1,0.52,-0.52,57.01,15.14
2023-03-31,1,13.04,12.14,69.15,3.0
2023-04-01,3,10.52,13.72,82.87,0.0
2023-04-05,1,0.8,-0.8,82.07,0.8
2023-04-15,1,0.35,-0.35,81.72,1.15
2023-04-18,1,15.0,12.05,93.77,0.0
2023-04-21,1,1.13,1.0,94.77,0.0
2023-04-25,1,0.65,-0.65,94.12,0.65
2023-04-29,1,9.11,-9.11,85.01,9.76
2023-04-30,1,0.94,2.3,87.31,7.46
2023-05-06,1,4.97,-4.97,82.34,12.43
2023-05-08,1,1.06,-1.06,81.28,13.49
2023-05-13,1,10.78,13.73,95.01,0.0
2023-08-30,1,0.36,0.88,95.89,0.0
2023-12-17,1,1.09,-1.09,94.8,1.09
2024-02-03,1,0.28,0.88,95.68,0.21
2024-02-17,1,0.22,0.65,96.33,0.0
2024-03-12,1,0.18,0.56,96.89,0.0
2024-04-09,2,0.44,0.11,97.0,0.0
2024-05-05,1,0.18,-0.18,96.82,0.18
2024-05-18,1,0.58,1.08,97.9,0.0
2024-08-03,1,0.36,-0.36,97.54,0.36
2024-08-10,1,0.58,-0.58,96.96,0.94
2024-08-11,1,0.38,1.07,98.03,0.0
2024-08-18,1,0.36,-0.36,97.67,0.36
2024-08-23,1,0.32,-0.32,97.35,0.68
2024-08-24,1,0.33,0.76,98.11,0.0
2024-08-25,3,0.96,0.09,98.2,0.0
2024-08-27,2,1.44,-1.44,96.76,1.44
2024-08-31,3,1.02,-0.04,96.72,1.48
2024-09-20,1,0.34,-0.34,96.38,1.82
2024-09-21,1,0.48,1.1,97.48,0.72
2024-09-22,2,0.76,0.4,97.88,0.32
2024-09-28,1,0.68,-0.68,97.2,1.0
2024-10-04,1,0.96,-0.96,96.24,1.96
2024-10-05,1,0.74,-0.74,95.5,2.7
2024-10-18,1,3.49,-3.49,92.01,6.19
2024-10-19,2,3.33,3.39,95.4,2.8
2024-10-23,1,1.0,-1.0,94.4,3.8
2024-10-29,2,7.26,-3.54,90.86,7.34
2024-11-09,1,0.5,0.98,91.84,6.36
2024-12-29,2,2.45,7.43,99.27,0.0
2025-01-17,1,0.43,-0.43,98.84,0.43
2025-01-18,1,1.1,2.92,101.76,0.0
2025-01-19,1,0.71,1.63,103.39,0.0
2025-01-26,1,0.46,-0.46,102.93,0.46
2025-01-31,1,0.59,-0.59,102.34,1.05
2025-02-08,2,2.13,-2.13,100.21,3.18
2025-02-15,3,3.74,5.27,105.48,0.0
2025-02-16,2,6.6,10.97,116.45,0.0
2025-02-17,1,1.17,-1.17,115.28,1.17
2025-02-21,2,6.99,-6.99,108.29,8.16
2025-02-22,1,1.17,2.8,111.09,5.36
2025-02-23,1,1.02,-1.02,110.07,6.38
2025-02-24,1,1.86,5.69,115.76,0.69
2025-03-01,1,0.43,-0.43,115.33,1.12
2025-03-02,1,0.52,-0.52,114.81,1.64
2025-03-08,2,2.12,-0.29,114.52,1.93
