date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.0,-1.0,-1.0,1.0
2021-12-10,1,4.64,4.46,3.46,0.0
2021-12-11,2,3.92,1.32,4.78,0.0
2021-12-12,1,4.18,4.3,9.08,0.0
2022-01-14,1,1.25,3.06,12.14,0.0
2022-02-05,1,0.81,-0.81,11.33,0.81
2022-02-06,1,1.25,-1.25,10.08,2.06
2022-02-12,2,6.46,7.9,17.98,0.0
2022-02-13,2,15.0,-7.44,10.54,7.44
2022-02-18,1,5.14,7.3,17.84,0.14
2022-02-19,2,3.46,3.71,21.55,0.0
2022-02-25,1,0.52,-0.52,21.03,0.52
2022-02-26,3,9.48,8.46,29.49,0.0
2022-02-27,1,0.48,1.28,30.77,0.0
2022-03-05,1,7.95,-7.95,22.82,7.95
2022-03-12,2,2.9,-2.9,19.92,10.85
2022-03-13,2,4.91,-4.91,15.01,15.76
2022-03-15,2,6.55,0.04,15.05,15.72
2022-03-19,1,6.63,-6.63,8.42,22.35
2022-03-20,1,2.61,-2.61,5.81,24.96
2022-03-26,2,10.35,1.25,7.06,23.71
2022-03-27,1,3.85,5.85,12.91,17.86
2022-03-28,1,2.72,3.47,16.38,14.39
2022-04-09,1,8.71,6.66,23.04,7.73
2022-04-10,3,9.06,-1.62,21.42,9.35
2022-04-29,1,10.48,8.73,30.15,0.62
2022-04-30,2,15.0,16.49,46.64,0.0
2022-05-01,1,7.65,9.0,55.64,0.0
2022-05-07,1,1.8,-1.8,53.84,1.8
2022-05-21,3,15.0,-6.6,47.24,8.4
2022-08-14,1,1.6,2.67,49.91,5.73
2022-08-28,1,0.68,1.03,50.94,4.7
2022-09-17,1,0.16,-0.16,50.78,4.86
2022-09-24,1,1.36,-1.36,49.42,6.22
2022-09-25,1,0.7,-0.7,48.72,6.92
2022-10-08,1,0.22,0.65,49.37,6.27
2022-10-19,1,0.71,-0.71,48.66,6.98
2022-10-21,1,8.72,9.4,58.06,0.0
2022-10-31,1,1.17,-1.17,56.89,1.17
2022-11-05,2,1.2,0.2,57.09,0.97
2022-11-11,1,0.5,-0.5,56.59,1.47
2023-01-15,1,0.52,-0.52,56.07,1.99
2023-02-11,1,0.96,-0.96,55.11,2.95
2023-02-17,1,0.83,-0.83,54.28,3.78
2023-02-19,1,0.48,-0.48,53.8,4.26
2023-02-20,1,0.54,-0.54,53.26,4.8
2023-02-21,1,0.84,-0.84,52.42,5.64
2023-02-27,1,0.8,-0.8,51.62,6.44
2023-02-28,1,0.51,1.55,53.17,4.89
2023-03-18,1,0.28,-0.28,52.89,5.17
2023-03-26,2,10.37,-10.37,42.52,15.54
2023-03-27,1,0.52,-0.52,42.0,16.06
2023-03-31,1,11.66,10.86,52.86,5.2
2023-04-01,3,9.36,11.85,64.71,0.0
2023-04-05,1,0.8,-0.8,63.91,0.8
2023-04-15,1,0.39,-0.39,63.52,1.19
2023-04-18,1,15.0,12.05,75.57,0.0
2023-04-21,1,1.13,1.0,76.57,0.0
2023-04-25,1,0.65,-0.65,75.92,0.65
2023-04-29,1,7.53,-7.53,68.39,8.18
2023-04-30,1,0.9,2.2,70.59,5.98
2023-05-06,1,3.53,-3.53,67.06,9.51
2023-05-08,1,1.01,-1.01,66.05,10.52
2023-05-13,1,7.37,9.39,75.44,1.13
2023-08-30,1,0.32,0.78,76.22,0.35
2023-10-21,1,1.55,1.0,77.22,0.0
2023-12-17,1,1.17,-1.17,76.05,1.17
2024-02-03,1,0.28,0.88,76.93,0.29
2024-02-17,1,0.22,0.65,77.58,0.0
2024-03-12,1,0.18,0.56,78.14,0.0
2024-04-09,2,0.44,0.11,78.25,0.0
2024-05-05,1,0.18,-0.18,78.07,0.18
2024-05-18,1,0.58,1.08,79.15,0.0
2024-08-10,2,1.84,1.49,80.64,0.0
2024-08-11,1,0.85,2.33,82.97,0.0
2024-08-16,1,0.72,-0.72,82.25,0.72
2024-08-17,2,1.32,-1.32,80.93,2.04
2024-08-18,1,0.8,-0.8,80.13,2.84
2024-08-24,8,5.63,1.71,81.84,1.13
2024-08-25,4,2.98,-0.52,81.32,1.65
2024-08-27,2,1.5,-1.5,79.82,3.15
2024-08-30,1,0.66,-0.66,79.16,3.81
2024-08-31,6,4.51,3.84,83.0,0.0
2024-09-20,1,0.35,-0.35,82.65,0.35
2024-09-21,1,0.46,1.05,83.7,0.0
2024-09-22,2,0.76,0.37,84.07,0.0
2024-09-28,1,0.66,-0.66,83.41,0.66
2024-10-04,1,0.33,-0.33,83.08,0.99
2024-10-19,1,0.44,0.78,83.86,0.21
2024-10-29,2,1.67,-0.5,83.36,0.71
2024-12-29,1,0.89,2.63,85.99,0.0
2025-01-18,1,0.34,0.9,86.89,0.0
2025-02-02,1,0.72,-0.72,86.17,0.72
2025-02-08,2,1.93,-1.93,84.24,2.65
2025-02-15,4,3.46,2.8,87.04,0.0
2025-02-16,2,4.59,8.14,95.18,0.0
2025-02-17,1,1.02,-1.02,94.16,1.02
2025-02-21,2,3.8,-3.8,90.36,4.82
2025-02-22,1,1.0,2.39,92.75,2.43
2025-02-23,1,0.86,-0.86,91.89,3.29
2025-02-24,1,1.59,4.86,96.75,0.0
2025-03-01,1,0.74,-0.74,96.01,0.74
2025-03-02,1,0.9,-0.9,95.11,1.64
2025-03-08,1,0.75,2.23,97.34,0.0
2025-03-10,1,0.72,-0.72,96.62,0.72
2025-03-28,1,0.36,-0.36,96.26,1.08
2025-03-31,1,0.53,1.25,97.51,0.0
2025-04-07,1,0.45,-0.45,97.06,0.45
2025-04-13,1,0.4,0.84,97.9,0.0
2025-04-18,1,0.5,-0.5,97.4,0.5
2025-04-20,2,0.78,0.42,97.82,0.08
2025-04-27,2,1.22,-1.22,96.6,1.3
2025-05-01,1,0.43,-0.43,96.17,1.73
2025-05-03,1,0.17,0.33,96.5,1.4
2025-05-04,2,0.88,0.66,97.16,0.74
2025-05-05,1,0.16,-0.16,97.0,0.9
2025-05-09,2,0.9,-0.17,96.83,1.07
2025-05-18,1,0.16,-0.16,96.67,1.23
2025-09-14,2,0.65,0.51,97.18,0.72
2025-09-20,1,0.72,-0.72,96.46,1.44
2025-09-21,1,0.32,0.94,97.4,0.5
2025-09-28,1,0.56,1.62,99.02,0.0
2025-10-05,1,0.74,-0.74,98.28,0.74
2025-10-22,1,0.73,1.86,100.14,0.0
2025-10-24,1,1.15,2.4,102.54,0.0
2025-10-25,1,0.82,2.5,105.04,0.0
2025-10-26,2,2.09,-2.09,102.95,2.09
2025-11-05,1,0.55,-0.55,102.4,2.64
2025-11-29,1,0.48,-0.48,101.92,3.12
