date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.0,-1.0,-1.0,1.0
2021-12-10,1,4.36,4.19,3.19,0.0
2021-12-11,2,3.63,1.55,4.74,0.0
2021-12-12,1,4.07,4.19,8.93,0.0
2022-01-14,1,1.25,3.06,11.99,0.0
2022-02-05,1,0.81,-0.81,11.18,0.81
2022-02-06,1,1.25,-1.25,9.93,2.06
2022-02-12,2,6.46,7.9,17.83,0.0
2022-02-13,2,15.0,-7.44,10.39,7.44
2022-02-18,1,5.14,7.3,17.69,0.14
2022-02-19,2,3.46,3.71,21.4,0.0
2022-02-25,1,0.52,-0.52,20.88,0.52
2022-02-26,3,9.48,8.46,29.34,0.0
2022-02-27,1,0.48,1.28,30.62,0.0
2022-03-05,1,7.95,-7.95,22.67,7.95
2022-03-13,2,4.91,-4.91,17.76,12.86
2022-03-15,2,6.54,0.01,17.77,12.85
2022-03-19,1,6.61,-6.61,11.16,19.46
2022-03-20,1,2.61,-2.61,8.55,22.07
2022-03-26,2,10.35,1.25,9.8,20.82
2022-03-27,1,3.84,5.83,15.63,14.99
2022-03-28,1,2.72,3.47,19.1,11.52
2022-04-09,2,9.69,8.47,27.57,3.05
2022-04-10,3,9.09,-1.65,25.92,4.7
2022-04-29,1,10.48,8.73,34.65,0.0
2022-04-30,2,15.0,16.49,51.14,0.0
2022-05-01,1,7.65,9.0,60.14,0.0
2022-05-07,1,1.8,-1.8,58.34,1.8
2022-05-21,3,14.99,-6.59,51.75,8.39
2022-08-14,1,1.6,2.67,54.42,5.72
2022-08-28,1,0.68,1.03,55.45,4.69
2022-09-17,1,0.16,-0.16,55.29,4.85
2022-09-24,1,1.39,-1.39,53.9,6.24
2022-09-25,1,0.7,-0.7,53.2,6.94
2022-10-08,1,0.22,0.65,53.85,6.29
2022-10-19,1,0.71,-0.71,53.14,7.0
2022-10-21,1,8.72,9.4,62.54,0.0
2022-10-31,1,1.17,-1.17,61.37,1.17
2022-11-05,2,1.2,0.2,61.57,0.97
2022-11-11,1,0.5,-0.5,61.07,1.47
2023-01-15,1,0.52,-0.52,60.55,1.99
2023-02-11,1,0.96,-0.96,59.59,2.95
2023-02-17,1,0.83,-0.83,58.76,3.78
2023-02-19,1,0.48,-0.48,58.28,4.26
2023-02-20,1,0.54,-0.54,57.74,4.8
2023-02-21,1,0.84,-0.84,56.9,5.64
2023-02-27,1,0.8,-0.8,56.1,6.44
2023-02-28,1,0.51,1.55,57.65,4.89
2023-03-18,1,0.28,-0.28,57.37,5.17
2023-03-26,2,10.37,-10.37,47.0,15.54
2023-03-27,1,0.52,-0.52,46.48,16.06
2023-03-31,1,11.66,10.86,57.34,5.2
2023-04-01,3,9.36,11.85,69.19,0.0
2023-04-05,1,0.8,-0.8,68.39,0.8
2023-04-15,1,0.39,-0.39,68.0,1.19
2023-04-18,1,15.0,12.05,80.05,0.0
2023-04-21,1,1.13,1.0,81.05,0.0
2023-04-25,1,0.65,-0.65,80.4,0.65
2023-04-29,1,7.53,-7.53,72.87,8.18
2023-04-30,1,0.9,2.2,75.07,5.98
2023-05-06,1,3.53,-3.53,71.54,9.51
2023-05-08,1,1.01,-1.01,70.53,10.52
2023-05-13,1,7.37,9.39,79.92,1.13
2023-08-30,1,0.32,0.78,80.7,0.35
2023-10-21,1,1.55,1.0,81.7,0.0
2023-12-17,1,1.17,-1.17,80.53,1.17
2024-02-03,1,0.28,0.88,81.41,0.29
2024-02-17,1,0.22,0.65,82.06,0.0
2024-03-12,1,0.18,0.56,82.62,0.0
2024-04-09,2,0.44,0.11,82.73,0.0
2024-05-05,1,0.18,-0.18,82.55,0.18
2024-05-18,1,0.58,1.08,83.63,0.0
2024-08-10,2,1.84,1.49,85.12,0.0
2024-08-11,1,0.85,2.33,87.45,0.0
2024-08-16,1,0.72,-0.72,86.73,0.72
2024-08-17,2,1.32,-1.32,85.41,2.04
2024-08-18,1,0.8,-0.8,84.61,2.84
2024-08-24,8,5.63,1.71,86.32,1.13
2024-08-25,4,2.98,-0.52,85.8,1.65
2024-08-27,2,1.5,-1.5,84.3,3.15
2024-08-30,1,0.66,-0.66,83.64,3.81
2024-08-31,6,4.51,3.84,87.48,0.0
2024-09-20,1,0.35,-0.35,87.13,0.35
2024-09-21,1,0.46,1.05,88.18,0.0
2024-09-22,2,0.76,0.37,88.55,0.0
2024-09-28,1,0.66,-0.66,87.89,0.66
2024-10-04,1,0.33,-0.33,87.56,0.99
2024-10-19,1,0.44,0.78,88.34,0.21
2024-10-29,2,1.67,-0.5,87.84,0.71
2024-12-29,1,0.89,2.63,90.47,0.0
2025-01-18,1,0.34,0.9,91.37,0.0
2025-02-02,1,0.72,-0.72,90.65,0.72
2025-02-08,2,1.93,-1.93,88.72,2.65
2025-02-15,4,3.46,2.8,91.52,0.0
2025-02-16,2,4.59,8.14,99.66,0.0
2025-02-17,1,1.02,-1.02,98.64,1.02
2025-02-21,2,3.8,-3.8,94.84,4.82
2025-02-22,1,1.0,2.39,97.23,2.43
2025-02-23,1,0.86,-0.86,96.37,3.29
2025-02-24,1,1.59,4.86,101.23,0.0
2025-03-01,1,0.74,-0.74,100.49,0.74
2025-03-02,1,0.9,-0.9,99.59,1.64
2025-03-08,1,0.75,2.23,101.82,0.0
2025-03-10,1,0.72,-0.72,101.1,0.72
2025-03-28,1,0.36,-0.36,100.74,1.08
2025-03-31,1,0.53,1.25,101.99,0.0
2025-04-07,1,0.45,-0.45,101.54,0.45
2025-04-13,1,0.4,0.84,102.38,0.0
2025-04-18,1,0.5,-0.5,101.88,0.5
2025-04-20,2,0.78,0.42,102.3,0.08
2025-04-27,2,1.22,-1.22,101.08,1.3
2025-05-01,1,0.43,-0.43,100.65,1.73
2025-05-03,1,0.17,0.33,100.98,1.4
2025-05-04,2,0.88,0.66,101.64,0.74
2025-05-05,1,0.16,-0.16,101.48,0.9
2025-05-09,2,0.9,-0.17,101.31,1.07
2025-05-18,1,0.16,-0.16,101.15,1.23
2025-09-14,2,0.65,0.51,101.66,0.72
2025-09-20,1,0.72,-0.72,100.94,1.44
2025-09-21,1,0.32,0.94,101.88,0.5
2025-09-28,1,0.56,1.62,103.5,0.0
2025-10-05,1,0.74,-0.74,102.76,0.74
2025-10-22,1,0.73,1.86,104.62,0.0
2025-10-24,1,1.15,2.4,107.02,0.0
2025-10-25,1,0.82,2.5,109.52,0.0
2025-10-26,2,2.09,-2.09,107.43,2.09
2025-11-05,1,0.55,-0.55,106.88,2.64
2025-11-29,1,0.48,-0.48,106.4,3.12
2025-12-06,1,0.78,-0.78,105.62,3.9
2025-12-08,1,1.36,4.26,109.88,0.0
2026-01-03,1,0.96,-0.96,108.92,0.96
2026-01-23,1,1.18,-1.18,107.74,2.14
2026-01-31,3,7.73,10.44,118.18,0.0
2026-03-07,1,0.38,-0.38,117.8,0.38
2026-03-08,1,0.3,0.92,118.72,0.0
2026-04-04,1,1.67,-1.67,117.05,1.67
2026-04-06,1,1.94,4.28,121.33,0.0
