date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.2,-1.2,-1.2,1.2
2021-12-10,1,3.86,3.71,2.51,0.0
2021-12-11,2,3.14,1.18,3.69,0.0
2021-12-12,1,3.68,3.79,7.48,0.0
2021-12-27,1,0.4,-0.4,7.08,0.4
2022-01-14,1,1.29,3.16,10.24,0.0
2022-02-05,1,0.81,-0.81,9.43,0.81
2022-02-06,1,1.25,-1.25,8.18,2.06
2022-02-12,2,6.46,7.9,16.08,0.0
2022-02-13,2,15.0,-7.44,8.64,7.44
2022-02-18,1,5.14,7.3,15.94,0.14
2022-02-19,2,3.46,3.71,19.65,0.0
2022-02-25,1,0.52,-0.52,19.13,0.52
2022-02-26,3,9.48,8.46,27.59,0.0
2022-02-27,1,0.48,1.28,28.87,0.0
2022-03-05,1,7.94,-7.94,20.93,7.94
2022-03-13,2,4.9,-4.9,16.03,12.84
2022-03-15,2,6.55,0.04,16.07,12.8
2022-03-19,1,6.6,-6.6,9.47,19.4
2022-03-20,1,2.6,-2.6,6.87,22.0
2022-03-26,2,10.35,1.25,8.12,20.75
2022-03-27,1,3.84,5.83,13.95,14.92
2022-03-28,1,2.71,3.45,17.4,11.47
2022-04-09,2,9.69,8.47,25.87,3.0
2022-04-10,3,9.09,-1.65,24.22,4.65
2022-04-29,1,10.48,8.73,32.95,0.0
2022-04-30,2,15.0,16.49,49.44,0.0
2022-05-01,1,7.65,9.0,58.44,0.0
2022-05-07,1,1.8,-1.8,56.64,1.8
2022-05-21,3,14.99,-6.59,50.05,8.39
2022-08-14,1,1.6,2.67,52.72,5.72
2022-08-28,1,0.68,1.03,53.75,4.69
2022-09-17,1,0.18,-0.18,53.57,4.87
2022-09-24,1,1.06,-1.06,52.51,5.93
2022-09-25,1,0.43,-0.43,52.08,6.36
2022-10-08,1,0.22,0.65,52.73,5.71
2022-10-19,1,0.71,-0.71,52.02,6.42
2022-10-21,1,8.72,9.4,61.42,0.0
2022-10-31,1,1.17,-1.17,60.25,1.17
2022-11-05,2,1.2,0.2,60.45,0.97
2022-11-11,1,0.5,-0.5,59.95,1.47
2023-01-15,1,0.52,-0.52,59.43,1.99
2023-02-11,1,0.96,-0.96,58.47,2.95
2023-02-17,1,0.83,-0.83,57.64,3.78
2023-02-19,1,0.48,-0.48,57.16,4.26
2023-02-20,1,0.54,-0.54,56.62,4.8
2023-02-21,1,0.84,-0.84,55.78,5.64
2023-02-27,1,0.8,-0.8,54.98,6.44
2023-02-28,1,0.51,1.55,56.53,4.89
2023-03-18,1,0.28,-0.28,56.25,5.17
2023-03-26,2,10.37,-10.37,45.88,15.54
2023-03-27,1,0.52,-0.52,45.36,16.06
2023-03-31,1,11.66,10.86,56.22,5.2
2023-04-01,3,9.36,11.85,68.07,0.0
2023-04-05,1,0.8,-0.8,67.27,0.8
2023-04-15,1,0.39,-0.39,66.88,1.19
2023-04-18,1,15.0,12.05,78.93,0.0
2023-04-21,1,1.13,1.0,79.93,0.0
2023-04-25,1,0.65,-0.65,79.28,0.65
2023-04-29,1,7.53,-7.53,71.75,8.18
2023-04-30,1,0.9,2.2,73.95,5.98
2023-05-06,1,3.53,-3.53,70.42,9.51
2023-05-08,1,1.06,-1.06,69.36,10.57
2023-05-13,1,7.37,9.39,78.75,1.18
2023-08-30,1,0.36,0.88,79.63,0.3
2023-10-21,1,1.55,1.0,80.63,0.0
2023-12-17,1,1.17,-1.17,79.46,1.17
2024-02-03,1,0.28,0.88,80.34,0.29
2024-02-17,1,0.22,0.65,80.99,0.0
2024-03-12,1,0.18,0.56,81.55,0.0
2024-04-09,2,0.44,0.11,81.66,0.0
2024-05-05,1,0.18,-0.18,81.48,0.18
2024-05-18,1,0.58,1.08,82.56,0.0
2024-08-03,1,0.36,-0.36,82.2,0.36
2024-08-10,1,0.58,-0.58,81.62,0.94
2024-08-11,1,0.38,1.07,82.69,0.0
2024-08-18,1,0.36,-0.36,82.33,0.36
2024-08-23,1,0.32,-0.32,82.01,0.68
2024-08-24,1,0.33,0.76,82.77,0.0
2024-08-25,3,0.96,0.09,82.86,0.0
2024-08-27,2,1.44,-1.44,81.42,1.44
2024-08-31,3,1.02,-0.04,81.38,1.48
2024-09-20,1,0.34,-0.34,81.04,1.82
2024-09-21,1,0.48,1.1,82.14,0.72
2024-09-22,2,0.76,0.4,82.54,0.32
2024-09-28,1,0.68,-0.68,81.86,1.0
2024-10-04,1,1.07,-1.07,80.79,2.07
2024-10-05,1,0.74,-0.74,80.05,2.81
2024-10-18,1,1.59,-1.59,78.46,4.4
2024-10-19,2,2.65,2.27,80.73,2.13
2024-10-23,1,1.07,-1.07,79.66,3.2
2024-10-29,2,5.4,-1.51,78.15,4.71
2024-11-04,1,0.38,-0.38,77.77,5.09
2024-11-09,2,0.86,1.69,79.46,3.4
2024-12-29,2,2.69,8.15,87.61,0.0
2025-01-17,1,0.75,-0.75,86.86,0.75
2025-01-18,1,1.24,3.29,90.15,0.0
2025-01-19,1,0.96,2.2,92.35,0.0
2025-01-26,1,0.73,-0.73,91.62,0.73
2025-01-31,1,0.95,-0.95,90.67,1.68
2025-02-08,2,1.9,-1.9,88.77,3.58
2025-02-15,3,2.6,3.5,92.27,0.08
2025-02-16,2,4.21,7.53,99.8,0.0
2025-02-17,1,0.96,-0.96,98.84,0.96
2025-02-21,2,3.43,-3.43,95.41,4.39
2025-02-22,1,0.92,2.2,97.61,2.19
2025-02-23,1,0.84,-0.84,96.77,3.03
2025-02-24,1,1.61,4.92,101.69,0.0
2025-03-01,1,0.49,-0.49,101.2,0.49
2025-03-02,1,0.59,-0.59,100.61,1.08
2025-03-08,2,1.93,0.14,100.75,0.94
2025-03-28,1,0.22,-0.22,100.53,1.16
2025-03-31,1,0.36,0.85,101.38,0.31
2025-04-07,1,0.16,-0.16,101.22,0.47
2025-04-13,2,0.34,0.22,101.44,0.25
2025-04-18,1,0.43,-0.43,101.01,0.68
2025-04-20,3,0.68,-0.16,100.85,0.84
2025-04-27,2,0.91,-0.91,99.94,1.75
2025-05-01,1,0.58,-0.58,99.36,2.33
