date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.12,-1.12,-1.12,1.12
2021-12-10,1,3.86,3.71,2.59,0.0
2021-12-11,2,3.14,1.18,3.77,0.0
2021-12-12,1,3.68,3.79,7.56,0.0
2021-12-27,1,0.37,-0.37,7.19,0.37
2022-01-14,1,1.25,3.06,10.25,0.0
2022-02-05,1,0.81,-0.81,9.44,0.81
2022-02-06,1,1.25,-1.25,8.19,2.06
2022-02-12,2,6.46,7.9,16.09,0.0
2022-02-13,2,15.0,-7.44,8.65,7.44
2022-02-18,1,5.14,7.3,15.95,0.14
2022-02-19,2,3.46,3.71,19.66,0.0
2022-02-25,1,0.52,-0.52,19.14,0.52
2022-02-26,3,9.48,8.46,27.6,0.0
2022-02-27,1,0.48,1.28,28.88,0.0
2022-03-05,1,7.94,-7.94,20.94,7.94
2022-03-13,2,4.9,-4.9,16.04,12.84
2022-03-15,2,6.55,0.04,16.08,12.8
2022-03-19,1,6.6,-6.6,9.48,19.4
2022-03-20,1,2.6,-2.6,6.88,22.0
2022-03-26,2,10.35,1.25,8.13,20.75
2022-03-27,1,3.84,5.83,13.96,14.92
2022-03-28,1,2.71,3.45,17.41,11.47
2022-04-09,2,9.69,8.47,25.88,3.0
2022-04-10,3,9.09,-1.65,24.23,4.65
2022-04-29,1,10.48,8.73,32.96,0.0
2022-04-30,2,15.0,16.49,49.45,0.0
2022-05-01,1,7.65,9.0,58.45,0.0
2022-05-07,1,1.8,-1.8,56.65,1.8
2022-05-21,3,14.99,-6.59,50.06,8.39
2022-08-14,1,1.6,2.67,52.73,5.72
2022-08-28,1,0.68,1.03,53.76,4.69
2022-09-24,1,1.06,-1.06,52.7,5.75
2022-09-25,1,0.43,-0.43,52.27,6.18
2022-10-08,1,0.22,0.65,52.92,5.53
2022-10-19,1,0.71,-0.71,52.21,6.24
2022-10-21,1,8.72,9.4,61.61,0.0
2022-10-31,1,1.17,-1.17,60.44,1.17
2022-11-05,2,1.2,0.2,60.64,0.97
2022-11-11,1,0.5,-0.5,60.14,1.47
2023-02-11,1,0.96,-0.96,59.18,2.43
2023-02-17,1,0.83,-0.83,58.35,3.26
2023-02-19,1,0.48,-0.48,57.87,3.74
2023-02-20,1,0.54,-0.54,57.33,4.28
2023-02-21,1,0.84,-0.84,56.49,5.12
2023-02-27,1,0.8,-0.8,55.69,5.92
2023-02-28,1,0.51,1.55,57.24,4.37
2023-03-18,1,0.28,-0.28,56.96,4.65
2023-03-26,2,10.37,-10.37,46.59,15.02
2023-03-27,1,0.52,-0.52,46.07,15.54
2023-03-31,1,11.66,10.86,56.93,4.68
2023-04-01,3,9.36,11.85,68.78,0.0
2023-04-05,1,0.8,-0.8,67.98,0.8
2023-04-15,1,0.39,-0.39,67.59,1.19
2023-04-18,1,15.0,12.05,79.64,0.0
2023-04-21,1,1.13,1.0,80.64,0.0
2023-04-25,1,0.65,-0.65,79.99,0.65
2023-04-29,1,7.53,-7.53,72.46,8.18
2023-04-30,1,0.9,2.2,74.66,5.98
2023-05-06,1,3.53,-3.53,71.13,9.51
2023-05-08,1,1.02,-1.02,70.11,10.53
2023-05-13,1,7.37,9.39,79.5,1.14
2023-08-30,1,0.34,0.83,80.33,0.31
2023-12-17,1,1.17,-1.17,79.16,1.48
2024-02-03,1,0.28,0.88,80.04,0.6
2024-02-17,1,0.22,0.65,80.69,0.0
2024-03-12,1,0.18,0.56,81.25,0.0
2024-04-09,2,0.44,0.11,81.36,0.0
2024-05-05,1,0.18,-0.18,81.18,0.18
2024-05-18,1,0.58,1.08,82.26,0.0
2024-08-10,2,1.84,1.49,83.75,0.0
2024-08-11,1,0.85,2.33,86.08,0.0
2024-08-16,1,0.72,-0.72,85.36,0.72
2024-08-17,2,1.32,-1.32,84.04,2.04
2024-08-18,1,0.8,-0.8,83.24,2.84
2024-08-24,8,5.63,1.71,84.95,1.13
2024-08-25,4,2.98,-0.52,84.43,1.65
2024-08-27,2,1.5,-1.5,82.93,3.15
2024-08-30,1,0.66,-0.66,82.27,3.81
2024-08-31,6,4.51,3.84,86.11,0.0
2024-09-20,1,0.35,-0.35,85.76,0.35
2024-09-21,1,0.46,1.05,86.81,0.0
2024-09-22,2,0.76,0.37,87.18,0.0
2024-09-28,1,0.66,-0.66,86.52,0.66
2024-12-29,1,0.86,2.55,89.07,0.0
2025-01-18,1,0.34,0.9,89.97,0.0
2025-02-02,1,0.72,-0.72,89.25,0.72
2025-02-08,2,1.93,-1.93,87.32,2.65
2025-02-15,4,3.46,2.8,90.12,0.0
2025-02-16,2,4.59,8.14,98.26,0.0
2025-02-17,1,1.02,-1.02,97.24,1.02
2025-02-21,2,3.8,-3.8,93.44,4.82
2025-02-22,1,1.0,2.39,95.83,2.43
2025-02-23,1,0.86,-0.86,94.97,3.29
2025-02-24,1,1.59,4.86,99.83,0.0
2025-03-01,1,0.74,-0.74,99.09,0.74
2025-03-02,1,0.9,-0.9,98.19,1.64
2025-03-08,1,0.75,2.23,100.42,0.0
2025-03-10,1,0.72,-0.72,99.7,0.72
2025-03-28,1,0.36,-0.36,99.34,1.08
2025-03-31,1,0.53,1.25,100.59,0.0
2025-04-07,1,0.45,-0.45,100.14,0.45
2025-04-13,1,0.4,0.84,100.98,0.0
2025-04-18,1,0.5,-0.5,100.48,0.5
2025-04-20,2,0.78,0.42,100.9,0.08
2025-04-27,2,1.22,-1.22,99.68,1.3
2025-05-01,1,0.43,-0.43,99.25,1.73
2025-05-04,2,0.88,0.66,99.91,1.07
2025-05-05,1,0.16,-0.16,99.75,1.23
2025-05-09,1,0.51,-0.51,99.24,1.74
2025-09-14,2,0.65,0.51,99.75,1.23
2025-09-20,1,0.72,-0.72,99.03,1.95
2025-09-21,1,0.32,0.94,99.97,1.01
2025-09-28,1,0.56,1.62,101.59,0.0
2025-10-05,1,0.74,-0.74,100.85,0.74
2025-10-22,1,0.73,1.86,102.71,0.0
2025-10-24,1,1.15,2.4,105.11,0.0
2025-10-25,1,0.82,2.5,107.61,0.0
2025-10-26,2,2.09,-2.09,105.52,2.09
2025-11-05,1,0.55,-0.55,104.97,2.64
2025-11-29,1,0.48,-0.48,104.49,3.12
2025-12-06,1,0.78,-0.78,103.71,3.9
2025-12-08,1,1.36,4.26,107.97,0.0
2026-01-03,1,0.96,-0.96,107.01,0.96
2026-01-23,1,1.18,-1.18,105.83,2.14
2026-01-31,3,7.73,10.44,116.27,0.0
2026-04-04,1,1.67,-1.67,114.6,1.67
2026-04-06,1,1.94,4.28,118.88,0.0
