month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,0,0.0,0.0,0.0
2021-12,6,12.59,7.26,57.66
2022-01,1,1.35,3.31,245.19
2022-02,14,43.25,19.27,44.55
2022-03,11,46.78,-12.04,-25.74
2022-04,8,45.34,32.35,71.35
2022-05,5,24.92,1.19,4.78
2022-08,2,2.36,3.83,162.29
2022-09,3,1.72,-1.72,-100.0
2022-10,4,11.26,8.64,76.73
2022-11,3,1.7,-0.3,-17.65
2022-12,0,0.0,0.0,0.0
2023-01,1,0.52,-0.52,-100.0
2023-02,7,4.96,-2.9,-58.47
2023-03,5,22.98,-0.46,-2.0
2023-04,10,36.1,18.28,50.64
2023-05,3,12.55,5.05,40.24
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.8,0.97,121.25
2024-08,28,21.27,3.98,18.71
2024-09,5,2.23,0.41,18.39
2024-10,4,2.5,-0.11,-4.4
2024-11,0,0.0,0.0,0.0
2024-12,1,0.91,2.69,295.6
2025-01,1,0.34,0.9,264.71
2025-02,15,19.14,10.32,53.92
2025-03,6,4.0,0.76,19.0
2025-04,7,3.39,-0.95,-28.02
2025-05,8,2.7,0.07,2.59
2025-08,0,0.0,0.0,0.0
2025-09,5,2.31,2.36,102.16
2025-10,6,5.67,4.02,70.9
2025-11,2,1.03,-1.03,-100.0
2025-12,2,2.14,3.48,162.62
2026-01,5,9.91,8.34,84.16
2026-02,0,0.0,0.0,0.0
2026-03,2,0.68,0.54,79.41
2026-04,2,3.61,2.61,72.3
