date,bets,staked,profit,cumulative_profit,drawdown
2021-12-05,1,1.25,-1.25,-1.25,1.25
2021-12-10,1,4.05,3.89,2.64,0.0
2021-12-11,2,3.23,1.32,3.96,0.0
2021-12-12,1,3.93,4.04,8.0,0.0
2021-12-27,1,0.38,-0.38,7.62,0.38
2022-01-14,1,1.28,3.14,10.76,0.0
2022-02-05,1,0.77,-0.77,9.99,0.77
2022-02-06,1,1.19,-1.19,8.8,1.96
2022-02-12,2,6.44,7.79,16.59,0.0
2022-02-13,2,15.0,-7.7,8.89,7.7
2022-02-18,1,5.67,8.06,16.95,0.0
2022-02-19,2,3.63,4.16,21.11,0.0
2022-02-25,1,0.52,-0.52,20.59,0.52
2022-02-26,3,10.23,9.25,29.84,0.0
2022-02-27,1,0.46,1.23,31.07,0.0
2022-03-05,1,8.34,-8.34,22.73,8.34
2022-03-13,2,5.34,-5.34,17.39,13.68
2022-03-15,2,6.55,0.04,17.43,13.64
2022-03-19,1,7.28,-7.28,10.15,20.92
2022-03-20,1,2.59,-2.59,7.56,23.51
2022-03-26,2,10.35,1.25,8.81,22.26
2022-03-27,1,4.19,6.36,15.17,15.9
2022-03-28,1,2.85,3.63,18.8,12.27
2022-04-09,2,10.01,8.76,27.56,3.51
2022-04-10,3,10.11,-2.31,25.25,5.82
2022-04-29,1,12.24,10.2,35.45,0.0
2022-04-30,2,15.0,16.37,51.82,0.0
2022-05-01,1,8.95,10.53,62.35,0.0
2022-05-07,1,1.89,-1.89,60.46,1.89
2022-05-21,3,15.0,-6.17,54.29,8.06
2022-08-14,1,2.0,3.33,57.62,4.73
2022-08-28,1,0.71,1.08,58.7,3.65
2022-09-17,1,0.17,-0.17,58.53,3.82
2022-09-24,1,1.28,-1.28,57.25,5.1
2022-09-25,1,0.45,-0.45,56.8,5.55
2022-10-08,1,0.21,0.62,57.42,4.93
2022-10-19,1,0.67,-0.67,56.75,5.6
2022-10-21,1,10.8,11.64,68.39,0.0
2022-10-31,1,1.11,-1.11,67.28,1.11
2022-11-05,2,1.14,0.19,67.47,0.92
2022-11-11,1,0.48,-0.48,66.99,1.4
2023-01-15,1,0.49,-0.49,66.5,1.89
2023-02-11,1,0.91,-0.91,65.59,2.8
2023-02-17,1,0.79,-0.79,64.8,3.59
2023-02-19,1,0.46,-0.46,64.34,4.05
2023-02-20,1,0.51,-0.51,63.83,4.56
2023-02-21,1,0.84,-0.84,62.99,5.4
2023-02-27,1,0.76,-0.76,62.23,6.16
2023-02-28,1,0.51,1.55,63.78,4.61
2023-03-18,1,0.27,-0.27,63.51,4.88
2023-03-26,2,10.88,-10.88,52.63,15.76
2023-03-27,1,0.55,-0.55,52.08,16.31
2023-03-31,1,11.66,10.86,62.94,5.45
2023-04-01,3,10.45,13.61,76.55,0.0
2023-04-05,1,0.84,-0.84,75.71,0.84
2023-04-15,1,0.39,-0.39,75.32,1.23
2023-04-18,1,15.0,12.05,87.37,0.0
2023-04-21,1,1.13,1.0,88.37,0.0
2023-04-25,1,0.68,-0.68,87.69,0.68
2023-04-29,1,7.91,-7.91,79.78,8.59
2023-04-30,1,0.86,2.11,81.89,6.48
2023-05-06,1,4.25,-4.25,77.64,10.73
2023-05-08,1,1.04,-1.04,76.6,11.77
2023-05-13,1,8.97,11.43,88.03,0.34
2023-08-30,1,0.34,0.83,88.86,0.0
2023-10-21,1,1.55,1.0,89.86,0.0
2023-12-17,1,1.23,-1.23,88.63,1.23
2024-02-03,1,0.3,0.94,89.57,0.29
2024-02-17,1,0.21,0.62,90.19,0.0
2024-03-12,1,0.18,0.56,90.75,0.0
2024-04-09,2,0.44,0.14,90.89,0.0
2024-05-05,1,0.17,-0.17,90.72,0.17
2024-05-18,1,0.65,1.21,91.93,0.0
2024-08-03,1,0.34,-0.34,91.59,0.34
2024-08-10,1,0.63,-0.63,90.96,0.97
2024-08-11,1,0.4,1.13,92.09,0.0
2024-08-18,1,0.34,-0.34,91.75,0.34
2024-08-23,1,0.3,-0.3,91.45,0.64
2024-08-24,1,0.32,0.73,92.18,0.0
2024-08-25,3,0.92,0.07,92.25,0.0
2024-08-27,2,1.51,-1.51,90.74,1.51
2024-08-31,3,1.03,-0.09,90.65,1.6
2024-09-20,1,0.32,-0.32,90.33,1.92
