month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-12-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,5,4,1.3,-1.3,-100.0,3100.0,508.0,10.0,0.25,5.0,0.0205,6.4881,0.8,"{'home': 2, 'away': 2, 'draw': 1}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,2430,0,0,0.0,0.0,0.0,3100.0,451.0,10.0,0.25,5.0,0.0205,,,{}
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2881,9,6,4.59,-1.43,-31.15,2800.0,647.0,100.0,0.0,5.0,0.0218,16.3989,0.7778,"{'home': 5, 'away': 2, 'draw': 2}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3528,19,10,9.03,5.0,55.37,3100.0,491.0,100.0,0.25,5.0,0.0222,12.7131,0.7895,"{'home': 12, 'away': 7}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4019,9,5,14.78,13.53,91.54,3000.0,677.0,100.0,0.5,5.0,0.0228,14.524,0.8889,"{'home': 6, 'away': 3}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4659,5,3,7.71,-0.76,-9.86,3100.0,345.0,100.0,0.5,5.0,0.0232,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3635,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3752,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,3667,8,8,3.4,2.3,67.65,3100.0,734.0,10.0,0.0,5.0,0.0233,7.7404,1.0,"{'home': 4, 'away': 2, 'draw': 2}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,3950,4,3,1.34,-0.69,-51.49,3000.0,340.0,10.0,0.25,5.0,0.0222,1.3749,0.5,"{'draw': 2, 'home': 2}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,3643,2,1,0.49,-0.49,-100.0,3100.0,259.0,10.0,0.25,5.0,0.0212,3.8849,0.5,{'away': 2}
2023-01,2022-04-01..2022-12-31,FROZEN_MODEL_EVALUATED,3411,4,4,0.7,-0.34,-48.57,3100.0,500.0,1.0,0.0,5.0,0.0211,5.5351,0.75,"{'home': 2, 'away': 1, 'draw': 1}"
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,3234,12,10,2.89,-2.01,-69.55,2800.0,560.0,1.0,0.0,5.0,0.0214,1.6824,0.6667,"{'draw': 5, 'away': 2, 'home': 5}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,3449,5,4,4.18,-0.36,-8.61,3100.0,437.0,100.0,0.0,5.0,0.0205,-7.9573,0.4,"{'draw': 1, 'away': 3, 'home': 1}"
2023-04,2022-07-01..2023-03-31,FROZEN_MODEL_EVALUATED,3886,10,8,8.7,2.14,24.6,3000.0,656.0,10.0,0.0,5.0,0.0201,5.7048,0.6,"{'home': 5, 'draw': 2, 'away': 3}"
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,4478,2,2,1.48,0.79,53.38,3100.0,431.0,100.0,0.25,5.0,0.0203,12.1159,1.0,"{'draw': 1, 'home': 1}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,3564,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,3548,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,3359,2,1,1.47,1.31,89.12,3100.0,576.0,10.0,0.0,5.0,0.0198,0.7175,0.5,{'home': 2}
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,3498,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-02,2023-05-01..2024-01-31,FROZEN_MODEL_EVALUATED,3236,0,0,0.0,0.0,0.0,2900.0,496.0,100.0,0.0,5.0,0.0208,,,{}
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3301,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3705,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4249,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3106,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3134,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,3041,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-02-01..2024-10-31,FROZEN_MODEL_EVALUATED,3128,1,1,0.24,0.47,195.83,3000.0,463.0,100.0,0.5,5.0,0.028,3.4335,1.0,{'draw': 1}
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,3095,2,1,1.03,3.86,374.76,3100.0,540.0,100.0,0.0,5.0,0.0228,51.8206,1.0,"{'away': 1, 'home': 1}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,3187,20,12,2.57,0.66,25.68,3100.0,499.0,100.0,0.0,5.0,0.0226,2.2326,0.6,"{'home': 3, 'draw': 12, 'away': 5}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,3130,69,17,18.04,5.79,32.1,2800.0,519.0,100.0,0.0,5.0,0.0217,2.3591,0.7681,"{'away': 6, 'draw': 58, 'home': 5}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,3395,12,10,2.56,-0.99,-38.67,3100.0,499.0,10.0,0.25,5.0,0.0216,5.483,0.8333,"{'draw': 9, 'away': 3}"
