month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2021-03-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-10,2021-04-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2021-11,2021-05-01..2021-10-31,FROZEN_MODEL_EVALUATED,1470,6,5,3.04,3.09,101.64,3000.0,452.0,10.0,0.25,5.0,0.0207,13.5642,1.0,"{'away': 1, 'home': 5}"
2021-12,2021-06-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,10,7,3.97,-0.84,-21.16,3100.0,508.0,10.0,0.25,5.0,0.0196,3.9717,0.7,"{'home': 6, 'draw': 2, 'away': 2}"
2022-01,2021-07-01..2021-12-31,FROZEN_MODEL_EVALUATED,2430,9,8,1.84,1.24,67.39,3100.0,451.0,10.0,0.0,5.0,0.0204,4.6477,0.6667,"{'away': 3, 'draw': 1, 'home': 5}"
2022-02,2021-08-01..2022-01-31,FROZEN_MODEL_EVALUATED,2844,24,11,12.04,1.05,8.72,2800.0,647.0,100.0,0.0,5.0,0.0226,6.9095,0.7083,"{'draw': 7, 'home': 11, 'away': 6}"
2022-03,2021-09-01..2022-02-28,FROZEN_MODEL_EVALUATED,3078,38,15,13.74,6.05,44.03,3100.0,491.0,100.0,0.0,5.0,0.0226,9.1195,0.8158,"{'home': 16, 'away': 16, 'draw': 6}"
2022-04,2021-10-01..2022-03-31,FROZEN_MODEL_EVALUATED,3117,11,6,6.91,6.4,92.62,3000.0,677.0,100.0,0.25,5.0,0.0221,13.5817,0.9091,"{'home': 6, 'away': 5}"
2022-05,2021-11-01..2022-04-30,FROZEN_MODEL_EVALUATED,3226,8,5,3.74,-0.52,-13.9,3100.0,345.0,100.0,0.25,5.0,0.0241,4.7934,0.75,"{'home': 3, 'away': 3, 'draw': 2}"
2022-08,2022-02-01..2022-07-31,ABSTAIN_INNER_VALIDATION,2224,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2022-09,2022-03-01..2022-08-31,ABSTAIN_INNER_VALIDATION,2146,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
