month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1162,4,3,0.7,0.72,102.86,3000.0,394.0,100.0,0.25,5.0,0.0236,-0.1508,0.5,"{'draw': 3, 'home': 1}"
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,16,11,2.27,-0.04,-1.76,3100.0,432.0,1.0,0.0,5.0,0.0205,3.1507,0.8125,"{'home': 1, 'draw': 12, 'away': 3}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2435,18,12,2.56,1.38,53.91,2800.0,463.0,100.0,0.0,5.0,0.0206,4.5791,0.9444,"{'draw': 15, 'home': 3}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2565,12,8,1.5,-0.11,-7.33,3100.0,438.0,10.0,0.0,5.0,0.0201,3.9586,0.8333,"{'draw': 10, 'away': 2}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2581,9,6,1.27,-1.27,-100.0,3000.0,443.0,100.0,0.0,5.0,0.0195,-0.2209,0.3333,{'draw': 9}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,2621,17,7,3.04,1.17,38.49,3100.0,314.0,100.0,0.0,5.0,0.0195,0.3386,0.4118,"{'away': 5, 'draw': 9, 'home': 3}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1666,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1617,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1593,14,9,2.44,-0.89,-36.48,3100.0,416.0,10.0,0.0,5.0,0.0227,2.619,0.5714,"{'away': 9, 'draw': 2, 'home': 3}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1566,20,11,4.56,1.62,35.53,3000.0,441.0,1.0,0.0,5.0,0.0221,7.5386,0.75,"{'away': 17, 'home': 2, 'draw': 1}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2093,5,5,0.79,-0.12,-15.19,3100.0,431.0,100.0,0.25,5.0,0.0216,5.7813,0.8,{'away': 5}
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2520,1,1,0.11,0.39,354.55,2800.0,391.0,10.0,0.25,5.0,0.0214,4.5603,1.0,{'home': 1}
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,2497,9,6,1.35,0.05,3.7,3100.0,350.0,1.0,0.0,5.0,0.0206,4.3863,0.7778,"{'away': 8, 'home': 1}"
