test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2021-11,2021-11-01,0,0.0,0.0,0.0,0.0,100.0
2021-11,2021-11-02,0,0.0,0.0,0.0,0.0,100.0
2021-11,2021-11-03,0,0.0,0.0,0.0,0.0,100.0
2021-11,2021-11-04,0,0.0,0.0,0.0,0.0,100.0
2021-11,2021-11-05,1,0.48,0.59,0.59,0.0,99.52
2021-11,2021-11-06,0,0.0,0.0,0.59,0.0,100.0
2021-11,2021-11-07,1,0.58,0.41,1.0,0.0,99.42
2021-11,2021-11-08,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-09,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-10,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-11,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-12,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-13,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-14,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-15,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-16,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-17,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-18,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-19,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-20,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-21,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-22,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-23,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-24,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-25,0,0.0,0.0,1.0,0.0,100.0
2021-11,2021-11-26,1,0.11,-0.11,0.89,0.11,99.89
2021-11,2021-11-27,0,0.0,0.0,0.89,0.11,100.0
2021-11,2021-11-28,0,0.0,0.0,0.89,0.11,100.0
2021-11,2021-11-29,0,0.0,0.0,0.89,0.11,100.0
2021-11,2021-11-30,0,0.0,0.0,0.89,0.11,100.0
2021-12,2021-12-01,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-02,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-03,1,0.17,-0.17,-0.17,0.17,99.83
2021-12,2021-12-04,1,0.92,-0.92,-1.09,1.09,99.08
2021-12,2021-12-05,0,0.0,0.0,-1.09,1.09,100.0
2021-12,2021-12-06,0,0.0,0.0,-1.09,1.09,100.0
2021-12,2021-12-07,0,0.0,0.0,-1.09,1.09,100.0
2021-12,2021-12-08,0,0.0,0.0,-1.09,1.09,100.0
2021-12,2021-12-09,0,0.0,0.0,-1.09,1.09,100.0
2021-12,2021-12-10,2,0.44,0.07,-1.02,1.02,99.56
2021-12,2021-12-11,0,0.0,0.0,-1.02,1.02,100.0
2021-12,2021-12-12,1,0.2,0.21,-0.81,0.81,99.8
