date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.75,0.92,0.92,0.0
2021-11-06,1,0.27,-0.27,0.65,0.27
2021-11-07,1,1.06,0.76,1.41,0.0
2021-11-13,1,0.1,-0.1,1.31,0.1
2021-11-26,1,0.32,-0.32,0.99,0.42
2021-12-03,1,1.2,-1.2,-0.21,1.62
2021-12-04,1,1.45,-1.45,-1.66,3.07
2021-12-05,1,1.25,-1.25,-2.91,4.32
2021-12-10,2,4.26,3.68,0.77,0.64
2021-12-11,3,3.46,1.47,2.24,0.0
2021-12-12,1,3.74,3.85,6.09,0.0
2021-12-27,1,0.4,-0.4,5.69,0.4
2022-01-02,1,0.16,-0.16,5.53,0.56
2022-01-13,1,0.3,0.26,5.79,0.3
2022-01-14,1,1.35,3.31,9.1,0.0
2022-02-05,1,0.81,-0.81,8.29,0.81
2022-02-06,1,1.25,-1.25,7.04,2.06
2022-02-12,3,6.67,8.1,15.14,0.0
2022-02-13,5,16.2,-9.2,5.94,9.2
2022-02-18,1,5.4,7.67,13.61,1.53
2022-02-19,3,4.38,5.33,18.94,0.0
2022-02-20,1,0.49,-0.49,18.45,0.49
2022-02-25,1,0.52,-0.52,17.93,1.01
2022-02-26,3,9.75,8.8,26.73,0.0
2022-02-27,1,0.48,1.28,28.01,0.0
2022-03-03,1,0.95,1.12,29.13,0.0
2022-03-05,1,8.34,-8.34,20.79,8.34
2022-03-12,2,0.3,-0.3,20.49,8.64
2022-03-13,2,5.09,-5.09,15.4,13.73
2022-03-15,2,6.64,0.29,15.69,13.44
2022-03-19,2,7.32,-7.32,8.37,20.76
2022-03-20,1,2.73,-2.73,5.64,23.49
2022-03-26,2,10.35,1.25,6.89,22.24
2022-03-27,2,4.23,6.67,13.56,15.57
2022-03-28,1,2.71,3.45,17.01,12.12
2022-04-09,3,10.12,8.78,25.79,3.34
2022-04-10,3,9.92,-2.48,23.31,5.82
2022-04-16,1,0.29,0.63,23.94,5.19
2022-04-25,2,0.41,-0.41,23.53,5.6
2022-04-29,1,12.24,10.2,33.73,0.0
2022-04-30,2,15.0,16.37,50.1,0.0
2022-05-01,1,8.52,10.02,60.12,0.0
2022-05-07,1,1.99,-1.99,58.13,1.99
2022-05-21,3,15.0,-6.39,51.74,8.38
2022-08-14,1,1.9,3.17,54.91,5.21
2022-08-28,1,0.68,1.03,55.94,4.18
2022-09-17,1,0.18,-0.18,55.76,4.36
2022-09-24,1,1.22,-1.22,54.54,5.58
2022-09-25,1,0.43,-0.43,54.11,6.01
2022-10-08,2,0.94,-0.07,54.04,6.08
2022-10-19,1,0.71,-0.71,53.33,6.79
2022-10-21,1,10.29,11.09,64.42,0.0
2022-10-31,1,1.17,-1.17,63.25,1.17
2022-11-05,2,1.2,0.2,63.45,0.97
2022-11-06,1,0.12,-0.12,63.33,1.09
2022-11-11,1,0.5,-0.5,62.83,1.59
2022-12-11,1,0.57,-0.57,62.26,2.16
2023-01-15,1,0.52,-0.52,61.74,2.68
2023-01-28,1,0.12,0.39,62.13,2.29
2023-02-04,1,0.49,-0.49,61.64,2.78
2023-02-11,1,0.96,-0.96,60.68,3.74
2023-02-17,1,0.83,-0.83,59.85,4.57
2023-02-19,1,0.48,-0.48,59.37,5.05
2023-02-20,1,0.54,-0.54,58.83,5.59
2023-02-21,1,0.84,-0.84,57.99,6.43
2023-02-25,1,0.53,-0.53,57.46,6.96
2023-02-27,1,0.8,-0.8,56.66,7.76
2023-02-28,2,1.37,4.92,61.58,2.84
2023-03-18,3,0.8,-0.8,60.78,3.64
2023-03-26,2,10.68,-10.68,50.1,14.32
2023-03-27,1,0.52,-0.52,49.58,14.84
2023-03-31,1,11.66,10.86,60.44,3.98
2023-04-01,3,10.07,12.99,73.43,0.0
2023-04-05,1,0.8,-0.8,72.63,0.8
2023-04-08,2,0.64,-0.64,71.99,1.44
2023-04-15,2,0.74,-0.74,71.25,2.18
2023-04-18,1,15.0,12.05,83.3,0.0
2023-04-21,1,1.13,1.0,84.3,0.0
2023-04-22,1,0.28,-0.28,84.02,0.28
2023-04-25,1,0.65,-0.65,83.37,0.93
2023-04-29,1,7.53,-7.53,75.84,8.46
2023-04-30,1,0.9,2.21,78.05,6.25
2023-05-06,1,4.05,-4.05,74.0,10.3
2023-05-08,1,1.1,-1.1,72.9,11.4
2023-05-13,1,8.54,10.88,83.78,0.52
2023-05-27,1,0.1,-0.1,83.68,0.62
2023-08-30,1,0.36,0.88,84.56,0.0
2023-10-21,1,1.55,1.0,85.56,0.0
2023-12-17,1,1.17,-1.17,84.39,1.17
2024-02-03,1,0.3,0.94,85.33,0.23
2024-02-17,1,0.22,0.65,85.98,0.0
2024-03-12,1,0.18,0.56,86.54,0.0
2024-04-09,2,0.44,0.11,86.65,0.0
2024-05-05,1,0.18,-0.18,86.47,0.18
2024-05-18,1,0.62,1.15,87.62,0.0
2024-08-10,2,1.99,1.34,88.96,0.0
2024-08-11,1,0.92,2.53,91.49,0.0
2024-08-16,1,0.72,-0.72,90.77,0.72
2024-08-17,2,1.33,-1.33,89.44,2.05
2024-08-18,1,0.84,-0.84,88.6,2.89
2024-08-24,8,5.71,1.73,90.33,1.16
2024-08-25,4,3.08,-0.52,89.81,1.68
2024-08-27,2,1.5,-1.5,88.31,3.18
2024-08-30,1,0.66,-0.66,87.65,3.84
2024-08-31,6,4.63,3.92,91.57,0.0
2024-09-20,1,0.35,-0.35,91.22,0.35
2024-09-21,1,0.46,1.05,92.27,0.0
2024-09-22,2,0.76,0.37,92.64,0.0
2024-09-28,1,0.66,-0.66,91.98,0.66
2024-10-04,1,0.33,-0.33,91.65,0.99
2024-10-19,1,0.44,0.78,92.43,0.21
2024-10-29,2,1.89,-0.72,91.71,0.93
2024-12-29,1,0.98,2.9,94.61,0.0
2025-01-12,1,0.54,-0.54,94.07,0.54
2025-01-18,1,0.34,0.9,94.97,0.0
2025-02-02,2,1.32,-1.32,93.65,1.32
2025-02-08,3,2.44,-2.44,91.21,3.76
2025-02-15,4,3.46,2.8,94.01,0.96
2025-02-16,2,4.74,8.56,102.57,0.0
2025-02-17,1,1.02,-1.02,101.55,1.02
2025-02-21,2,3.8,-3.8,97.75,4.82
2025-02-22,1,1.0,2.39,100.14,2.43
2025-02-23,1,0.86,-0.86,99.28,3.29
2025-02-24,2,2.39,7.37,106.65,0.0
2025-03-01,2,0.85,-0.51,106.14,0.51
2025-03-02,1,0.9,-0.9,105.24,1.41
2025-03-08,1,0.75,2.23,107.47,0.0
2025-03-09,1,0.68,-0.68,106.79,0.68
2025-03-10,1,0.72,-0.72,106.07,1.4
2025-03-28,1,0.36,-0.36,105.71,1.76
2025-03-30,1,0.19,-0.19,105.52,1.95
2025-03-31,1,0.53,1.25,106.77,0.7
2025-04-06,1,0.16,0.1,106.87,0.6
2025-04-07,1,0.45,-0.45,106.42,1.05
2025-04-13,1,0.4,0.84,107.26,0.21
2025-04-18,1,0.5,-0.5,106.76,0.71
2025-04-20,2,0.78,0.42,107.18,0.29
2025-04-27,2,1.29,-1.29,105.89,1.58
2025-05-01,1,0.43,-0.43,105.46,2.01
2025-05-03,1,0.17,0.33,105.79,1.68
2025-05-04,2,0.88,0.66,106.45,1.02
2025-05-05,1,0.16,-0.16,106.29,1.18
2025-05-09,4,1.58,0.13,106.42,1.05
2025-05-18,2,0.29,-0.02,106.4,1.07
2025-09-14,2,0.65,0.51,106.91,0.56
2025-09-20,1,0.85,-0.85,106.06,1.41
2025-09-21,1,0.32,0.94,107.0,0.47
2025-09-28,1,0.64,1.85,108.85,0.0
2025-10-05,2,1.36,-1.36,107.49,1.36
2025-10-22,1,0.73,1.86,109.35,0.0
2025-10-24,1,1.26,2.63,111.98,0.0
2025-10-25,1,0.83,2.53,114.51,0.0
2025-10-26,2,2.2,-2.2,112.31,2.2
2025-10-27,1,0.69,-0.69,111.62,2.89
2025-10-31,1,0.69,-0.69,110.93,3.58
2025-11-05,1,0.55,-0.55,110.38,4.13
2025-11-29,2,0.76,0.43,110.81,3.7
2025-11-30,1,0.76,2.49,113.3,1.21
2025-12-01,1,0.72,-0.72,112.58,1.93
2025-12-06,1,0.78,-0.78,111.8,2.71
2025-12-08,1,1.36,4.26,116.06,0.0
2025-12-13,1,0.56,-0.56,115.5,0.56
2026-01-03,1,0.97,-0.97,114.53,1.53
2026-01-10,1,0.51,1.61,116.14,0.0
2026-01-19,1,0.53,-0.53,115.61,0.53
2026-01-23,1,1.18,-1.18,114.43,1.71
2026-01-25,1,0.2,-0.2,114.23,1.91
2026-01-31,3,7.76,10.49,124.72,0.0
2026-02-03,1,0.11,0.39,125.11,0.0
2026-03-07,1,0.38,-0.38,124.73,0.38
2026-03-08,2,0.61,0.61,125.34,0.0
2026-04-04,1,1.67,-1.67,123.67,1.67
2026-04-06,1,1.94,4.28,127.95,0.0
2026-04-16,1,0.56,1.92,129.87,0.0
2026-05-13,1,0.17,-0.17,129.7,0.17
2026-05-17,1,0.2,0.28,129.98,0.0
