month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,6,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,405,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,888,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2372,11,9,1.53,0.27,17.65,3100.0,499.0,100.0,0.0,5.0,8.4905,2.6563,0.8182,"{'home': 1, 'draw': 8, 'away': 2}"
2025-02,2024-08-01..2025-01-31,ABSTAIN_INNER_VALIDATION,2865,0,0,0.0,0.0,0.0,2800.0,,,,,,,,
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2985,2,2,0.29,-0.29,-100.0,3100.0,499.0,10.0,0.25,5.0,7.9199,16.0419,1.0,"{'away': 1, 'draw': 1}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,3001,11,7,1.59,-0.7,-44.03,3000.0,524.0,1.0,0.0,5.0,7.7829,1.3817,0.5455,{'draw': 11}
2025-05,2024-11-01..2025-04-30,ABSTAIN_INNER_VALIDATION,3044,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1907,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,FROZEN_MODEL_EVALUATED,1877,17,8,2.86,4.02,140.56,3000.0,477.0,1.0,0.0,5.0,9.3893,8.0137,0.8824,"{'away': 16, 'home': 1}"
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1855,11,9,1.82,-0.61,-33.52,3100.0,482.0,10.0,0.25,5.0,9.0821,4.7187,0.6364,"{'away': 9, 'home': 2}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1813,22,11,4.48,0.05,1.12,3000.0,525.0,100.0,0.0,5.0,8.1775,4.7483,0.6364,"{'away': 19, 'home': 3}"
2026-01,2025-07-01..2025-12-31,ABSTAIN_INNER_VALIDATION,2458,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2026-02,2025-08-01..2026-01-31,ABSTAIN_INNER_VALIDATION,2994,0,0,0.0,0.0,0.0,2800.0,,,,,,,,
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,3032,11,7,1.69,0.68,40.24,3100.0,471.0,1.0,0.0,5.0,8.2179,6.3803,0.7273,{'away': 11}
