date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2026-05-01,0,0.0,0.0,0.0,0.0,100.0
2026-05-02,0,0.0,0.0,0.0,0.0,100.0
2026-05-03,1,0.12,-0.12,-0.12,0.12,99.88
2026-05-04,0,0.0,0.0,-0.12,0.12,100.0
2026-05-05,0,0.0,0.0,-0.12,0.12,100.0
2026-05-06,0,0.0,0.0,-0.12,0.12,100.0
2026-05-07,0,0.0,0.0,-0.12,0.12,100.0
2026-05-08,0,0.0,0.0,-0.12,0.12,100.0
2026-05-09,2,0.32,0.64,0.52,0.0,99.68
2026-05-10,1,0.16,-0.16,0.36,0.16,99.84
2026-05-11,0,0.0,0.0,0.36,0.16,100.0
2026-05-12,0,0.0,0.0,0.36,0.16,100.0
2026-05-13,1,0.22,-0.22,0.14,0.38,99.78
2026-05-14,0,0.0,0.0,0.14,0.38,100.0
2026-05-15,1,0.12,-0.12,0.02,0.5,99.88
2026-05-16,0,0.0,0.0,0.02,0.5,100.0
2026-05-17,2,0.42,0.77,0.79,0.0,99.58
2026-05-18,0,0.0,0.0,0.79,0.0,100.0
2026-05-19,0,0.0,0.0,0.79,0.0,100.0
2026-05-20,0,0.0,0.0,0.79,0.0,100.0
2026-05-21,0,0.0,0.0,0.79,0.0,100.0
2026-05-22,0,0.0,0.0,0.79,0.0,100.0
2026-05-23,0,0.0,0.0,0.79,0.0,100.0
2026-05-24,0,0.0,0.0,0.79,0.0,100.0
2026-05-25,0,0.0,0.0,0.79,0.0,100.0
2026-05-26,0,0.0,0.0,0.79,0.0,100.0
2026-05-27,0,0.0,0.0,0.79,0.0,100.0
2026-05-28,0,0.0,0.0,0.79,0.0,100.0
2026-05-29,0,0.0,0.0,0.79,0.0,100.0
2026-05-30,0,0.0,0.0,0.79,0.0,100.0
2026-05-31,0,0.0,0.0,0.79,0.0,100.0
