test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2021-12,2021-12-01,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-02,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-03,2,0.38,-0.12,-0.12,0.12,99.62
2021-12,2021-12-04,2,0.87,-0.87,-0.99,0.99,99.13
2021-12,2021-12-05,1,0.16,-0.16,-1.15,1.15,99.84
2021-12,2021-12-06,0,0.0,0.0,-1.15,1.15,100.0
2021-12,2021-12-07,0,0.0,0.0,-1.15,1.15,100.0
2021-12,2021-12-08,0,0.0,0.0,-1.15,1.15,100.0
2021-12,2021-12-09,0,0.0,0.0,-1.15,1.15,100.0
2021-12,2021-12-10,2,0.69,0.19,-0.96,0.96,99.31
2021-12,2021-12-11,3,0.51,0.18,-0.78,0.78,99.49
2021-12,2021-12-12,1,0.53,0.55,-0.23,0.23,99.47
2021-12,2021-12-13,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-14,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-15,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-16,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-17,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-18,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-19,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-20,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-21,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-22,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-23,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-24,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-25,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-26,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-27,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-28,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-29,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-30,0,0.0,0.0,-0.23,0.23,100.0
2021-12,2021-12-31,0,0.0,0.0,-0.23,0.23,100.0
2022-01,2022-01-01,0,0.0,0.0,0.0,0.0,100.0
2022-01,2022-01-02,1,0.1,-0.1,-0.1,0.1,99.9
