month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-03-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-10,2020-04-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2021-11,2020-05-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-12,2020-06-01..2021-11-30,ABSTAIN_INNER_VALIDATION,1922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-01,2020-07-01..2021-12-31,ABSTAIN_INNER_VALIDATION,2429,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-02,2020-08-01..2022-01-31,ABSTAIN_INNER_VALIDATION,2880,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,,
2022-03,2020-09-01..2022-02-28,ABSTAIN_INNER_VALIDATION,3525,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-04,2020-10-01..2022-03-31,ABSTAIN_INNER_VALIDATION,4014,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2022-05,2020-11-01..2022-04-30,ABSTAIN_INNER_VALIDATION,4691,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-08,2021-02-01..2022-07-31,FROZEN_MODEL_EVALUATED,5100,3,3,0.98,1.24,126.53,3100.0,569.0,1.0,0.25,ridge,5.0,8.9327,,,0.0,21.3068,1.0,"{'away': 2, 'home': 1}"
2022-09,2021-03-01..2022-08-31,FROZEN_MODEL_EVALUATED,5669,3,3,0.8,-0.8,-100.0,3000.0,423.0,100.0,0.25,ridge,5.0,9.006,,,0.0,11.2972,1.0,"{'home': 2, 'away': 1}"
2022-10,2021-04-01..2022-09-30,FROZEN_MODEL_EVALUATED,6092,1,1,0.72,0.78,108.33,3100.0,732.0,1.0,0.5,ridge,5.0,9.115,,,0.0,13.0154,1.0,{'home': 1}
2022-11,2021-05-01..2022-10-31,FROZEN_MODEL_EVALUATED,6824,0,0,0.0,0.0,0.0,3000.0,340.0,10.0,0.5,ridge,5.0,8.9811,,,0.0,,,{}
2022-12,2021-06-01..2022-11-30,FROZEN_MODEL_EVALUATED,7164,0,0,0.0,0.0,0.0,3100.0,259.0,100.0,0.25,ridge,5.0,9.0097,,,0.0,,,{}
2023-01,2021-07-01..2022-12-31,FROZEN_MODEL_EVALUATED,7423,0,0,0.0,0.0,0.0,3100.0,500.0,10.0,0.25,ridge,5.0,9.0008,,,0.0,,,{}
2023-02,2021-08-01..2023-01-31,FROZEN_MODEL_EVALUATED,7886,6,6,0.91,-0.32,-35.16,2800.0,560.0,1.0,0.0,ridge,5.0,8.76,,,0.0,3.8439,0.5,"{'away': 1, 'home': 4, 'draw': 1}"
2023-03,2021-09-01..2023-02-28,FROZEN_MODEL_EVALUATED,8033,8,4,2.03,-0.81,-39.9,3100.0,437.0,100.0,0.0,ridge,5.0,8.2601,,,0.0,-1.9082,0.5,"{'away': 4, 'draw': 2, 'home': 2}"
2023-04,2021-10-01..2023-03-31,FROZEN_MODEL_EVALUATED,8018,13,10,4.84,0.84,17.36,3000.0,656.0,100.0,0.0,ridge,5.0,8.2069,,,0.0,7.7946,0.8462,"{'home': 7, 'away': 4, 'draw': 2}"
2023-05,2021-11-01..2023-04-30,FROZEN_MODEL_EVALUATED,8106,3,3,1.1,0.49,44.55,3100.0,431.0,100.0,0.25,ridge,5.0,8.2387,,,0.0,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-02-01..2023-07-31,FROZEN_MODEL_EVALUATED,7183,1,1,0.1,0.25,250.0,3100.0,388.0,1.0,0.25,ridge,5.0,8.5412,,,0.0,17.6089,1.0,{'home': 1}
2023-09,2022-03-01..2023-08-31,FROZEN_MODEL_EVALUATED,6926,0,0,0.0,0.0,0.0,3000.0,536.0,10.0,0.25,ridge,5.0,8.6238,,,0.0,,,{}
2023-10,2022-04-01..2023-09-30,FROZEN_MODEL_EVALUATED,6973,1,1,0.25,0.16,64.0,3100.0,484.0,100.0,0.25,ridge,5.0,8.5563,,,0.0,4.707,1.0,{'home': 1}
2023-11,2022-05-01..2023-10-31,FROZEN_MODEL_EVALUATED,6780,0,0,0.0,0.0,0.0,3000.0,371.0,1.0,0.25,ridge,5.0,8.5159,,,0.0,,,{}
2023-12,2022-06-01..2023-11-30,FROZEN_MODEL_EVALUATED,6806,1,1,0.27,-0.27,-100.0,3100.0,575.0,1.0,0.25,ridge,5.0,8.5839,,,0.0,-6.7085,0.0,{'home': 1}
