month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-09-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-10,2020-10-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2021-11,2020-11-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-12,2020-12-01..2021-11-30,ABSTAIN_INNER_VALIDATION,1922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-01,2021-01-01..2021-12-31,ABSTAIN_INNER_VALIDATION,2429,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-02,2021-02-01..2022-01-31,ABSTAIN_INNER_VALIDATION,2880,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,,
2022-03,2021-03-01..2022-02-28,FROZEN_MODEL_EVALUATED,3525,9,7,2.67,-0.85,-31.84,3100.0,489.0,10.0,0.5,ridge,5.0,8.2358,,,0.0,11.2125,0.8889,"{'home': 7, 'away': 2}"
2022-04,2021-04-01..2022-03-31,FROZEN_MODEL_EVALUATED,4014,7,4,3.25,2.09,64.31,3000.0,677.0,10.0,0.5,ridge,5.0,8.2093,,,0.0,10.2923,0.8571,"{'home': 6, 'away': 1}"
2022-05,2021-05-01..2022-04-30,FROZEN_MODEL_EVALUATED,4691,5,3,3.34,-0.8,-23.95,3100.0,345.0,1.0,0.25,ridge,5.0,8.5914,,,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-08-01..2022-07-31,FROZEN_MODEL_EVALUATED,5063,2,2,0.57,0.93,163.16,3100.0,569.0,10.0,0.5,ridge,5.0,9.3053,,,0.0,27.0917,1.0,{'away': 2}
2022-09,2021-09-01..2022-08-31,FROZEN_MODEL_EVALUATED,5219,3,3,0.83,-0.83,-100.0,3000.0,423.0,10.0,0.25,ridge,5.0,9.4918,,,0.0,11.2972,1.0,"{'home': 2, 'away': 1}"
2022-10,2021-10-01..2022-09-30,FROZEN_MODEL_EVALUATED,5190,1,1,0.8,0.86,107.5,3100.0,732.0,100.0,0.25,ridge,5.0,9.4884,,,0.0,13.0154,1.0,{'home': 1}
2022-11,2021-11-01..2022-10-31,FROZEN_MODEL_EVALUATED,5354,5,4,0.67,-0.28,-41.79,3000.0,340.0,10.0,0.0,ridge,5.0,9.0405,,,0.0,1.723,0.6,"{'draw': 2, 'home': 3}"
