month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1162,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,8,8,1.08,0.57,52.78,3100.0,432.0,100.0,0.0,4.0,8.1127,0.4363,0.75,"{'home': 1, 'draw': 7}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2435,20,13,3.02,1.94,64.24,2800.0,463.0,100.0,0.0,8.0,8.0879,4.6536,0.85,"{'away': 4, 'draw': 14, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2565,3,2,0.4,-0.4,-100.0,3100.0,438.0,10.0,0.25,6.0,7.637,7.9975,1.0,"{'draw': 2, 'away': 1}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2581,2,2,0.31,-0.31,-100.0,3000.0,443.0,100.0,0.25,8.0,7.4013,2.3628,0.5,{'draw': 2}
2025-05,2024-11-01..2025-04-30,ABSTAIN_INNER_VALIDATION,2621,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1666,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1617,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1593,16,10,2.83,0.47,16.61,3100.0,416.0,100.0,0.0,8.0,8.8084,3.2726,0.5625,"{'away': 10, 'home': 4, 'draw': 2}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1566,29,10,5.52,-0.42,-7.61,3000.0,441.0,10.0,0.0,8.0,8.3773,7.2388,0.7586,"{'away': 22, 'home': 4, 'draw': 3}"
2026-01,2025-07-01..2025-12-31,ABSTAIN_INNER_VALIDATION,2093,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2026-02,2025-08-01..2026-01-31,ABSTAIN_INNER_VALIDATION,2520,0,0,0.0,0.0,0.0,2800.0,,,,,,,,
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,2497,3,3,0.38,-0.38,-100.0,3100.0,350.0,100.0,0.25,6.0,7.9704,-0.8459,0.6667,"{'home': 1, 'away': 2}"
