test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2024-11,data\historical_csv\football-data\2425\SP2.csv:142,data\historical_csv\football-data\2425\SP2.csv,142,2024-11-09,__UNKNOWN_LIVE_LEAGUE__,Mirandes,Cadiz,draw,0.36184329433103946,0.3458700687056695,2.96,3.0,2.377540336878181,0.01397322562536994,6,0.0,WH,2.0-3.0,sportsbook,7.884347947336937,5.776148695745169,0.29,0.3573518537018418,True,0.3493856261994927,2.8621669725732177,3.4181453550498286,True,draw,True,0.57
2024-11,data\historical_csv\football-data\2425\SP2.csv:144,data\historical_csv\football-data\2425\SP2.csv,144,2024-11-09,__UNKNOWN_LIVE_LEAGUE__,Huesca,Zaragoza,draw,0.34958235784527764,0.3393754583371273,2.96,3.0,0.4551356677896745,0.008206899508150322,6,0.0,WH,2.0-3.0,sportsbook,5.18863168659047,3.0804324349987016,0.16,0.34824470417229286,True,0.36414256392643524,2.74617718186337,7.78619892222483,True,draw,True,0.31
2025-01,data\historical_csv\football-data\2425\E0.csv:196,data\historical_csv\football-data\2425\E0.csv,196,2025-01-04,__UNKNOWN_LIVE_LEAGUE__,Southampton,Brentford,home,0.346951425215404,0.33671444260618855,2.96,3.0,-0.3325249885681947,0.008236982609215432,6,0.0,B365,2.0-3.0,sportsbook,2.3317935316412037,2.3317935316412037,0.12,0.34571551868797706,True,0.28800707915207446,3.472136875746643,-14.749904570985962,False,away,False,-0.12
2025-01,data\historical_csv\football-data\2425\F1.csv:143,data\historical_csv\football-data\2425\F1.csv,143,2025-01-05,__UNKNOWN_LIVE_LEAGUE__,Lens,Toulouse,draw,0.27766072072216624,0.27076720178695657,3.6754,3.73,-0.4822226552219866,0.00489351893520966,6,0.0,1XB,3.0-4.0,sportsbook,2.779124526165328,2.779124526165328,0.1,0.27964065006846966,True,0.2749016392243673,3.637664740092099,1.0373484805239475,True,away,False,-0.1
2025-01,data\historical_csv\football-data\2425\I2.csv:205,data\historical_csv\football-data\2425\I2.csv,205,2025-01-12,__UNKNOWN_LIVE_LEAGUE__,Palermo,Modena,away,0.24369292391044592,0.22956266035852763,4.43,4.5,1.696258538827733,0.012130263551918303,6,0.0,B365,4.0-5.0,sportsbook,5.3151346675012805,5.3151346675012805,0.15,0.2377316809650142,True,0.258024407860914,3.875602344329541,14.304812682384904,True,home,False,-0.15
2025-01,data\historical_csv\football-data\2425\I1.csv:197,data\historical_csv\football-data\2425\I1.csv,197,2025-01-14,__UNKNOWN_LIVE_LEAGUE__,Como,Milan,draw,0.27126827059292086,0.26753954159879645,3.7734,3.83,0.953370626889849,0.0017287289941243975,6,0.0,1XB,3.0-4.0,sportsbook,3.2151074561636417,3.2151074561636417,0.12,0.2735334378972906,True,0.26881922893769244,3.719971982479655,1.4362478473488594,True,away,False,-0.12
2025-01,data\historical_csv\football-data\2425\F1.csv:156,data\historical_csv\football-data\2425\F1.csv,156,2025-01-17,__UNKNOWN_LIVE_LEAGUE__,Lille,Nice,draw,0.27965272143303155,0.27590703619675955,3.6754,3.73,1.4068720837570048,0.0017456852362720187,6,0.0,1XB,3.0-4.0,sportsbook,3.6110082208266805,3.6110082208266805,0.13,0.2819040328150043,True,0.2804354943235666,3.565882423022385,3.071261583683671,True,home,False,-0.13
2025-01,data\historical_csv\football-data\2425\T1.csv:175,data\historical_csv\football-data\2425\T1.csv,175,2025-01-18,__UNKNOWN_LIVE_LEAGUE__,Gaziantep,Bodrumspor,draw,0.28725199868146534,0.2787524712021582,3.6557999999999997,3.71,1.9063284220849797,0.006499527479307134,6,0.0,1XB,3.0-4.0,sportsbook,5.498346253822648,5.498346253822648,0.21,0.28857800277318957,True,0.29354093896939765,3.4066798434008296,7.312696468432378,True,draw,True,0.56
2025-01,data\historical_csv\football-data\2425\F1.csv:157,data\historical_csv\football-data\2425\F1.csv,157,2025-01-18,__UNKNOWN_LIVE_LEAGUE__,Lens,Paris SG,draw,0.2363409161776228,0.22758428528251495,4.381,4.45,-0.29532461773019714,0.006756630895107828,6,0.0,1XB,4.0-5.0,sportsbook,3.9586801874264728,3.9586801874264728,0.12,0.2372944080972985,True,0.2492333202947077,4.012304610063947,9.189117621111453,True,away,False,-0.12
2025-01,data\historical_csv\football-data\2425\SP1.csv:199,data\historical_csv\football-data\2425\SP1.csv,199,2025-01-19,__UNKNOWN_LIVE_LEAGUE__,Osasuna,Vallecano,draw,0.31226699904380556,0.30298815563498555,3.2931999999999997,3.34,-0.2199405862865711,0.007278843408820014,6,0.0,1XB,3.0-4.0,sportsbook,3.584233600125053,3.584233600125053,0.16,0.31453975950481317,True,0.3106766210306046,3.2187809841716106,2.3120248377987096,True,draw,True,0.37
