month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1162,2,1,0.53,1.04,196.23,3000.0,394.0,1.0,0.25,5.0,8.4416,5.6022,1.0,{'draw': 2}
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,11,9,1.44,0.22,15.28,3100.0,432.0,100.0,0.0,5.0,8.0753,2.5721,0.8182,"{'home': 1, 'draw': 8, 'away': 2}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2435,16,9,2.39,1.48,61.92,2800.0,463.0,100.0,0.0,5.0,8.0661,4.6166,0.875,"{'away': 1, 'draw': 13, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2565,9,7,1.1,-0.3,-27.27,3100.0,438.0,100.0,0.0,5.0,7.6045,6.56,0.8889,"{'draw': 7, 'away': 2}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2581,10,6,1.44,-0.62,-43.06,3000.0,443.0,100.0,0.0,5.0,7.4058,1.167,0.5,{'draw': 10}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,2621,7,4,1.53,1.84,120.26,3100.0,314.0,10.0,0.25,5.0,7.281,5.9208,0.5714,"{'draw': 3, 'away': 2, 'home': 2}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1666,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1617,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1593,17,10,2.87,-0.65,-22.65,3100.0,416.0,1.0,0.0,5.0,8.7382,1.9186,0.4706,"{'away': 10, 'home': 5, 'draw': 2}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1566,15,7,3.44,2.09,60.76,3000.0,441.0,10.0,0.0,5.0,8.2819,12.0648,0.8667,"{'away': 12, 'home': 2, 'draw': 1}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2093,11,9,1.8,0.48,26.67,3100.0,431.0,100.0,0.0,5.0,8.1588,3.7243,0.7273,{'away': 11}
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2520,2,2,0.28,0.77,275.0,2800.0,391.0,100.0,0.0,5.0,8.2036,1.5111,0.5,"{'home': 1, 'away': 1}"
2026-03,2025-09-01..2026-02-28,ABSTAIN_INNER_VALIDATION,2497,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
