month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2023-08-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2023-09-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2023-10-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2023-11-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1162,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-01,2024-01-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,2,2,0.24,0.27,112.5,3100.0,432.0,1.0,0.25,5.0,8.2295,10.8088,1.0,"{'away': 1, 'draw': 1}"
2025-02,2024-02-01..2025-01-31,FROZEN_MODEL_EVALUATED,2439,16,9,2.37,1.46,61.6,2800.0,463.0,100.0,0.0,5.0,7.8885,4.6166,0.875,"{'away': 1, 'draw': 13, 'home': 2}"
2025-03,2024-03-01..2025-02-28,FROZEN_MODEL_EVALUATED,2902,8,6,1.0,-0.23,-23.0,3100.0,438.0,100.0,0.0,5.0,8.0032,6.7846,0.875,"{'draw': 6, 'away': 2}"
2025-04,2024-04-01..2025-03-31,FROZEN_MODEL_EVALUATED,3340,10,6,1.29,-0.63,-48.84,3000.0,443.0,100.0,0.0,5.0,7.3529,1.167,0.5,{'draw': 10}
2025-05,2024-05-01..2025-04-30,FROZEN_MODEL_EVALUATED,3783,12,8,2.4,1.12,46.67,3100.0,314.0,100.0,0.0,5.0,7.5135,2.3861,0.4167,"{'draw': 6, 'away': 2, 'home': 4}"
2025-08,2024-08-01..2025-07-31,ABSTAIN_INNER_VALIDATION,4101,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2024-09-01..2025-08-31,ABSTAIN_INNER_VALIDATION,4182,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2024-10-01..2025-09-30,FROZEN_MODEL_EVALUATED,4174,8,7,1.65,-0.36,-21.82,3100.0,416.0,100.0,0.25,5.0,8.6578,2.388,0.625,"{'away': 6, 'home': 2}"
2025-11,2024-11-01..2025-10-31,FROZEN_MODEL_EVALUATED,4187,9,6,2.47,0.46,18.62,3000.0,441.0,100.0,0.25,5.0,8.4165,14.2783,0.8889,"{'away': 6, 'home': 2, 'draw': 1}"
2026-01,2025-01-01..2025-12-31,FROZEN_MODEL_EVALUATED,4187,5,4,1.03,0.33,32.04,3100.0,431.0,100.0,0.25,5.0,8.0587,7.3287,1.0,{'away': 5}
2026-02,2025-02-01..2026-01-31,FROZEN_MODEL_EVALUATED,4186,1,1,0.1,0.35,350.0,2800.0,391.0,10.0,0.25,5.0,8.1407,4.5603,1.0,{'home': 1}
2026-03,2025-03-01..2026-02-28,FROZEN_MODEL_EVALUATED,4114,6,4,0.77,0.12,15.58,3100.0,350.0,100.0,0.0,5.0,8.0028,4.271,0.6667,{'away': 6}
