month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,0,0.0,0.0,0.0
2021-12,6,18.25,10.15,55.62
2022-01,1,0.54,1.32,244.44
2022-02,11,43.16,22.39,51.88
2022-03,11,45.96,-11.63,-25.3
2022-04,8,44.81,32.5,72.53
2022-05,5,24.56,0.79,3.22
2022-08,2,2.28,3.7,162.28
2022-09,3,1.67,-1.67,-100.0
2022-10,3,14.57,13.82,94.85
2022-11,3,1.66,-0.29,-17.47
2022-12,0,0.0,0.0,0.0
2023-01,3,0.73,-0.27,-36.99
2023-02,6,2.13,-2.13,-100.0
2023-03,5,25.16,0.02,0.08
2023-04,12,38.71,17.95,46.37
2023-05,6,17.11,7.83,45.76
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.09,-1.09,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.5,1.53,306.0
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.76,0.9,118.42
2024-08,18,6.2,-1.2,-19.35
2024-09,5,2.26,0.48,21.24
2024-10,9,16.9,-6.46,-38.22
2024-11,5,1.44,1.11,77.08
2024-12,2,2.45,7.43,303.27
2025-01,5,3.29,3.07,93.31
2025-02,14,24.8,13.81,55.69
2025-03,7,3.73,-0.79,-21.18
2025-04,9,1.86,-0.78,-41.94
2025-05,6,2.76,0.63,22.83
2025-08,10,3.21,-1.62,-50.47
2025-09,8,3.87,4.5,116.28
2025-10,14,6.78,2.91,42.92
2025-11,2,0.45,-0.02,-4.44
2025-12,1,0.36,1.13,313.89
2026-01,3,5.3,6.87,129.62
2026-02,0,0.0,0.0,0.0
2026-03,3,1.46,1.58,108.22
2026-04,5,3.74,-2.34,-62.57
