date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,4.2,5.14,5.14,0.0
2021-11-07,1,4.7,3.36,8.5,0.0
2021-12-03,1,12.0,-12.0,-3.5,12.0
2021-12-04,1,9.1,-9.1,-12.6,21.1
2021-12-05,1,12.5,-12.5,-25.1,33.6
2021-12-10,2,16.6,12.81,-12.29,20.79
2021-12-11,2,30.0,12.93,0.64,7.86
2021-12-12,1,15.0,15.43,16.07,0.0
2021-12-27,1,4.0,-4.0,12.07,4.0
2022-01-02,1,1.0,-1.0,11.07,5.0
2022-01-14,1,13.5,33.08,44.15,0.0
2022-01-16,1,1.2,-1.2,42.95,1.2
2022-02-05,1,8.1,-8.1,34.85,9.3
2022-02-06,1,12.5,-12.5,22.35,21.8
2022-02-12,3,24.4,39.55,61.9,0.0
2022-02-13,5,27.0,-20.0,41.9,20.0
2022-02-18,1,15.0,21.32,63.22,0.0
2022-02-19,3,24.3,17.95,81.17,0.0
2022-02-20,1,4.9,-4.9,76.27,4.9
2022-02-25,1,5.2,-5.2,71.07,10.1
2022-02-26,3,15.0,13.54,84.61,0.0
2022-02-27,1,4.8,12.79,97.4,0.0
2022-03-03,1,15.0,17.64,115.04,0.0
2022-03-05,1,15.0,-15.0,100.04,15.0
2022-03-12,1,3.4,-3.4,96.64,18.4
2022-03-13,2,15.0,-15.0,81.64,33.4
2022-03-15,2,15.0,0.65,82.29,32.75
2022-03-19,2,15.0,-15.0,67.29,47.75
2022-03-20,1,15.0,-15.0,52.29,62.75
2022-03-26,2,15.0,1.81,54.1,60.94
2022-03-27,2,15.0,23.84,77.94,37.1
2022-03-28,1,15.0,19.11,97.05,17.99
2022-04-09,4,30.0,33.94,130.99,0.0
2022-04-10,6,25.2,9.74,140.73,0.0
2022-04-16,1,8.2,17.68,158.41,0.0
2022-04-17,1,5.6,-5.6,152.81,5.6
2022-04-24,1,4.0,4.31,157.12,1.29
2022-04-25,2,12.0,-12.0,145.12,13.29
2022-04-29,1,15.0,12.5,157.62,0.79
2022-04-30,2,15.0,16.37,173.99,0.0
2022-05-01,1,15.0,17.64,191.63,0.0
2022-05-07,1,15.0,-15.0,176.63,15.0
2022-05-08,1,3.4,-3.4,173.23,18.4
2022-05-21,3,15.0,-6.39,166.84,24.79
2022-08-14,1,15.0,24.99,191.83,0.0
2022-08-28,1,13.6,20.66,212.49,0.0
2022-09-17,1,1.8,-1.8,210.69,1.8
2022-09-24,1,12.2,-12.2,198.49,14.0
2022-09-25,1,4.3,-4.3,194.19,18.3
2022-10-07,1,2.6,-2.6,191.59,20.9
2022-10-08,2,9.4,-0.73,190.86,21.63
2022-10-14,1,1.1,-1.1,189.76,22.73
2022-10-19,1,7.1,-7.1,182.66,29.83
2022-10-21,1,15.0,16.17,198.83,13.66
2022-10-22,1,1.2,-1.2,197.63,14.86
2022-10-31,1,11.7,-11.7,185.93,26.56
2022-11-05,2,12.0,1.99,187.92,24.57
2022-11-11,1,5.0,-5.0,182.92,29.57
2022-11-19,1,1.3,-1.3,181.62,30.87
2022-12-11,1,5.7,-5.7,175.92,36.57
2023-01-01,1,1.1,-1.1,174.82,37.67
2023-01-15,1,5.2,-5.2,169.62,42.87
2023-01-28,1,1.4,4.51,174.13,38.36
2023-02-04,1,4.9,-4.9,169.23,43.26
2023-02-11,1,9.6,-9.6,159.63,52.86
2023-02-17,1,8.3,-8.3,151.33,61.16
2023-02-19,1,4.8,-4.8,146.53,65.96
2023-02-20,1,5.4,-5.4,141.13,71.36
2023-02-21,1,8.4,-8.4,132.73,79.76
2023-02-25,1,5.3,-5.3,127.43,85.06
2023-02-27,1,8.0,-8.0,119.43,93.06
2023-02-28,2,13.7,49.2,168.63,43.86
