date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.52,0.64,0.64,0.0
2021-11-07,1,0.59,0.42,1.06,0.0
2021-12-03,1,1.2,-1.2,-0.14,1.2
2021-12-04,1,1.14,-1.14,-1.28,2.34
2021-12-05,1,1.25,-1.25,-2.53,3.59
2021-12-10,2,4.25,3.69,1.16,0.0
2021-12-11,2,3.15,1.17,2.33,0.0
2021-12-12,1,3.74,3.85,6.18,0.0
2021-12-27,1,0.4,-0.4,5.78,0.4
2022-01-02,1,0.12,-0.12,5.66,0.52
2022-01-14,1,1.35,3.31,8.97,0.0
2022-01-16,1,0.15,-0.15,8.82,0.15
2022-02-05,1,0.81,-0.81,8.01,0.96
2022-02-06,1,1.25,-1.25,6.76,2.21
2022-02-12,3,6.68,8.11,14.87,0.0
2022-02-13,5,16.2,-9.2,5.67,9.2
2022-02-18,1,5.4,7.67,13.34,1.53
2022-02-19,3,4.53,5.6,18.94,0.0
2022-02-20,1,0.49,-0.49,18.45,0.49
2022-02-25,1,0.52,-0.52,17.93,1.01
2022-02-26,3,9.75,8.8,26.73,0.0
2022-02-27,1,0.48,1.28,28.01,0.0
2022-03-03,1,1.14,1.34,29.35,0.0
2022-03-05,1,8.34,-8.34,21.01,8.34
2022-03-12,1,0.21,-0.21,20.8,8.55
2022-03-13,2,5.09,-5.09,15.71,13.64
2022-03-15,2,6.64,0.29,16.0,13.35
2022-03-19,2,7.45,-7.45,8.55,20.8
2022-03-20,1,2.73,-2.73,5.82,23.53
2022-03-26,2,10.35,1.25,7.07,22.28
2022-03-27,2,4.35,6.98,14.05,15.3
2022-03-28,1,2.71,3.45,17.5,11.85
2022-04-09,4,10.62,8.77,26.27,3.08
2022-04-10,6,10.56,-1.63,24.64,4.71
2022-04-16,1,0.51,1.1,25.74,3.61
2022-04-17,1,0.35,-0.35,25.39,3.96
2022-04-24,1,0.25,0.27,25.66,3.69
2022-04-25,2,0.68,-0.68,24.98,4.37
2022-04-29,1,12.24,10.2,35.18,0.0
2022-04-30,2,15.0,16.37,51.55,0.0
2022-05-01,1,8.52,10.02,61.57,0.0
2022-05-07,1,1.99,-1.99,59.58,1.99
2022-05-08,1,0.21,-0.21,59.37,2.2
2022-05-21,3,15.0,-6.39,52.98,8.59
2022-08-14,1,1.9,3.17,56.15,5.42
2022-08-28,1,0.68,1.03,57.18,4.39
2022-09-17,1,0.18,-0.18,57.0,4.57
2022-09-24,1,1.22,-1.22,55.78,5.79
2022-09-25,1,0.43,-0.43,55.35,6.22
2022-10-07,1,0.32,-0.32,55.03,6.54
2022-10-08,2,0.94,-0.07,54.96,6.61
2022-10-14,1,0.14,-0.14,54.82,6.75
2022-10-19,1,0.71,-0.71,54.11,7.46
2022-10-21,1,10.29,11.09,65.2,0.0
2022-10-22,1,0.15,-0.15,65.05,0.15
2022-10-31,1,1.17,-1.17,63.88,1.32
2022-11-05,2,1.2,0.2,64.08,1.12
2022-11-11,1,0.5,-0.5,63.58,1.62
2022-11-19,1,0.16,-0.16,63.42,1.78
2022-12-11,1,0.57,-0.57,62.85,2.35
2023-01-01,1,0.14,-0.14,62.71,2.49
2023-01-15,1,0.52,-0.52,62.19,3.01
2023-01-28,1,0.18,0.58,62.77,2.43
2023-02-04,1,0.49,-0.49,62.28,2.92
2023-02-11,1,0.96,-0.96,61.32,3.88
2023-02-17,1,0.83,-0.83,60.49,4.71
2023-02-19,1,0.48,-0.48,60.01,5.19
2023-02-20,1,0.54,-0.54,59.47,5.73
2023-02-21,1,0.84,-0.84,58.63,6.57
2023-02-25,1,0.53,-0.53,58.1,7.1
2023-02-27,1,0.8,-0.8,57.3,7.9
2023-02-28,2,1.37,4.92,62.22,2.98
2023-03-04,1,0.12,-0.12,62.1,3.1
2023-03-18,3,0.8,-0.8,61.3,3.9
2023-03-26,2,10.68,-10.68,50.62,14.58
2023-03-27,1,0.52,-0.52,50.1,15.1
2023-03-31,1,11.66,10.86,60.96,4.24
2023-04-01,3,10.07,12.99,73.95,0.0
2023-04-05,1,0.8,-0.8,73.15,0.8
2023-04-08,2,0.64,-0.64,72.51,1.44
2023-04-15,2,0.74,-0.74,71.77,2.18
2023-04-18,1,15.0,12.05,83.82,0.0
2023-04-21,1,1.13,1.0,84.82,0.0
2023-04-22,1,0.28,-0.28,84.54,0.28
2023-04-25,1,0.65,-0.65,83.89,0.93
2023-04-29,1,7.53,-7.53,76.36,8.46
2023-04-30,1,0.9,2.21,78.57,6.25
2023-05-06,1,4.05,-4.05,74.52,10.3
2023-05-08,1,1.1,-1.1,73.42,11.4
2023-05-13,1,8.54,10.88,84.3,0.52
2023-08-30,1,0.36,0.88,85.18,0.0
2023-10-21,1,1.55,1.0,86.18,0.0
2023-12-17,1,1.17,-1.17,85.01,1.17
2024-02-03,1,0.3,0.94,85.95,0.23
2024-02-17,1,0.22,0.65,86.6,0.0
2024-03-12,1,0.18,0.56,87.16,0.0
2024-04-09,2,0.44,0.11,87.27,0.0
2024-05-05,1,0.18,-0.18,87.09,0.18
2024-05-18,1,0.62,1.15,88.24,0.0
2024-08-03,1,0.36,-0.36,87.88,0.36
2024-08-10,1,0.66,-0.66,87.22,1.02
2024-08-11,1,0.42,1.18,88.4,0.0
2024-08-18,1,0.36,-0.36,88.04,0.36
2024-08-23,1,0.32,-0.32,87.72,0.68
2024-08-24,1,0.34,0.78,88.5,0.0
2024-08-25,3,0.98,0.07,88.57,0.0
2024-08-27,2,1.44,-1.44,87.13,1.44
2024-08-31,3,1.07,-0.06,87.07,1.5
2024-09-20,1,0.34,-0.34,86.73,1.84
2024-09-21,1,0.48,1.1,87.83,0.74
2024-09-22,2,0.76,0.4,88.23,0.34
2024-09-28,1,0.68,-0.68,87.55,1.02
2024-10-04,1,1.07,-1.07,86.48,2.09
2024-10-05,1,0.74,-0.74,85.74,2.83
2024-10-18,1,1.59,-1.59,84.15,4.42
2024-10-19,2,2.65,2.27,86.42,2.15
2024-10-23,1,1.07,-1.07,85.35,3.22
2024-10-24,1,0.19,-0.19,85.16,3.41
2024-10-29,2,5.4,-1.51,83.65,4.92
2024-11-04,1,0.38,-0.38,83.27,5.3
2024-11-09,2,0.86,1.69,84.96,3.61
2024-12-29,2,2.91,8.8,93.76,0.0
2025-01-12,1,0.69,-0.69,93.07,0.69
2025-01-17,1,0.75,-0.75,92.32,1.44
2025-01-18,2,1.74,2.79,95.11,0.0
2025-01-19,1,0.96,2.2,97.31,0.0
2025-01-26,1,0.73,-0.73,96.58,0.73
2025-01-31,1,0.95,-0.95,95.63,1.68
2025-02-02,1,0.63,-0.63,95.0,2.31
2025-02-08,3,2.45,-2.45,92.55,4.76
2025-02-15,3,2.6,3.5,96.05,1.26
2025-02-16,2,4.35,7.91,103.96,0.0
2025-02-17,2,1.15,-1.15,102.81,1.15
2025-02-21,2,3.43,-3.43,99.38,4.58
2025-02-22,1,0.92,2.2,101.58,2.38
2025-02-23,1,0.84,-0.84,100.74,3.22
2025-02-24,2,2.69,8.39,109.13,0.0
2025-03-01,2,0.61,-0.24,108.89,0.24
2025-03-02,1,0.59,-0.59,108.3,0.83
2025-03-08,2,1.93,0.14,108.44,0.69
2025-03-09,1,1.21,-1.21,107.23,1.9
2025-03-28,1,0.22,-0.22,107.01,2.12
2025-03-31,1,0.36,0.85,107.86,1.27
2025-04-07,1,0.16,-0.16,107.7,1.43
2025-04-13,2,0.34,0.22,107.92,1.21
2025-04-18,1,0.43,-0.43,107.49,1.64
2025-04-20,3,0.68,-0.16,107.33,1.8
2025-04-27,2,0.97,-0.97,106.36,2.77
2025-05-01,1,0.58,-0.58,105.78,3.35
2025-05-03,1,0.4,0.78,106.56,2.57
2025-05-04,2,1.3,1.11,107.67,1.46
2025-05-05,1,0.39,-0.39,107.28,1.85
2025-05-09,5,3.88,1.36,108.64,0.49
2025-05-18,1,0.12,0.13,108.77,0.36
2025-08-11,1,0.42,1.17,109.94,0.0
2025-08-16,1,0.72,-0.72,109.22,0.72
2025-08-17,1,0.48,-0.48,108.74,1.2
2025-08-24,1,0.32,-0.32,108.42,1.52
2025-08-30,1,0.35,-0.35,108.07,1.87
2025-08-31,2,0.63,-0.63,107.44,2.5
2025-09-13,1,0.38,0.62,108.06,1.88
2025-09-14,2,0.96,0.76,108.82,1.12
2025-09-20,2,1.2,-1.2,107.62,2.32
2025-09-21,1,0.4,1.18,108.8,1.14
2025-09-28,2,1.19,3.32,112.12,0.0
2025-10-03,1,0.55,-0.55,111.57,0.55
2025-10-04,3,1.82,-1.82,109.75,2.37
2025-10-05,2,1.57,-1.57,108.18,3.94
2025-10-18,1,0.16,-0.16,108.02,4.1
2025-10-22,1,0.85,2.17,110.19,1.93
2025-10-24,1,2.0,4.17,114.36,0.0
