month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,5,15.8,1.6,10.13
2021-12,10,102.3,6.55,6.4
2022-01,4,18.7,33.53,179.3
2022-02,20,141.2,54.45,38.56
2022-03,16,140.8,-2.75,-1.95
2022-04,18,115.0,76.94,66.9
2022-05,6,48.4,-7.15,-14.77
2022-08,2,28.6,45.65,159.62
2022-09,3,18.3,-18.3,-100.0
2022-10,8,48.1,-8.26,-17.17
2022-11,5,19.5,-5.51,-28.26
2022-12,1,5.7,-5.7,-100.0
2023-01,3,7.7,-1.79,-23.25
2023-02,10,68.4,-5.5,-8.04
2023-03,8,44.2,-15.24,-34.48
2023-04,14,114.4,26.87,23.49
2023-05,4,47.0,-12.89,-27.43
2023-08,1,7.2,17.64,245.0
2023-09,0,0.0,0.0,0.0
2023-10,1,15.0,9.7,64.67
2023-11,0,0.0,0.0,0.0
2023-12,1,11.7,-11.7,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,5.2,15.88,305.38
2024-03,1,1.8,5.64,313.33
2024-04,2,4.4,1.13,25.68
2024-05,2,8.0,9.74,121.75
2024-08,14,59.5,-11.64,-19.56
2024-09,5,22.6,4.78,21.15
2024-10,9,84.0,-31.75,-37.8
2024-11,3,22.6,21.8,96.46
2024-12,2,30.0,91.69,305.63
2025-01,7,58.2,18.74,32.2
2025-02,17,148.7,84.42,56.77
2025-03,9,51.3,-15.44,-30.1
2025-04,10,54.2,-26.7,-49.26
2025-05,11,96.41,22.24,23.07
2025-08,7,58.4,-26.54,-45.45
2025-09,8,71.0,71.88,101.24
2025-10,16,124.5,6.36,5.11
2025-11,6,38.6,68.4,177.2
2025-12,6,17.6,-2.71,-15.4
2026-01,6,45.6,21.39,46.91
2026-02,1,1.1,3.88,352.73
2026-03,4,20.7,9.73,47.0
2026-04,6,31.8,-9.78,-30.75
