month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,3694,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,FROZEN_MODEL_EVALUATED,5883,2,2,0.82,0.77,93.9,3000.0,1688.0,10.0,0.5,ridge,5.0,8.3668,,,0.0,,0.0,18.0672,1.0,{'home': 2}
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,7571,5,4,1.78,-0.97,-54.49,3100.0,1802.0,10.0,0.5,ridge,5.0,7.2641,,,0.0,,0.0,7.2506,0.8,"{'home': 4, 'away': 1}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,9373,2,2,0.33,0.33,100.0,3100.0,1685.0,100.0,0.25,ridge,5.0,7.2062,,,0.0,,0.0,13.5123,0.5,{'home': 2}
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,11058,11,6,4.72,3.41,72.25,2800.0,2287.0,10.0,0.25,ridge,5.0,7.7763,,,0.0,,0.0,10.826,0.9091,"{'home': 8, 'away': 3}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,13345,15,10,4.85,0.85,17.53,3100.0,1804.0,1.0,0.25,ridge,5.0,7.8414,,,0.0,,0.0,9.1126,0.8,"{'home': 11, 'away': 4}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,15149,19,9,7.09,4.29,60.51,3000.0,2415.0,10.0,0.0,ridge,5.0,7.7754,,,0.0,,0.0,7.0466,0.7368,"{'home': 12, 'away': 7}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,17418,5,3,1.51,-0.24,-15.89,3100.0,1164.0,1.0,0.5,ridge,5.0,7.8263,,,0.0,,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,FROZEN_MODEL_EVALUATED,13092,6,6,1.57,1.43,91.08,3100.0,1965.0,1.0,0.0,ridge,5.0,9.977,,,0.0,,0.0,8.5773,0.8333,"{'home': 2, 'away': 3, 'draw': 1}"
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,13369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,13110,7,7,1.52,0.0,0.0,3100.0,2635.0,10.0,0.0,ridge,5.0,7.4618,,,0.0,,0.0,6.2485,1.0,"{'home': 4, 'away': 1, 'draw': 2}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,14060,5,4,0.61,-0.28,-45.9,3000.0,1252.0,100.0,0.0,ridge,5.0,7.3176,,,0.0,,0.0,1.723,0.6,"{'draw': 2, 'home': 3}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,13025,1,1,0.15,-0.15,-100.0,3100.0,1022.0,1.0,0.0,ridge,5.0,7.1192,,,0.0,,0.0,9.3001,1.0,{'away': 1}
2023-01,2022-04-01..2022-12-31,FROZEN_MODEL_EVALUATED,12243,2,2,0.28,0.31,110.71,3100.0,1883.0,10.0,0.0,ridge,5.0,7.0175,,,0.0,,0.0,8.3715,1.0,"{'home': 1, 'away': 1}"
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,11711,2,2,0.25,-0.25,-100.0,2800.0,2095.0,100.0,0.0,ridge,5.0,6.9346,,,0.0,,0.0,-0.3925,0.5,"{'home': 1, 'draw': 1}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,12642,5,4,0.92,-0.55,-59.78,3100.0,1650.0,10.0,0.0,ridge,5.0,6.7251,,,0.0,,0.0,-0.0311,0.4,"{'away': 4, 'home': 1}"
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,14292,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-05,2022-08-01..2023-04-30,ABSTAIN_INNER_VALIDATION,16531,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
