month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,9,3.39,2.13,62.83
2021-12,10,15.38,4.69,30.49
2022-01,3,1.82,3.46,190.11
2022-02,19,45.77,18.74,40.94
2022-03,16,48.81,-10.99,-22.52
2022-04,10,47.71,33.18,69.55
2022-05,5,25.51,1.64,6.43
2022-08,2,2.58,4.2,162.79
2022-09,3,1.83,-1.83,-100.0
2022-10,8,13.57,8.68,63.96
2022-11,5,1.99,-0.59,-29.65
2022-12,1,0.57,-0.57,-100.0
2023-01,1,0.52,-0.52,-100.0
2023-02,11,6.94,-0.16,-2.31
2023-03,7,23.66,-1.14,-4.82
2023-04,14,37.74,17.61,46.66
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.8,0.97,121.25
2024-08,14,5.95,-1.17,-19.66
2024-09,5,2.26,0.48,21.24
2024-10,9,12.69,-3.88,-30.58
2024-11,3,1.24,1.31,105.65
2024-12,2,2.91,8.8,302.41
2025-01,7,5.82,1.87,32.13
2025-02,18,19.13,13.43,70.2
2025-03,7,4.8,-1.52,-31.67
2025-04,10,2.68,-1.6,-59.7
2025-05,11,6.4,2.28,35.62
2025-08,7,2.92,-1.33,-45.55
2025-09,8,4.13,4.68,113.32
2025-10,16,13.81,0.52,3.77
2025-11,4,1.6,3.14,196.25
2025-12,7,1.84,0.01,0.54
2026-01,6,5.63,3.97,70.52
2026-02,0,0.0,0.0,0.0
2026-03,4,2.07,0.97,46.86
2026-04,5,3.9,-1.7,-43.59
