month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,2,0.89,0.85,95.51
2021-12,10,15.22,5.34,35.09
2022-01,5,2.38,3.78,158.82
2022-02,24,46.44,18.59,40.03
2022-03,19,49.12,-11.37,-23.15
2022-04,18,49.65,33.74,67.96
2022-05,6,25.68,1.47,5.72
2022-08,2,2.58,4.2,162.79
2022-09,3,1.83,-1.83,-100.0
2022-10,8,13.6,8.65,63.6
2022-11,5,1.97,-0.57,-28.93
2022-12,1,0.57,-0.57,-100.0
2023-01,4,0.93,-0.34,-36.56
2023-02,11,6.94,-0.24,-3.46
2023-03,8,23.76,-1.24,-5.22
2023-04,14,37.74,17.61,46.66
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,2,1.27,-1.27,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,3,0.54,0.32,59.26
2024-05,4,1.0,1.12,112.0
2024-08,28,21.38,3.95,18.48
2024-09,5,2.23,0.41,18.39
2024-10,5,2.82,-0.43,-15.25
2024-11,0,0.0,0.0,0.0
2024-12,1,0.98,2.9,295.92
2025-01,3,0.98,0.26,26.53
2025-02,19,21.13,11.58,54.8
2025-03,10,5.16,-0.09,-1.74
2025-04,8,3.53,-1.09,-30.88
2025-05,13,3.69,0.68,18.43
2025-08,0,0.0,0.0,0.0
2025-09,5,2.46,2.45,99.59
2025-10,12,8.52,1.66,19.48
2025-11,8,2.56,2.63,102.73
2025-12,8,3.9,1.72,44.1
2026-01,8,11.24,9.13,81.23
2026-02,1,0.15,0.53,353.33
2026-03,3,0.99,0.23,23.23
2026-04,4,4.27,4.43,103.75
