date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.42,0.51,0.51,0.0
2021-11-07,1,0.47,0.34,0.85,0.0
2021-12-03,1,1.2,-1.2,-0.35,1.2
2021-12-04,2,1.48,-1.48,-1.83,2.68
2021-12-05,2,1.42,-1.42,-3.25,4.1
2021-12-10,2,4.34,3.6,0.35,0.5
2021-12-11,3,3.54,1.54,1.89,0.0
2021-12-12,1,3.74,3.85,5.74,0.0
2021-12-15,2,0.23,0.18,5.92,0.0
2021-12-26,1,0.1,0.39,6.31,0.0
2021-12-27,1,0.4,-0.4,5.91,0.4
2022-01-02,1,0.22,-0.22,5.69,0.62
2022-01-13,1,0.29,0.26,5.95,0.36
2022-01-14,1,1.35,3.31,9.26,0.0
2022-01-16,1,0.17,-0.17,9.09,0.17
2022-01-22,1,0.11,-0.11,8.98,0.28
2022-01-23,1,0.12,-0.12,8.86,0.4
2022-01-25,1,0.12,0.31,9.17,0.09
2022-02-05,1,0.81,-0.81,8.36,0.9
2022-02-06,1,1.25,-1.25,7.11,2.15
2022-02-12,3,6.64,8.07,15.18,0.0
2022-02-13,5,16.2,-9.2,5.98,9.2
2022-02-18,1,5.4,7.67,13.65,1.53
2022-02-19,3,4.33,5.25,18.9,0.0
2022-02-20,1,0.49,-0.49,18.41,0.49
2022-02-25,1,0.52,-0.52,17.89,1.01
2022-02-26,3,9.75,8.8,26.69,0.0
2022-02-27,1,0.48,1.28,27.97,0.0
2022-03-03,1,0.81,0.95,28.92,0.0
2022-03-05,1,8.34,-8.34,20.58,8.34
2022-03-12,1,0.13,-0.13,20.45,8.47
2022-03-13,2,5.09,-5.09,15.36,13.56
2022-03-15,2,6.64,0.29,15.65,13.27
2022-03-19,2,7.33,-7.33,8.32,20.6
2022-03-20,1,2.73,-2.73,5.59,23.33
2022-03-26,2,10.35,1.25,6.84,22.08
2022-03-27,2,4.26,6.75,13.59,15.33
2022-03-28,1,2.71,3.45,17.04,11.88
2022-04-09,2,9.96,8.67,25.71,3.21
2022-04-10,3,9.92,-2.48,23.23,5.69
2022-04-16,1,0.32,0.69,23.92,5.0
2022-04-25,1,0.27,-0.27,23.65,5.27
2022-04-29,1,12.24,10.2,33.85,0.0
2022-04-30,2,15.0,16.37,50.22,0.0
2022-05-01,1,8.52,10.02,60.24,0.0
2022-05-07,1,1.99,-1.99,58.25,1.99
2022-05-08,1,0.17,-0.17,58.08,2.16
2022-05-21,3,15.0,-6.39,51.69,8.55
2022-08-14,1,1.9,3.17,54.86,5.38
2022-08-28,1,0.68,1.03,55.89,4.35
2022-09-17,1,0.18,-0.18,55.71,4.53
2022-09-24,1,1.22,-1.22,54.49,5.75
2022-09-25,1,0.43,-0.43,54.06,6.18
2022-10-08,2,0.94,-0.07,53.99,6.25
2022-10-19,1,0.71,-0.71,53.28,6.96
2022-10-21,1,10.29,11.09,64.37,0.0
2022-10-31,1,1.17,-1.17,63.2,1.17
2022-11-05,2,1.2,0.2,63.4,0.97
2022-11-11,1,0.5,-0.5,62.9,1.47
2022-12-11,1,0.57,-0.57,62.33,2.04
2023-01-01,1,0.11,-0.11,62.22,2.15
2023-01-15,1,0.52,-0.52,61.7,2.67
2023-01-28,1,0.16,0.52,62.22,2.15
2023-02-04,1,0.49,-0.49,61.73,2.64
2023-02-11,1,0.96,-0.96,60.77,3.6
2023-02-17,1,0.83,-0.83,59.94,4.43
2023-02-19,1,0.48,-0.48,59.46,4.91
2023-02-20,1,0.54,-0.54,58.92,5.45
2023-02-21,1,0.84,-0.84,58.08,6.29
2023-02-25,1,0.53,-0.53,57.55,6.82
2023-02-27,1,0.8,-0.8,56.75,7.62
2023-02-28,2,1.37,4.92,61.67,2.7
2023-03-04,1,0.1,-0.1,61.57,2.8
2023-03-18,3,0.8,-0.8,60.77,3.6
2023-03-26,2,10.68,-10.68,50.09,14.28
2023-03-27,1,0.52,-0.52,49.57,14.8
2023-03-31,1,11.66,10.86,60.43,3.94
2023-04-01,3,10.07,12.99,73.42,0.0
2023-04-05,1,0.8,-0.8,72.62,0.8
2023-04-08,2,0.64,-0.64,71.98,1.44
2023-04-15,2,0.74,-0.74,71.24,2.18
2023-04-18,1,15.0,12.05,83.29,0.0
2023-04-21,1,1.13,1.0,84.29,0.0
2023-04-22,1,0.28,-0.28,84.01,0.28
2023-04-25,1,0.65,-0.65,83.36,0.93
2023-04-29,1,7.53,-7.53,75.83,8.46
2023-04-30,1,0.9,2.21,78.04,6.25
2023-05-06,1,4.05,-4.05,73.99,10.3
2023-05-08,1,1.1,-1.1,72.89,11.4
2023-05-13,1,8.54,10.88,83.77,0.52
2023-08-30,1,0.36,0.88,84.65,0.0
2023-10-21,1,1.55,1.0,85.65,0.0
2023-12-17,1,1.17,-1.17,84.48,1.17
2024-02-03,1,0.3,0.94,85.42,0.23
2024-02-17,1,0.22,0.65,86.07,0.0
2024-03-12,1,0.18,0.56,86.63,0.0
2024-04-09,2,0.44,0.11,86.74,0.0
2024-05-05,1,0.18,-0.18,86.56,0.18
2024-05-18,1,0.62,1.15,87.71,0.0
2024-08-03,1,0.36,-0.36,87.35,0.36
2024-08-10,1,0.66,-0.66,86.69,1.02
2024-08-11,1,0.42,1.18,87.87,0.0
2024-08-18,1,0.36,-0.36,87.51,0.36
2024-08-23,1,0.32,-0.32,87.19,0.68
2024-08-24,1,0.34,0.78,87.97,0.0
2024-08-25,3,0.98,0.07,88.04,0.0
2024-08-27,2,1.44,-1.44,86.6,1.44
2024-08-31,3,1.07,-0.06,86.54,1.5
2024-09-20,1,0.34,-0.34,86.2,1.84
2024-09-21,1,0.48,1.1,87.3,0.74
2024-09-22,2,0.76,0.4,87.7,0.34
2024-09-28,1,0.68,-0.68,87.02,1.02
2024-10-04,1,1.07,-1.07,85.95,2.09
2024-10-05,1,0.74,-0.74,85.21,2.83
2024-10-18,1,1.59,-1.59,83.62,4.42
2024-10-19,2,2.65,2.27,85.89,2.15
2024-10-23,1,1.07,-1.07,84.82,3.22
2024-10-29,2,5.4,-1.51,83.31,4.73
2024-11-04,1,0.38,-0.38,82.93,5.11
2024-11-09,2,0.86,1.69,84.62,3.42
2024-12-29,2,2.91,8.8,93.42,0.0
2025-01-12,1,0.69,-0.69,92.73,0.69
2025-01-17,1,0.75,-0.75,91.98,1.44
2025-01-18,2,1.74,2.79,94.77,0.0
2025-01-19,1,0.96,2.2,96.97,0.0
2025-01-26,1,0.73,-0.73,96.24,0.73
2025-01-31,1,0.95,-0.95,95.29,1.68
2025-02-02,1,0.63,-0.63,94.66,2.31
2025-02-08,3,2.45,-2.45,92.21,4.76
2025-02-15,3,2.6,3.5,95.71,1.26
2025-02-16,2,4.35,7.91,103.62,0.0
2025-02-17,2,1.07,-1.07,102.55,1.07
2025-02-21,2,3.43,-3.43,99.12,4.5
2025-02-22,1,0.92,2.2,101.32,2.3
2025-02-23,1,0.84,-0.84,100.48,3.14
2025-02-24,2,2.69,8.39,108.87,0.0
2025-03-01,1,0.49,-0.49,108.38,0.49
2025-03-02,1,0.59,-0.59,107.79,1.08
2025-03-08,2,1.93,0.14,107.93,0.94
2025-03-09,1,1.21,-1.21,106.72,2.15
2025-03-28,1,0.22,-0.22,106.5,2.37
2025-03-31,1,0.36,0.85,107.35,1.52
2025-04-07,1,0.16,-0.16,107.19,1.68
2025-04-13,2,0.34,0.22,107.41,1.46
2025-04-18,1,0.43,-0.43,106.98,1.89
2025-04-20,3,0.68,-0.16,106.82,2.05
2025-04-27,2,0.97,-0.97,105.85,3.02
2025-05-01,1,0.58,-0.58,105.27,3.6
2025-05-03,1,0.4,0.78,106.05,2.82
2025-05-04,2,1.3,1.11,107.16,1.71
2025-05-05,1,0.39,-0.39,106.77,2.1
2025-05-09,3,3.02,0.59,107.36,1.51
2025-08-11,1,0.42,1.17,108.53,0.34
2025-08-16,1,0.72,-0.72,107.81,1.06
2025-08-17,1,0.48,-0.48,107.33,1.54
2025-08-24,1,0.32,-0.32,107.01,1.86
2025-08-30,1,0.35,-0.35,106.66,2.21
2025-08-31,2,0.63,-0.63,106.03,2.84
2025-09-13,1,0.38,0.62,106.65,2.22
2025-09-14,2,0.96,0.76,107.41,1.46
2025-09-20,2,1.2,-1.2,106.21,2.66
2025-09-21,1,0.4,1.18,107.39,1.48
2025-09-28,2,1.19,3.32,110.71,0.0
2025-10-03,1,0.49,-0.49,110.22,0.49
2025-10-04,3,1.82,-1.82,108.4,2.31
2025-10-05,2,1.57,-1.57,106.83,3.88
2025-10-18,1,0.13,-0.13,106.7,4.01
2025-10-22,1,0.85,2.17,108.87,1.84
2025-10-24,1,2.0,4.17,113.04,0.0
2025-10-25,3,2.56,2.86,115.9,0.0
2025-10-26,2,2.42,-2.42,113.48,2.42
2025-10-27,1,1.0,-1.0,112.48,3.42
2025-10-31,1,1.07,-1.07,111.41,4.49
2025-11-02,1,0.35,-0.35,111.06,4.84
2025-11-08,1,0.16,0.45,111.51,4.39
2025-11-25,1,0.17,-0.17,111.34,4.56
2025-11-29,1,0.54,1.81,113.15,2.75
2025-11-30,1,0.56,1.83,114.98,0.92
2025-12-01,1,0.59,-0.59,114.39,1.51
2025-12-08,1,0.36,1.13,115.52,0.38
2025-12-13,1,0.49,-0.49,115.03,0.87
2026-01-03,1,0.74,-0.74,114.29,1.61
2026-01-10,1,0.67,2.18,116.47,0.0
2026-01-19,1,0.74,-0.74,115.73,0.74
2026-01-23,1,0.63,-0.63,115.1,1.37
2026-01-31,1,2.63,4.12,119.22,0.0
2026-03-08,2,1.08,-1.08,118.14,1.08
2026-03-09,1,0.75,2.29,120.43,0.0
2026-03-19,1,0.24,-0.24,120.19,0.24
2026-04-04,1,2.32,-2.32,117.87,2.56
