month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,2,0.89,0.85,95.51
2021-12,15,16.45,5.06,30.76
2022-01,7,2.38,3.26,136.97
2022-02,20,45.87,18.8,40.99
2022-03,15,48.39,-10.93,-22.59
2022-04,10,47.71,33.18,69.55
2022-05,6,25.68,1.47,5.72
2022-08,2,2.58,4.2,162.79
2022-09,3,1.83,-1.83,-100.0
2022-10,5,13.11,9.14,69.72
2022-11,3,1.7,-0.3,-17.65
2022-12,1,0.57,-0.57,-100.0
2023-01,3,0.79,-0.11,-13.92
2023-02,10,6.84,-0.55,-8.04
2023-03,8,23.76,-1.24,-5.22
2023-04,14,37.74,17.61,46.66
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.8,0.97,121.25
2024-08,28,21.38,3.95,18.48
2024-09,5,2.23,0.41,18.39
2024-10,4,2.66,-0.27,-10.15
2024-11,0,0.0,0.0,0.0
2024-12,1,0.98,2.9,295.92
2025-01,2,0.88,0.36,40.91
2025-02,19,21.13,11.58,54.8
2025-03,7,4.68,0.08,1.71
2025-04,7,3.42,-0.98,-28.65
2025-05,8,2.7,0.07,2.59
2025-08,0,0.0,0.0,0.0
2025-09,5,2.46,2.45,99.59
2025-10,12,8.52,1.66,19.48
2025-11,6,2.36,2.45,103.81
2025-12,4,3.42,2.2,64.33
2026-01,7,10.95,9.42,86.03
2026-02,0,0.0,0.0,0.0
2026-03,3,0.99,0.23,23.23
2026-04,3,4.17,4.53,108.63
