month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,3694,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,FROZEN_MODEL_EVALUATED,5883,2,2,0.89,0.85,95.51,3000.0,1688.0,10.0,0.5,ridge,5.0,8.2878,,,0.0,,0.0,18.0672,1.0,{'home': 2}
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,7571,15,9,5.1,-0.34,-6.67,3100.0,1802.0,10.0,0.0,ridge,5.0,7.2276,,,0.0,,0.0,5.3233,0.8,"{'home': 9, 'away': 3, 'draw': 3}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,9373,7,7,1.25,0.49,39.2,3100.0,1685.0,100.0,0.0,ridge,5.0,7.1702,,,0.0,,0.0,3.1991,0.5714,"{'away': 1, 'home': 6}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,11058,14,6,5.94,3.76,63.3,2800.0,2287.0,100.0,0.0,ridge,5.0,7.7568,,,0.0,,0.0,9.3261,0.9286,"{'home': 9, 'away': 3, 'draw': 2}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,13345,14,10,3.9,1.08,27.69,3100.0,1804.0,100.0,0.25,ridge,5.0,7.8269,,,0.0,,0.0,9.9884,0.8571,"{'home': 10, 'away': 4}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,15149,8,5,3.12,2.28,73.08,3000.0,2415.0,100.0,0.25,ridge,5.0,7.769,,,0.0,,0.0,12.2937,0.875,"{'home': 6, 'away': 2}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,17418,6,4,2.33,-0.44,-18.88,3100.0,1164.0,100.0,0.25,ridge,5.0,7.8286,,,0.0,,0.0,4.4721,0.6667,"{'home': 4, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,13092,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,13369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
