date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.42,0.51,0.51,0.0
2021-11-07,1,0.47,0.34,0.85,0.0
2021-12-03,1,1.2,-1.2,-0.35,1.2
2021-12-04,2,1.03,-1.03,-1.38,2.23
2021-12-05,2,1.42,-1.42,-2.8,3.65
2021-12-10,2,4.21,3.73,0.93,0.0
2021-12-11,3,3.54,1.54,2.47,0.0
2021-12-12,1,3.74,3.85,6.32,0.0
2021-12-15,2,0.23,0.18,6.5,0.0
2021-12-26,1,0.1,0.39,6.89,0.0
2021-12-27,1,0.4,-0.4,6.49,0.4
2022-01-02,1,0.1,-0.1,6.39,0.5
2022-01-13,1,0.29,0.26,6.65,0.24
2022-01-14,1,1.35,3.31,9.96,0.0
2022-01-16,1,0.12,-0.12,9.84,0.12
2022-01-22,1,0.11,-0.11,9.73,0.23
2022-01-23,1,0.12,-0.12,9.61,0.35
2022-01-25,1,0.12,0.31,9.92,0.04
2022-02-05,1,0.81,-0.81,9.11,0.85
2022-02-06,1,1.25,-1.25,7.86,2.1
2022-02-12,3,6.64,8.07,15.93,0.0
2022-02-13,5,16.2,-9.2,6.73,9.2
2022-02-18,1,5.4,7.67,14.4,1.53
2022-02-19,3,4.33,5.25,19.65,0.0
2022-02-20,1,0.49,-0.49,19.16,0.49
2022-02-25,1,0.52,-0.52,18.64,1.01
2022-02-26,3,9.75,8.8,27.44,0.0
2022-02-27,1,0.48,1.28,28.72,0.0
2022-03-03,1,0.91,1.07,29.79,0.0
2022-03-05,1,8.34,-8.34,21.45,8.34
2022-03-12,1,0.17,-0.17,21.28,8.51
2022-03-13,2,5.09,-5.09,16.19,13.6
2022-03-15,2,6.64,0.29,16.48,13.31
2022-03-19,2,7.35,-7.35,9.13,20.66
2022-03-20,1,2.73,-2.73,6.4,23.39
2022-03-26,2,10.35,1.25,7.65,22.14
2022-03-27,2,4.28,6.8,14.45,15.34
2022-03-28,1,2.71,3.45,17.9,11.89
2022-04-09,4,10.49,8.75,26.65,3.14
2022-04-10,6,10.43,-1.8,24.85,4.94
2022-04-16,1,0.41,0.88,25.73,4.06
2022-04-17,1,0.28,-0.28,25.45,4.34
2022-04-24,1,0.2,0.22,25.67,4.12
2022-04-25,2,0.6,-0.6,25.07,4.72
2022-04-29,1,12.24,10.2,35.27,0.0
2022-04-30,2,15.0,16.37,51.64,0.0
2022-05-01,1,8.52,10.02,61.66,0.0
2022-05-07,1,1.99,-1.99,59.67,1.99
2022-05-08,1,0.17,-0.17,59.5,2.16
2022-05-21,3,15.0,-6.39,53.11,8.55
2022-08-14,1,1.9,3.17,56.28,5.38
2022-08-28,1,0.68,1.03,57.31,4.35
2022-09-17,1,0.18,-0.18,57.13,4.53
2022-09-24,1,1.22,-1.22,55.91,5.75
2022-09-25,1,0.43,-0.43,55.48,6.18
2022-10-07,1,0.26,-0.26,55.22,6.44
2022-10-08,2,0.94,-0.07,55.15,6.51
2022-10-14,1,0.11,-0.11,55.04,6.62
2022-10-19,1,0.71,-0.71,54.33,7.33
2022-10-21,1,10.29,11.09,65.42,0.0
2022-10-22,1,0.12,-0.12,65.3,0.12
2022-10-31,1,1.17,-1.17,64.13,1.29
2022-11-05,2,1.2,0.2,64.33,1.09
2022-11-11,1,0.5,-0.5,63.83,1.59
2022-11-19,1,0.13,-0.13,63.7,1.72
2022-12-11,1,0.57,-0.57,63.13,2.29
2023-01-01,1,0.11,-0.11,63.02,2.4
2023-01-15,1,0.52,-0.52,62.5,2.92
2023-01-28,1,0.14,0.45,62.95,2.47
2023-02-04,1,0.49,-0.49,62.46,2.96
2023-02-11,1,0.96,-0.96,61.5,3.92
2023-02-17,1,0.83,-0.83,60.67,4.75
2023-02-19,1,0.48,-0.48,60.19,5.23
2023-02-20,1,0.54,-0.54,59.65,5.77
2023-02-21,1,0.84,-0.84,58.81,6.61
2023-02-25,1,0.53,-0.53,58.28,7.14
2023-02-27,1,0.8,-0.8,57.48,7.94
2023-02-28,2,1.37,4.92,62.4,3.02
2023-03-04,1,0.1,-0.1,62.3,3.12
2023-03-18,3,0.8,-0.8,61.5,3.92
2023-03-26,2,10.68,-10.68,50.82,14.6
2023-03-27,1,0.52,-0.52,50.3,15.12
2023-03-31,1,11.66,10.86,61.16,4.26
2023-04-01,3,10.07,12.99,74.15,0.0
2023-04-05,1,0.8,-0.8,73.35,0.8
2023-04-08,2,0.64,-0.64,72.71,1.44
2023-04-15,2,0.74,-0.74,71.97,2.18
2023-04-18,1,15.0,12.05,84.02,0.0
2023-04-21,1,1.13,1.0,85.02,0.0
2023-04-22,1,0.28,-0.28,84.74,0.28
2023-04-25,1,0.65,-0.65,84.09,0.93
2023-04-29,1,7.53,-7.53,76.56,8.46
2023-04-30,1,0.9,2.21,78.77,6.25
2023-05-06,1,4.05,-4.05,74.72,10.3
2023-05-08,1,1.1,-1.1,73.62,11.4
2023-05-13,1,8.54,10.88,84.5,0.52
2023-08-30,1,0.36,0.88,85.38,0.0
2023-10-21,1,1.55,1.0,86.38,0.0
2023-12-17,1,1.17,-1.17,85.21,1.17
2024-02-03,1,0.3,0.94,86.15,0.23
2024-02-17,1,0.22,0.65,86.8,0.0
2024-03-12,1,0.18,0.56,87.36,0.0
2024-04-09,2,0.44,0.11,87.47,0.0
2024-05-05,1,0.18,-0.18,87.29,0.18
2024-05-18,1,0.62,1.15,88.44,0.0
2024-08-10,2,1.99,1.34,89.78,0.0
2024-08-11,1,0.92,2.53,92.31,0.0
2024-08-16,1,0.72,-0.72,91.59,0.72
2024-08-17,2,1.33,-1.33,90.26,2.05
2024-08-18,1,0.84,-0.84,89.42,2.89
2024-08-24,8,5.71,1.73,91.15,1.16
2024-08-25,4,3.08,-0.52,90.63,1.68
2024-08-27,2,1.5,-1.5,89.13,3.18
2024-08-30,1,0.66,-0.66,88.47,3.84
2024-08-31,6,4.63,3.92,92.39,0.0
2024-09-20,1,0.35,-0.35,92.04,0.35
2024-09-21,1,0.46,1.05,93.09,0.0
2024-09-22,2,0.76,0.37,93.46,0.0
2024-09-28,1,0.66,-0.66,92.8,0.66
2024-10-04,1,0.33,-0.33,92.47,0.99
2024-10-19,1,0.44,0.78,93.25,0.21
2024-10-24,1,0.16,-0.16,93.09,0.37
2024-10-29,2,1.89,-0.72,92.37,1.09
2024-12-29,1,0.98,2.9,95.27,0.0
2025-01-12,1,0.54,-0.54,94.73,0.54
2025-01-18,1,0.34,0.9,95.63,0.0
2025-02-02,2,1.32,-1.32,94.31,1.32
2025-02-08,3,2.44,-2.44,91.87,3.76
2025-02-15,4,3.46,2.8,94.67,0.96
2025-02-16,2,4.74,8.56,103.23,0.0
2025-02-17,2,1.12,-1.12,102.11,1.12
2025-02-21,2,3.8,-3.8,98.31,4.92
2025-02-22,1,1.0,2.39,100.7,2.53
2025-02-23,1,0.86,-0.86,99.84,3.39
2025-02-24,2,2.39,7.37,107.21,0.0
2025-03-01,2,0.84,-0.53,106.68,0.53
2025-03-02,1,0.9,-0.9,105.78,1.43
2025-03-08,1,0.75,2.23,108.01,0.0
2025-03-09,1,0.68,-0.68,107.33,0.68
2025-03-10,1,0.72,-0.72,106.61,1.4
2025-03-28,1,0.36,-0.36,106.25,1.76
2025-03-31,1,0.53,1.25,107.5,0.51
2025-04-07,1,0.45,-0.45,107.05,0.96
2025-04-13,1,0.4,0.84,107.89,0.12
2025-04-18,1,0.5,-0.5,107.39,0.62
2025-04-20,2,0.78,0.42,107.81,0.2
2025-04-27,2,1.29,-1.29,106.52,1.49
2025-05-01,1,0.43,-0.43,106.09,1.92
2025-05-03,1,0.17,0.33,106.42,1.59
2025-05-04,2,0.88,0.66,107.08,0.93
2025-05-05,1,0.16,-0.16,106.92,1.09
2025-05-09,4,1.5,0.3,107.22,0.79
2025-05-18,2,0.26,-0.05,107.17,0.84
2025-09-14,2,0.65,0.51,107.68,0.33
2025-09-20,1,0.85,-0.85,106.83,1.18
2025-09-21,1,0.32,0.94,107.77,0.24
2025-09-28,1,0.64,1.85,109.62,0.0
2025-10-03,1,0.5,-0.5,109.12,0.5
2025-10-05,2,1.36,-1.36,107.76,1.86
2025-10-18,1,0.11,-0.11,107.65,1.97
2025-10-22,1,0.73,1.86,109.51,0.11
2025-10-24,1,1.26,2.63,112.14,0.0
2025-10-25,2,0.98,2.72,114.86,0.0
2025-10-26,2,2.2,-2.2,112.66,2.2
2025-10-27,1,0.69,-0.69,111.97,2.89
2025-10-31,1,0.69,-0.69,111.28,3.58
2025-11-05,1,0.55,-0.55,110.73,4.13
2025-11-08,2,0.2,0.17,110.9,3.96
2025-11-25,1,0.19,-0.19,110.71,4.15
2025-11-29,2,0.76,0.43,111.14,3.72
2025-11-30,1,0.76,2.49,113.63,1.23
2025-12-01,1,0.72,-0.72,112.91,1.95
2025-12-06,1,0.78,-0.78,112.13,2.73
2025-12-08,2,1.48,4.14,116.27,0.0
2025-12-13,1,0.56,-0.56,115.71,0.56
2025-12-26,1,0.12,-0.12,115.59,0.68
2025-12-29,1,0.13,-0.13,115.46,0.81
2026-01-03,1,0.97,-0.97,114.49,1.78
2026-01-10,1,0.51,1.61,116.1,0.17
2026-01-19,1,0.53,-0.53,115.57,0.7
2026-01-23,1,1.18,-1.18,114.39,1.88
2026-01-25,1,0.29,-0.29,114.1,2.17
2026-01-31,3,7.76,10.49,124.59,0.0
2026-03-07,1,0.38,-0.38,124.21,0.38
2026-03-08,2,0.61,0.61,124.82,0.0
2026-04-04,1,1.67,-1.67,123.15,1.67
2026-04-06,2,2.04,4.18,127.33,0.0
2026-04-16,1,0.56,1.92,129.25,0.0
