date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.42,0.51,0.51,0.0
2021-11-07,1,0.47,0.34,0.85,0.0
2021-12-03,1,1.2,-1.2,-0.35,1.2
2021-12-04,1,0.91,-0.91,-1.26,2.11
2021-12-05,1,1.25,-1.25,-2.51,3.36
2021-12-10,2,4.21,3.73,1.22,0.0
2021-12-11,2,3.15,1.17,2.39,0.0
2021-12-12,1,3.74,3.85,6.24,0.0
2021-12-27,1,0.4,-0.4,5.84,0.4
2022-01-02,1,0.1,-0.1,5.74,0.5
2022-01-14,1,1.35,3.31,9.05,0.0
2022-01-16,1,0.12,-0.12,8.93,0.12
2022-02-05,1,0.81,-0.81,8.12,0.93
2022-02-06,1,1.25,-1.25,6.87,2.18
2022-02-12,3,6.64,8.07,14.94,0.0
2022-02-13,5,16.2,-9.2,5.74,9.2
2022-02-18,1,5.4,7.67,13.41,1.53
2022-02-19,3,4.33,5.25,18.66,0.0
2022-02-20,1,0.49,-0.49,18.17,0.49
2022-02-25,1,0.52,-0.52,17.65,1.01
2022-02-26,3,9.75,8.8,26.45,0.0
2022-02-27,1,0.48,1.28,27.73,0.0
2022-03-03,1,0.91,1.07,28.8,0.0
2022-03-05,1,8.34,-8.34,20.46,8.34
2022-03-12,1,0.17,-0.17,20.29,8.51
2022-03-13,2,5.09,-5.09,15.2,13.6
2022-03-15,2,6.64,0.29,15.49,13.31
2022-03-19,2,7.35,-7.35,8.14,20.66
2022-03-20,1,2.73,-2.73,5.41,23.39
2022-03-26,2,10.35,1.25,6.66,22.14
2022-03-27,2,4.28,6.8,13.46,15.34
2022-03-28,1,2.71,3.45,16.91,11.89
2022-04-09,4,10.49,8.75,25.66,3.14
2022-04-10,6,10.43,-1.8,23.86,4.94
2022-04-16,1,0.41,0.88,24.74,4.06
2022-04-17,1,0.28,-0.28,24.46,4.34
2022-04-24,1,0.2,0.22,24.68,4.12
2022-04-25,2,0.6,-0.6,24.08,4.72
2022-04-29,1,12.24,10.2,34.28,0.0
2022-04-30,2,15.0,16.37,50.65,0.0
2022-05-01,1,8.52,10.02,60.67,0.0
2022-05-07,1,1.99,-1.99,58.68,1.99
2022-05-08,1,0.17,-0.17,58.51,2.16
2022-05-21,3,15.0,-6.39,52.12,8.55
2022-08-14,1,1.9,3.17,55.29,5.38
2022-08-28,1,0.68,1.03,56.32,4.35
2022-09-17,1,0.18,-0.18,56.14,4.53
2022-09-24,1,1.22,-1.22,54.92,5.75
2022-09-25,1,0.43,-0.43,54.49,6.18
2022-10-07,1,0.26,-0.26,54.23,6.44
2022-10-08,2,0.94,-0.07,54.16,6.51
2022-10-14,1,0.11,-0.11,54.05,6.62
2022-10-19,1,0.71,-0.71,53.34,7.33
2022-10-21,1,10.29,11.09,64.43,0.0
2022-10-22,1,0.12,-0.12,64.31,0.12
2022-10-31,1,1.17,-1.17,63.14,1.29
2022-11-05,2,1.2,0.2,63.34,1.09
2022-11-11,1,0.5,-0.5,62.84,1.59
2022-11-19,1,0.13,-0.13,62.71,1.72
2022-12-11,1,0.57,-0.57,62.14,2.29
2023-01-01,1,0.11,-0.11,62.03,2.4
2023-01-15,1,0.52,-0.52,61.51,2.92
2023-01-28,1,0.14,0.45,61.96,2.47
2023-02-04,1,0.49,-0.49,61.47,2.96
2023-02-11,1,0.96,-0.96,60.51,3.92
2023-02-17,1,0.83,-0.83,59.68,4.75
2023-02-19,1,0.48,-0.48,59.2,5.23
2023-02-20,1,0.54,-0.54,58.66,5.77
2023-02-21,1,0.84,-0.84,57.82,6.61
2023-02-25,1,0.53,-0.53,57.29,7.14
2023-02-27,1,0.8,-0.8,56.49,7.94
2023-02-28,2,1.37,4.92,61.41,3.02
2023-03-04,1,0.1,-0.1,61.31,3.12
2023-03-18,3,0.8,-0.8,60.51,3.92
2023-03-26,2,10.68,-10.68,49.83,14.6
2023-03-27,1,0.52,-0.52,49.31,15.12
2023-03-31,1,11.66,10.86,60.17,4.26
2023-04-01,3,10.07,12.99,73.16,0.0
2023-04-05,1,0.8,-0.8,72.36,0.8
2023-04-08,2,0.64,-0.64,71.72,1.44
2023-04-15,2,0.74,-0.74,70.98,2.18
2023-04-18,1,15.0,12.05,83.03,0.0
2023-04-21,1,1.13,1.0,84.03,0.0
2023-04-22,1,0.28,-0.28,83.75,0.28
2023-04-25,1,0.65,-0.65,83.1,0.93
2023-04-29,1,7.53,-7.53,75.57,8.46
2023-04-30,1,0.9,2.21,77.78,6.25
2023-05-06,1,4.05,-4.05,73.73,10.3
2023-05-08,1,1.1,-1.1,72.63,11.4
2023-05-13,1,8.54,10.88,83.51,0.52
2023-08-30,1,0.36,0.88,84.39,0.0
2023-10-21,1,1.55,1.0,85.39,0.0
2023-12-17,1,1.17,-1.17,84.22,1.17
2024-02-03,1,0.3,0.94,85.16,0.23
2024-02-17,1,0.22,0.65,85.81,0.0
2024-03-12,1,0.18,0.56,86.37,0.0
2024-04-09,2,0.44,0.11,86.48,0.0
2024-05-05,1,0.18,-0.18,86.3,0.18
2024-05-18,1,0.62,1.15,87.45,0.0
2024-08-03,1,0.36,-0.36,87.09,0.36
2024-08-10,1,0.66,-0.66,86.43,1.02
2024-08-11,1,0.42,1.18,87.61,0.0
2024-08-18,1,0.36,-0.36,87.25,0.36
2024-08-23,1,0.32,-0.32,86.93,0.68
2024-08-24,1,0.34,0.78,87.71,0.0
2024-08-25,3,0.98,0.07,87.78,0.0
2024-08-27,2,1.44,-1.44,86.34,1.44
2024-08-31,3,1.07,-0.06,86.28,1.5
2024-09-20,1,0.34,-0.34,85.94,1.84
2024-09-21,1,0.48,1.1,87.04,0.74
2024-09-22,2,0.76,0.4,87.44,0.34
2024-09-28,1,0.68,-0.68,86.76,1.02
2024-10-04,1,1.07,-1.07,85.69,2.09
2024-10-05,1,0.74,-0.74,84.95,2.83
2024-10-18,1,1.59,-1.59,83.36,4.42
2024-10-19,2,2.65,2.27,85.63,2.15
2024-10-23,1,1.07,-1.07,84.56,3.22
2024-10-24,1,0.15,-0.15,84.41,3.37
2024-10-29,2,5.4,-1.51,82.9,4.88
2024-11-04,1,0.38,-0.38,82.52,5.26
2024-11-09,2,0.86,1.69,84.21,3.57
2024-12-29,2,2.91,8.8,93.01,0.0
2025-01-12,1,0.69,-0.69,92.32,0.69
2025-01-17,1,0.75,-0.75,91.57,1.44
2025-01-18,2,1.74,2.79,94.36,0.0
2025-01-19,1,0.96,2.2,96.56,0.0
2025-01-26,1,0.73,-0.73,95.83,0.73
2025-01-31,1,0.95,-0.95,94.88,1.68
2025-02-02,1,0.63,-0.63,94.25,2.31
2025-02-08,3,2.45,-2.45,91.8,4.76
2025-02-15,3,2.6,3.5,95.3,1.26
2025-02-16,2,4.35,7.91,103.21,0.0
2025-02-17,2,1.11,-1.11,102.1,1.11
2025-02-21,2,3.43,-3.43,98.67,4.54
2025-02-22,1,0.92,2.2,100.87,2.34
2025-02-23,1,0.84,-0.84,100.03,3.18
2025-02-24,2,2.69,8.39,108.42,0.0
2025-03-01,2,0.59,-0.28,108.14,0.28
2025-03-02,1,0.59,-0.59,107.55,0.87
2025-03-08,2,1.93,0.14,107.69,0.73
2025-03-09,1,1.21,-1.21,106.48,1.94
2025-03-28,1,0.22,-0.22,106.26,2.16
2025-03-31,1,0.36,0.85,107.11,1.31
2025-04-07,1,0.16,-0.16,106.95,1.47
2025-04-13,2,0.34,0.22,107.17,1.25
2025-04-18,1,0.43,-0.43,106.74,1.68
2025-04-20,3,0.68,-0.16,106.58,1.84
2025-04-27,2,0.97,-0.97,105.61,2.81
2025-05-01,1,0.58,-0.58,105.03,3.39
2025-05-03,1,0.4,0.78,105.81,2.61
2025-05-04,2,1.3,1.11,106.92,1.5
2025-05-05,1,0.39,-0.39,106.53,1.89
2025-05-09,5,3.71,1.22,107.75,0.67
2025-05-18,1,0.1,0.11,107.86,0.56
2025-08-11,1,0.42,1.17,109.03,0.0
2025-08-16,1,0.72,-0.72,108.31,0.72
2025-08-17,1,0.48,-0.48,107.83,1.2
2025-08-24,1,0.32,-0.32,107.51,1.52
2025-08-30,1,0.35,-0.35,107.16,1.87
2025-08-31,2,0.63,-0.63,106.53,2.5
2025-09-13,1,0.38,0.62,107.15,1.88
2025-09-14,2,0.96,0.76,107.91,1.12
2025-09-20,2,1.2,-1.2,106.71,2.32
2025-09-21,1,0.4,1.18,107.89,1.14
2025-09-28,2,1.19,3.32,111.21,0.0
2025-10-03,1,0.44,-0.44,110.77,0.44
2025-10-04,3,1.82,-1.82,108.95,2.26
2025-10-05,2,1.57,-1.57,107.38,3.83
2025-10-18,1,0.13,-0.13,107.25,3.96
2025-10-22,1,0.85,2.17,109.42,1.79
2025-10-24,1,2.0,4.17,113.59,0.0
2025-10-25,3,2.57,2.87,116.46,0.0
2025-10-26,2,2.42,-2.42,114.04,2.42
2025-10-27,1,1.0,-1.0,113.04,3.42
2025-10-31,1,1.07,-1.07,111.97,4.49
2025-11-02,1,0.35,-0.35,111.62,4.84
2025-11-08,2,0.31,0.3,111.92,4.54
2025-11-25,1,0.17,-0.17,111.75,4.71
2025-11-29,1,0.54,1.81,113.56,2.9
2025-11-30,1,0.56,1.83,115.39,1.07
2025-12-01,1,0.59,-0.59,114.8,1.66
2025-12-08,2,0.47,1.02,115.82,0.64
2025-12-13,1,0.49,-0.49,115.33,1.13
2025-12-26,1,0.11,-0.11,115.22,1.24
2025-12-29,1,0.1,-0.1,115.12,1.34
2026-01-03,1,0.74,-0.74,114.38,2.08
2026-01-10,1,0.67,2.18,116.56,0.0
2026-01-19,1,0.74,-0.74,115.82,0.74
2026-01-23,1,0.63,-0.63,115.19,1.37
2026-01-25,1,0.28,-0.28,114.91,1.65
