date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2023-08-05,E2,Cambridge,Oxford,away,home,"[2.2,2.8)",0.413626,-0.04692,2.38,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-08-12,E2,Bristol Rvs,Barnsley,away,draw,"[2.2,2.8)",0.459413,-0.01827,2.2,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-08-12,E2,Leyton Orient,Portsmouth,away,away,"[2.2,2.8)",0.396128,-0.042611,2.5,1.0,True,1.5,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-08-12,E2,Exeter,Blackpool,away,draw,"[2.2,2.8)",0.396128,-0.042611,2.5,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-08-15,E2,Northampton,Lincoln,away,draw,"[2.2,2.8)",0.381418,-0.042563,2.6,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-08-19,E2,Cambridge,Bristol Rvs,away,home,"[2.2,2.8)",0.39829,-0.037207,2.5,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-08
2023-10-03,E3,Tranmere,Bradford,away,home,"[2.2,2.8)",0.438263,-0.043859,2.25,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-10
2023-10-14,E3,Walsall,Gillingham,away,home,"[2.2,2.8)",0.387651,-0.026716,2.6,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-10
2023-10-21,E3,Salford,Swindon,away,draw,"[2.2,2.8)",0.395159,-0.045382,2.5,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-10
2023-10-28,E3,Harrogate,Crewe,away,away,"[2.2,2.8)",0.436956,-0.025618,2.3,1.0,True,1.3,"E3|away|[2.2,2.8)|ev>=-0.05",2023-10
2023-10-28,E3,Morecambe,AFC Wimbledon,away,home,"[2.2,2.8)",0.431332,-0.038552,2.3,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-10
2023-11-11,E3,Crewe,Notts County,away,home,"[2.2,2.8)",0.46279,-0.011145,2.2,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-11
2023-11-11,E3,Newport County,Milton Keynes Dons,away,draw,"[2.2,2.8)",0.44894,-0.019835,2.25,1.0,False,-1.0,"E3|away|[2.2,2.8)|ev>=-0.05",2023-11
2023-12-09,E2,Burton,Stevenage,away,away,"[2.2,2.8)",0.439126,-0.041487,2.25,1.0,True,1.25,"E2|away|[2.2,2.8)|ev>=-0.05",2023-12
2023-12-22,E3,Doncaster,Bradford,draw,away,"[2.8,3.5)",0.314431,-0.035867,3.2,1.0,False,-1.0,"E3|draw|[2.8,3.5)|ev>=-0.05",2023-12
2023-12-23,E2,Northampton,Oxford,away,home,"[2.2,2.8)",0.449026,-0.019211,2.25,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-12
2023-12-26,E2,Lincoln,Bolton,away,away,"[2.2,2.8)",0.461689,-0.013148,2.2,1.0,True,1.2,"E2|away|[2.2,2.8)|ev>=-0.05",2023-12
2023-12-26,E2,Exeter,Wycombe,away,home,"[2.2,2.8)",0.386854,-0.046977,2.55,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-12
2023-12-29,E2,Cheltenham,Reading,away,draw,"[2.2,2.8)",0.386377,-0.048193,2.55,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2023-12
2024-01-01,E2,Charlton,Oxford,away,away,"[2.2,2.8)",0.393665,-0.028289,2.55,1.0,True,1.55,"E2|away|[2.2,2.8)|ev>=-0.05",2024-01
2024-01-01,E3,Accrington,Salford,home,home,"[1.8,2.2)",0.547863,-0.038395,1.8,1.0,True,0.8,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-13,E3,Wrexham,AFC Wimbledon,home,home,"[1.8,2.2)",0.514829,-0.042726,1.91,1.0,True,0.91,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-13,E3,Crewe,Swindon,home,home,"[1.8,2.2)",0.513158,-0.045918,1.91,1.0,True,0.91,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-20,E3,Barrow,Crewe,home,away,"[1.8,2.2)",0.573317,0.007422,1.8,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-20,E3,Gillingham,Forest Green,home,draw,"[1.8,2.2)",0.570203,0.001816,1.8,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-23,E3,Milton Keynes Dons,AFC Wimbledon,home,home,"[1.8,2.2)",0.45955,-0.04129,2.15,1.0,True,1.15,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-27,E3,Walsall,Sutton,home,draw,"[1.8,2.2)",0.543506,-0.030342,1.83,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-27,E2,Wigan,Stevenage,away,away,"[2.2,2.8)",0.448874,-0.040201,2.2,1.0,True,1.2,"E2|away|[2.2,2.8)|ev>=-0.05",2024-01
2024-01-27,E3,Grimsby,Tranmere,home,away,"[1.8,2.2)",0.459509,-0.041378,2.15,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-01
2024-01-27,E3,AFC Wimbledon,Mansfield,draw,home,"[2.8,3.5)",0.312153,-0.041812,3.2,1.0,False,-1.0,"E3|draw|[2.8,3.5)|ev>=-0.05",2024-01
2024-01-30,E2,Oxford,Portsmouth,away,draw,"[2.2,2.8)",0.434883,-0.049868,2.25,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-01
2024-03-02,E2,Lincoln,Stevenage,away,draw,"[2.2,2.8)",0.389204,-0.038662,2.55,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-03
2024-03-02,I2,Brescia,Palermo,draw,home,"[2.8,3.5)",0.307923,-0.047582,3.25,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-03
2024-03-03,I2,Cosenza,Catanzaro,draw,away,"[2.8,3.5)",0.313659,-0.043881,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-03
2024-03-05,E3,Mansfield,Milton Keynes Dons,home,away,"[1.8,2.2)",0.554846,-0.025193,1.8,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-05,E3,AFC Wimbledon,Grimsby,home,draw,"[1.8,2.2)",0.526867,-0.049875,1.85,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-09,E3,Barrow,Colchester,home,home,"[1.8,2.2)",0.553276,-0.028019,1.8,1.0,True,0.8,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-12,E3,Crewe,Sutton,home,home,"[1.8,2.2)",0.554846,-0.025193,1.8,1.0,True,0.8,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-12,E3,Swindon,Accrington,home,away,"[1.8,2.2)",0.553276,-0.028019,1.8,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-16,I2,Cittadella,Modena,draw,draw,"[2.8,3.5)",0.361733,0.005896,2.9,1.0,True,1.9,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-03
2024-03-16,I2,Sudtirol,Cremonese,draw,home,"[2.8,3.5)",0.342486,-0.017157,3.0,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-03
2024-03-16,I2,Bari,Sampdoria,draw,away,"[2.8,3.5)",0.347622,-0.035024,2.9,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-03
2024-03-17,E3,Salford,Morecambe,home,home,"[1.8,2.2)",0.540893,-0.03448,1.83,1.0,True,0.83,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-23,E3,Sutton,Accrington,home,home,"[1.8,2.2)",0.469517,-0.041916,2.1,1.0,True,1.1,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-03-29,E3,Barrow,Grimsby,home,home,"[1.8,2.2)",0.513349,-0.04488,1.91,1.0,True,0.91,"E3|home|[1.8,2.2)|ev>=-0.05",2024-03
2024-04-01,E2,Leyton Orient,Peterboro,away,away,"[2.2,2.8)",0.422085,-0.024125,2.38,1.0,True,1.38,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-01,E3,Walsall,Salford,home,home,"[1.8,2.2)",0.48309,-0.036504,2.05,1.0,True,1.05,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-01,I2,Cosenza,Brescia,draw,away,"[2.8,3.5)",0.322816,-0.045453,3.1,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-06,E3,Grimsby,Newport County,home,home,"[1.8,2.2)",0.566366,-0.004107,1.8,1.0,True,0.8,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-06,E3,Notts County,Harrogate,home,home,"[1.8,2.2)",0.527908,-0.016701,1.91,1.0,True,0.91,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-06,E2,Reading,Lincoln,away,draw,"[2.2,2.8)",0.400522,-0.028831,2.5,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-06,E2,Charlton,Barnsley,away,home,"[2.2,2.8)",0.39839,-0.034159,2.5,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-06,I2,FeralpiSalo,Cosenza,draw,draw,"[2.8,3.5)",0.314409,-0.041565,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-06,I2,Ternana,Modena,draw,draw,"[2.8,3.5)",0.314066,-0.042663,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-06,I2,Brescia,Pisa,draw,home,"[2.8,3.5)",0.312444,-0.047854,3.2,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-09,E2,Bristol Rvs,Reading,away,away,"[2.2,2.8)",0.399903,-0.049771,2.45,1.0,True,1.45,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-13,E2,Oxford,Peterboro,away,home,"[2.2,2.8)",0.412381,-0.039215,2.4,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-13,E2,Shrewsbury,Wycombe,away,away,"[2.2,2.8)",0.395361,-0.041733,2.5,1.0,True,1.5,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-13,I2,Cittadella,Ascoli,draw,draw,"[2.8,3.5)",0.346053,-0.046275,2.88,1.0,True,1.88,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-16,E3,Walsall,Swindon,home,home,"[1.8,2.2)",0.511803,-0.047461,1.91,1.0,True,0.91,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-19,I2,Reggiana,Cosenza,draw,away,"[2.8,3.5)",0.363045,0.002661,2.88,1.0,False,-1.0,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-20,I2,Sudtirol,Cittadella,draw,draw,"[2.8,3.5)",0.359309,-0.03565,2.8,1.0,True,1.8,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-20,E2,Cheltenham,Lincoln,away,away,"[2.2,2.8)",0.45005,-0.036408,2.2,1.0,True,1.2,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-20,E3,Doncaster,Barrow,home,home,"[1.8,2.2)",0.470425,-0.039599,2.1,1.0,True,1.1,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-20,E3,Morecambe,Forest Green,home,away,"[1.8,2.2)",0.469084,-0.042415,2.1,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
2024-04-20,I2,Spezia,Sampdoria,draw,draw,"[2.8,3.5)",0.313869,-0.043293,3.2,1.0,True,2.2,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-20,E2,Burton,Reading,away,home,"[2.2,2.8)",0.425734,-0.048536,2.3,1.0,False,-1.0,"E2|away|[2.2,2.8)|ev>=-0.05",2024-04
2024-04-20,I2,Bari,Pisa,draw,draw,"[2.8,3.5)",0.321682,-0.04897,3.1,1.0,True,2.1,"I2|draw|[2.8,3.5)|ev>=-0.05",2024-04
2024-04-27,E3,Swindon,Morecambe,home,draw,"[1.8,2.2)",0.554856,-0.024825,1.8,1.0,False,-1.0,"E3|home|[1.8,2.2)|ev>=-0.05",2024-04
