date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-05-03,I1,Torino,Bologna,draw,draw,"[2.8,3.5)",0.386342,0.039358,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-05-04,SP2,Huesca,Oviedo,draw,away,"[2.8,3.5)",0.371476,0.037393,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-05-05,SP2,Eldense,Leganes,draw,away,"[2.8,3.5)",0.366338,0.022492,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-05-12,SP2,Cartagena,Tenerife,draw,home,"[2.8,3.5)",0.376927,0.053199,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-05-12,SP2,Albacete,Leganes,draw,home,"[2.8,3.5)",0.370695,0.035126,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-05-14,SP1,Osasuna,Mallorca,draw,draw,"[2.8,3.5)",0.379956,0.057625,2.9,1.0,True,1.9,"ALL|draw|[2.8,3.5)|ev>=-0.01",2024-05
2024-09-01,SP1,Getafe,Sociedad,draw,draw,"[2.8,3.5)",0.366284,0.017065,2.9,1.0,True,1.9,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-01,SP1,Osasuna,Celta,draw,home,"[2.8,3.5)",0.320595,-0.008676,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-13,F2,Laval,Ajaccio,draw,draw,"[2.8,3.5)",0.369659,-0.009642,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-21,SP2,Eldense,Oviedo,draw,draw,"[2.8,3.5)",0.375851,0.040082,2.88,1.0,True,1.88,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-21,E2,Exeter,Stevenage,draw,home,"[2.8,3.5)",0.315019,-0.019844,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-22,SP1,Getafe,Leganes,draw,draw,"[2.8,3.5)",0.3782,0.015358,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-27,SP1,Valladolid,Mallorca,draw,away,"[2.8,3.5)",0.364885,0.013005,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-27,I2,Cittadella,Frosinone,draw,away,"[2.8,3.5)",0.31911,-0.015054,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-28,SP1,Getafe,Alaves,draw,home,"[2.8,3.5)",0.375405,0.036318,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-28,E0,Everton,Crystal Palace,draw,home,"[2.8,3.5)",0.316519,-0.007623,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-09-29,SP2,Oviedo,Eibar,draw,home,"[2.8,3.5)",0.359223,-0.000914,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-09
2024-10-04,SP1,Leganes,Valencia,draw,draw,"[2.8,3.5)",0.373049,0.030172,2.88,1.0,True,1.88,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-04,SP2,Huesca,Cadiz,draw,home,"[2.8,3.5)",0.376246,0.012512,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-05,SP1,Getafe,Osasuna,draw,draw,"[2.8,3.5)",0.368902,0.0253,2.9,1.0,True,1.9,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-05,SP2,Mirandes,Granada,draw,away,"[2.8,3.5)",0.357135,-0.006748,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-05,SP2,Ferrol,Elche,draw,home,"[2.8,3.5)",0.352855,-0.01916,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-06,I2,Cosenza,Sudtirol,draw,away,"[2.8,3.5)",0.354917,-0.017313,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-12,SP2,Cartagena,Ferrol,draw,away,"[2.8,3.5)",0.373383,0.033197,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-13,SP2,Elche,La Coruna,draw,draw,"[2.8,3.5)",0.378649,0.01924,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
