date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-12-01,E1,Derby,Sheffield Weds,draw,away,"[2.8,3.5)",0.323298,-0.008401,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-06,I2,Juve Stabia,Sudtirol,draw,home,"[2.8,3.5)",0.395162,0.091402,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-07,SP2,La Coruna,Zaragoza,draw,draw,"[2.8,3.5)",0.319776,-0.008314,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-07,SP1,Valencia,Vallecano,draw,away,"[2.8,3.5)",0.355683,-0.015199,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,I1,Venezia,Como,draw,draw,"[2.8,3.5)",0.318822,-0.001461,3.3,1.0,True,2.3,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,SP2,Burgos,Eldense,draw,home,"[2.8,3.5)",0.323971,-0.010145,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,E1,West Brom,Sheffield United,draw,draw,"[2.8,3.5)",0.321824,-0.013117,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,I1,Empoli,Torino,draw,away,"[2.8,3.5)",0.414761,0.147756,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,E1,Derby,Portsmouth,draw,home,"[2.8,3.5)",0.324647,-0.004083,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,I2,Reggiana,Modena,draw,away,"[2.8,3.5)",0.406943,0.094072,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,E1,Swansea,Sunderland,draw,away,"[2.8,3.5)",0.327271,0.004315,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,SP1,Espanol,Osasuna,draw,draw,"[2.8,3.5)",0.324676,-0.012544,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-15,E1,Watford,West Brom,draw,home,"[2.8,3.5)",0.321977,0.002799,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-20,E1,Luton,Derby,draw,home,"[2.8,3.5)",0.326178,0.000817,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-21,E1,QPR,Preston,draw,home,"[2.8,3.5)",0.331392,-0.014296,3.1,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Derby,West Brom,draw,home,"[2.8,3.5)",0.327842,0.006139,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Norwich,Millwall,draw,home,"[2.8,3.5)",0.326122,0.000638,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,E1,Sheffield United,West Brom,draw,draw,"[2.8,3.5)",0.319733,-0.019807,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2025-03-02,G1,Levadeiakos,Atromitos,draw,away,"[2.8,3.5)",0.373875,0.030079,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-02,SP1,Leganes,Getafe,draw,home,"[2.8,3.5)",0.370657,0.023832,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-08,SP2,Zaragoza,Eldense,draw,away,"[2.8,3.5)",0.324606,-0.005066,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-11,E1,Burnley,West Brom,draw,draw,"[2.8,3.5)",0.325421,0.00199,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-11,E1,Middlesbrough,QPR,draw,home,"[2.8,3.5)",0.31525,-0.000263,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-14,I1,Genoa,Lecce,draw,home,"[2.8,3.5)",0.389453,0.086166,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,I2,Juve Stabia,Modena,draw,home,"[2.8,3.5)",0.387043,0.071906,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,E1,Coventry,Sunderland,draw,home,"[2.8,3.5)",0.31918,-0.002637,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,E1,Swansea,Burnley,draw,away,"[2.8,3.5)",0.322171,-0.008412,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-16,I2,Reggiana,Sampdoria,draw,draw,"[2.8,3.5)",0.403865,0.089231,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-16,SP1,Osasuna,Getafe,draw,away,"[2.8,3.5)",0.38242,0.057709,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-29,SP2,Eldense,Burgos,draw,draw,"[2.8,3.5)",0.399418,0.110898,2.88,1.0,True,1.88,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-29,SP1,Alaves,Vallecano,draw,away,"[2.8,3.5)",0.384743,0.071793,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-29,G1,Panetolikos,Levadeiakos,draw,away,"[2.8,3.5)",0.396735,0.058568,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-29,E2,Wycombe,Lincoln,draw,home,"[2.8,3.5)",0.317978,-0.00731,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-30,SP2,Huesca,Sp Gijon,draw,home,"[2.8,3.5)",0.399224,0.079497,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-04-04,I1,Genoa,Udinese,draw,home,"[2.8,3.5)",0.376394,0.040971,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-04
2025-04-12,SP2,Tenerife,Burgos,draw,draw,"[2.8,3.5)",0.383756,0.036381,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-04
2025-04-21,E3,Gillingham,AFC Wimbledon,draw,home,"[2.8,3.5)",0.323645,-0.003936,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-04
