date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2023-08-19,SP2,Alcorcon,Leganes,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.357882,-0.010849,2.88,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2023-08
2023-08-26,SP2,Burgos,Oviedo,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.357882,-0.010849,2.88,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2023-08
2023-12-20,SP2,Leganes,Tenerife,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.36097,0.004882,2.9,1.0,True,1.9,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2023-12
2024-01-20,SP2,Amorebieta,Eldense,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.360382,0.004472,2.9,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2024-01
2024-01-21,SP2,Huesca,Eibar,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.348838,0.004478,3.0,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2024-01
2024-01-27,SP2,Oviedo,Leganes,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.354417,-0.012826,2.9,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2024-01
2024-04-01,E2,Charlton,Stevenage,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_small_edge,0.320936,0.003206,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
2024-04-05,SP2,Amorebieta,Ferrol,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.365372,-0.014902,2.8,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2024-04
2024-04-07,SP2,Huesca,Leganes,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.376309,0.015722,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
2024-04-07,SP2,Tenerife,Eibar,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.362997,0.013392,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
2024-04-07,SP2,Mirandes,Sp Gijon,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.364931,-0.016136,2.8,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02|model_delta=medium_model_edge",2024-04
2024-04-14,SP2,Zaragoza,Elche,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.363595,0.008127,2.88,1.0,True,1.88,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
2024-04-14,SP2,Ferrol,Huesca,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.359301,0.002676,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
2024-04-19,I2,Reggiana,Cosenza,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.363045,0.002661,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01|model_delta=medium_model_edge",2024-04
