window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,80,800.0,64.7,8.09,111.1,7,3,False
2017-07,2018-06,75,750.0,19.4,2.59,75.3,7,3,False
2018-01,2018-12,32,320.0,37.5,11.72,48.8,3,1,True
2018-07,2019-06,1,10.0,3.0,30.0,0.0,1,0,False
2019-01,2019-12,5,50.0,-12.2,-24.4,20.0,2,2,False
2019-07,2020-06,4,40.0,-15.2,-38.0,20.0,1,2,False
2020-01,2020-12,8,80.0,51.7,64.62,40.0,3,0,False
2020-07,2021-06,28,280.0,91.4,32.64,74.8,5,1,True
2021-01,2021-12,55,550.0,16.5,3.0,81.1,6,3,False
2021-07,2022-06,48,480.0,41.1,8.56,83.1,7,3,False
2022-01,2022-12,20,200.0,63.2,31.6,40.0,4,4,False
2022-07,2023-06,14,140.0,57.2,40.86,40.0,4,3,False
2023-01,2023-12,23,230.0,66.5,28.91,74.3,5,2,True
2023-07,2024-06,35,350.0,8.0,2.29,83.7,4,3,False
2024-01,2024-12,21,210.0,-20.2,-9.62,72.0,2,3,False
2024-07,2025-06,41,410.0,-156.0,-38.05,169.5,1,5,False
2025-01,2025-12,71,710.0,-117.3,-16.52,169.5,5,4,False
