date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2017-03-04,2017-03,USA,Real Salt Lake,Toronto FC,home,draw,2.71,"[2.2,2.8)",0.3599418387718441,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1728,0.256366,-1.6,-2.2,0.313748,0.336629,0.0,2.375411,0.103285,2017-03-04,2017,0.9969486348916096,0.0,1.0,1.728,1.6,2.2,0.313748,0.336629,0.4222550011748081,0.14431105318372994
2017-03-05,2017-03,USA,Houston Dynamo,Seattle Sounders,home,home,2.48,"[2.2,2.8)",0.3938077131993482,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.48,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1733,0.25678,-1.6,-1.6,-0.306921,-0.363391,0.0,2.358143,0.034858,2017-03-05,2017,0.9082585601768908,0.0,1.0,1.733,1.6,1.6,0.306921,0.363391,0.4506950234582822,0.11772365817653996
2017-03-06,2017-03,USA,Atlanta Utd,New York Red Bulls,home,away,2.5,"[2.2,2.8)",0.39024390243902446,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1737,0.256765,-0.8,-0.4,-0.632432,-0.367568,-14.0,2.370553,0.064421,2017-03-06,2017,0.9162907318741551,0.0,1.0,1.737,0.8,0.4,0.632432,0.367568,0.44736048448233234,0.1184012112058308
2017-03-11,2017-03,USA,Philadelphia Union,Toronto FC,home,draw,2.96,"[2.8,3.5)",0.3293542383526701,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1739,0.257044,-1.4,-2.4,0.011889,0.033839,-2.0,2.362737,0.001895,2017-03-11,2017,1.085189268335969,0.0,1.0,1.739,1.4,2.4,0.011889,0.033839,0.39638148546605756,0.17328919697953027
2017-03-12,2017-03,USA,Minnesota United,Atlanta Utd,home,away,2.6,"[2.2,2.8)",0.3752111291957129,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1742,0.257176,0.0,-3.0,0.0,-3.0,2.0,2.397819,0.282552,2017-03-12,2017,0.9555114450274363,0.0,1.0,1.742,0.0,3.0,0.0,3.0,0.43629466748950135,0.13436613547270349
2017-03-18,2017-03,USA,Vancouver Whitecaps,Toronto FC,home,away,2.52,"[2.2,2.8)",0.3870810332733538,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1749,0.25729,-0.2,0.2,0.162043,0.201213,-1.0,2.374503,0.096022,2017-03-18,2017,0.9242589015233319,0.0,1.0,1.749,0.2,0.2,0.162043,0.201213,0.44520105374831753,0.12190665544576018
2017-03-19,2017-03,USA,Seattle Sounders,New York Red Bulls,home,home,2.09,"[1.8,2.2)",0.46647366748499247,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.0899999999999999,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1754,0.257127,-0.2,-0.2,-0.053309,-0.134748,-1.0,2.391844,0.234752,2017-03-19,2017,0.7371640659767196,0.0,1.0,1.754,0.2,0.2,0.053309,0.134748,0.5124763168164884,0.07107550214646063
2017-03-25,2017-03,USA,Columbus Crew,Portland Timbers,home,home,1.77,"[1.0,1.8)",0.5515814400260018,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.77,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1760,0.256818,-1.6,-1.8,-0.087067,-0.092987,1.0,2.37456,0.096477,2017-03-25,2017,0.5709795465857378,0.0,1.0,1.76,1.6,1.8,0.087067,0.092987,0.5818125474784626,0.029808209036878752
2017-04-01,2017-04,USA,New York City,San Jose Earthquakes,home,home,1.81,"[1.8,2.2)",0.5395170371606123,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.81,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1763,0.256948,-0.6,-0.6,-0.075773,-0.115303,1.0,2.410144,0.381155,2017-04-01,2017,0.5933268452777344,0.0,1.0,1.763,0.6,0.6,0.075773,0.115303,0.5651236328438499,0.02287377544736846
2017-04-02,2017-04,USA,Minnesota United,Real Salt Lake,home,home,2.76,"[2.2,2.8)",0.3532387085273736,"[0.34,0.42)",market_non_favorite,PS_CLOSE,True,1.7599999999999998,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.08|USA,1768,0.257919,-0.15,-2.0,-1.217391,-3.119565,0.0,2.39344,0.247524,2017-04-02,2017,1.0152306797290584,0.0,1.0,1.768,0.15,2.0,1.217391,3.119565,0.4131005199088901,0.1401574349485366
