month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-01,ABSTAIN,no_candidates,,,,,
2017-02,ABSTAIN,no_candidates,,,,,
2017-03,ABSTAIN,no_candidates,,,,,
2017-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,1578.0,141.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1455, 'validation_rows': 123, 'market': {'matches': 41, 'log_loss': 1.090246, 'brier': 0.663311}, 'model': {'matches': 41, 'log_loss': 1.093927, 'brier': 0.667366}, 'log_loss_improvement': -0.003681, 'brier_improvement': -0.004055}",,
2017-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1647.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1476, 'validation_rows': 171, 'market': {'matches': 57, 'log_loss': 0.944059, 'brier': 0.556626}, 'model': {'matches': 57, 'log_loss': 0.948356, 'brier': 0.560749}, 'log_loss_improvement': -0.004297, 'brier_improvement': -0.004123}",,
2017-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1716.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 267, 'market': {'matches': 89, 'log_loss': 1.048581, 'brier': 0.630683}, 'model': {'matches': 89, 'log_loss': 1.052596, 'brier': 0.633645}, 'log_loss_improvement': -0.004015, 'brier_improvement': -0.002962}",,
2017-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1788.0,66.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 336, 'market': {'matches': 112, 'log_loss': 1.04564, 'brier': 0.627968}, 'model': {'matches': 112, 'log_loss': 1.051746, 'brier': 0.632163}, 'log_loss_improvement': -0.006106, 'brier_improvement': -0.004195}",,
2017-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1854.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 402, 'market': {'matches': 134, 'log_loss': 1.044762, 'brier': 0.628247}, 'model': {'matches': 134, 'log_loss': 1.05087, 'brier': 0.63241}, 'log_loss_improvement': -0.006108, 'brier_improvement': -0.004163}",,
2017-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1926.0,81.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 474, 'market': {'matches': 158, 'log_loss': 1.040785, 'brier': 0.625311}, 'model': {'matches': 158, 'log_loss': 1.04681, 'brier': 0.629374}, 'log_loss_improvement': -0.006025, 'brier_improvement': -0.004063}",,
2017-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,2007.0,93.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 555, 'market': {'matches': 185, 'log_loss': 1.024672, 'brier': 0.613802}, 'model': {'matches': 185, 'log_loss': 1.029391, 'brier': 0.61696}, 'log_loss_improvement': -0.004719, 'brier_improvement': -0.003158}",,
2017-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,1980.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1473, 'validation_rows': 507, 'market': {'matches': 169, 'log_loss': 1.030194, 'brier': 0.618584}, 'model': {'matches': 169, 'log_loss': 1.036134, 'brier': 0.621406}, 'log_loss_improvement': -0.00594, 'brier_improvement': -0.002822}",,
