month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-01,ABSTAIN,no_candidates,,,,,
2017-02,ABSTAIN,no_candidates,,,,,
2017-03,ABSTAIN,no_candidates,,,,,
2017-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,1578.0,141.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1455, 'validation_rows': 123, 'market': {'matches': 41, 'log_loss': 1.096211, 'brier': 0.667856}, 'model': {'matches': 41, 'log_loss': 1.099076, 'brier': 0.670743}, 'log_loss_improvement': -0.002865, 'brier_improvement': -0.002887}",,
2017-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1647.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1476, 'validation_rows': 171, 'market': {'matches': 57, 'log_loss': 0.945934, 'brier': 0.557029}, 'model': {'matches': 57, 'log_loss': 0.955483, 'brier': 0.564635}, 'log_loss_improvement': -0.009549, 'brier_improvement': -0.007606}",,
2017-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1716.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 267, 'market': {'matches': 89, 'log_loss': 1.053308, 'brier': 0.633063}, 'model': {'matches': 89, 'log_loss': 1.056092, 'brier': 0.635595}, 'log_loss_improvement': -0.002784, 'brier_improvement': -0.002532}",,
2017-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1788.0,66.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 336, 'market': {'matches': 112, 'log_loss': 1.048403, 'brier': 0.629219}, 'model': {'matches': 112, 'log_loss': 1.053064, 'brier': 0.632778}, 'log_loss_improvement': -0.004661, 'brier_improvement': -0.003559}",,
2017-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1854.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 402, 'market': {'matches': 134, 'log_loss': 1.047147, 'brier': 0.629429}, 'model': {'matches': 134, 'log_loss': 1.05156, 'brier': 0.632749}, 'log_loss_improvement': -0.004413, 'brier_improvement': -0.00332}",,
2017-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1926.0,81.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 474, 'market': {'matches': 158, 'log_loss': 1.043086, 'brier': 0.626441}, 'model': {'matches': 158, 'log_loss': 1.047558, 'brier': 0.629737}, 'log_loss_improvement': -0.004472, 'brier_improvement': -0.003296}",,
2017-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,2007.0,93.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 555, 'market': {'matches': 185, 'log_loss': 1.027076, 'brier': 0.615056}, 'model': {'matches': 185, 'log_loss': 1.031135, 'brier': 0.618063}, 'log_loss_improvement': -0.004059, 'brier_improvement': -0.003007}",,
2017-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,1980.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1473, 'validation_rows': 507, 'market': {'matches': 169, 'log_loss': 1.031604, 'brier': 0.619427}, 'model': {'matches': 169, 'log_loss': 1.036186, 'brier': 0.62174}, 'log_loss_improvement': -0.004582, 'brier_improvement': -0.002313}",,
