date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2018-04-02,2018-04,NOR,Odd,Rosenborg,home,draw,3.55,"[3.5,4.0)",0.27347579839131886,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1464,0.242486,-0.2,-1.4,-0.5,-0.873626,-1.0,2.326479,0.288171,2018-04-02,2018,1.2669476034873244,0.0,1.0,1.464,0.2,1.4,0.5,0.873626,0.300675616438421,0.06739843835639459
2018-04-08,2018-04,NOR,Sandefjord,Stabaek,home,draw,2.79,"[2.2,2.8)",0.3479286897459364,"[0.34,0.42)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1473,0.242363,0.2,-0.6,-0.320695,-0.407415,0.0,2.386257,0.190053,2018-04-08,2018,1.0260415958332743,0.0,1.0,1.473,0.2,0.6,0.320695,0.407415,0.3718864583292097,0.03756321873849511
2018-04-14,2018-04,NOR,Start,Valerenga,home,away,2.6,"[2.2,2.8)",0.3731457702479972,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1482,0.24224,-0.6,0.4,-0.42013,-0.656304,-2.0,2.335447,0.216421,2018-04-14,2018,0.9555114450274363,0.0,1.0,1.482,0.6,0.4,0.42013,0.656304,0.39419656956471816,0.02491108086826732
2018-04-15,2018-04,NOR,Ranheim,Haugesund,home,home,2.88,"[2.8,3.5)",0.3370838328875772,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,1.88,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1483,0.242077,0.4,-0.4,-0.083851,-0.352484,-3.0,2.386642,0.193138,2018-04-15,2018,1.0577902941478545,0.0,1.0,1.483,0.4,0.4,0.083851,0.352484,0.36116337356034156,0.0401505158537836
2018-04-16,2018-04,NOR,Bodo/Glimt,Rosenborg,home,away,5.04,"[5.0,7.0)",0.19246545676894464,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1489,0.242445,-0.4,-1.4,-0.921716,-1.411309,0.0,2.298197,0.514423,2018-04-16,2018,1.6174060820832772,0.0,1.0,1.489,0.4,1.4,0.921716,1.411309,0.22138265599844917,0.11576858623218378
2018-04-22,2018-04,NOR,Rosenborg,Start,draw,home,5.95,"[5.0,7.0)",0.1628321860746924,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1491,0.242119,1.0,2.6,1.139168,1.755684,-2.0,2.541007,1.428057,2018-04-22,2018,1.7833912195575383,1.0,0.0,1.491,1.0,2.6,1.139168,1.755684,0.18316265549512836,0.08981780019601371
2018-04-23,2018-04,NOR,Odd,Sarpsborg 08,home,home,2.73,"[2.2,2.8)",0.3557860797644915,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.73,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1497,0.242485,-0.8,-1.4,0.198141,0.304803,0.0,2.378024,0.124189,2018-04-23,2018,1.0043016091968684,0.0,1.0,1.497,0.8,1.4,0.198141,0.304803,0.3780438819427035,0.032059797703580584
2018-04-25,2018-04,NOR,Ranheim,Brann,home,away,3.21,"[2.8,3.5)",0.3026127031820081,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1498,0.242323,-0.2,-0.8,0.233546,-0.178344,-1.0,2.365239,0.021913,2018-04-25,2018,1.1662709371419244,0.0,1.0,1.498,0.2,0.8,0.233546,0.178344,0.32842622847638747,0.05424819340920384
2018-04-28,2018-04,NOR,Ranheim,Valerenga,home,draw,3.5,"[3.5,4.0)",0.2777189532597186,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1500,0.242667,0.4,-0.4,0.129032,-0.243011,-3.0,2.383384,0.167073,2018-04-28,2018,1.252762968495368,0.0,1.0,1.5,0.4,0.4,0.129032,0.243011,0.30481683041069785,0.06685890643744252
2018-04-29,2018-04,NOR,Sandefjord,Brann,home,away,4.55,"[4.0,5.0)",0.2131495227995758,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|NOR,1501,0.243171,-1.6,-1.6,-0.579402,-0.962601,3.0,2.337626,0.198991,2018-04-29,2018,1.5151272329628591,0.0,1.0,1.501,1.6,1.6,0.579402,0.962601,0.23980273726833348,0.09110245457091737
